collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48091,38.599999999999994,38.599999999999994,14.9,0.0,38.599999999999994,38.599999999999994
2020-08-09,TX,48091,15.4,15.0,11.9,0.0,15.4,15.4
2020-08-16,TX,48091,7.0,4.1,7.9,0.0,7.0,7.0
2020-08-23,TX,48091,10.9,6.3,7.9,0.0,10.9,10.9
2020-08-30,TX,48091,8.6,4.6,8.9,0.0,8.6,8.6
2020-09-06,TX,48091,7.3,0.0,9.0,0.0,7.3,7.3
2020-09-13,TX,48091,7.0,0.0,7.1,0.0,7.0,7.0
2020-09-20,TX,48091,7.6,4.1,7.7,0.0,7.6,7.6
2020-09-27,TX,48091,6.7,4.1,8.1,0.0,6.7,6.7
2020-10-04,TX,48091,8.4,4.9,9.1,0.0,8.4,8.4
2020-10-11,TX,48091,8.1,5.1,7.3,0.0,8.1,8.1
2020-10-18,TX,48091,0.0,0.0,8.1,0.0,0.0,0.0
2020-10-25,TX,48091,0.0,0.0,7.0,0.0,0.0,0.0
2020-11-01,TX,48091,9.1,4.4,8.0,0.0,9.1,9.1
2020-11-08,TX,48091,11.7,8.4,8.0,0.0,11.7,11.7
2020-11-15,TX,48091,15.0,13.9,9.4,0.0,15.0,15.0
2020-11-22,TX,48091,22.6,20.0,11.4,0.0,22.6,22.6
2020-11-29,TX,48091,27.0,24.7,10.4,0,27.1,27.0
2020-12-06,TX,48091,34.9,31.4,12.0,0.0,34.9,34.9
2020-12-13,TX,48091,37.3,34.400000000000006,13.7,0.0,37.3,37.3
2020-12-20,TX,48091,41.9,39.8,13.1,0.0,42.2,41.9
2020-12-27,TX,48091,53.5,50.5,15.1,0.0,53.5,53.5
2021-01-03,TX,48091,57.2,56.5,15.4,0.0,57.2,57.2
2021-01-10,TX,48091,56.300000000000004,55.300000000000004,16.4,0.0,56.300000000000004,56.300000000000004
2021-01-17,TX,48091,55.7,54.0,18.6,0.0,55.7,55.7
2021-01-24,TX,48091,46.7,46.1,19.4,0.0,46.7,46.7
2021-01-31,TX,48091,35.0,34.3,19.7,0.0,35.0,35.0
2021-02-07,TX,48091,30.0,29.5,18.4,0.0,30.0,30.0
2021-02-14,TX,48091,27.200000000000003,26.299999999999997,16.4,0.0,28.3,27.200000000000003
2021-02-21,TX,48091,18.3,18.200000000000003,16.1,0.0,18.3,18.3
2021-02-28,TX,48091,17.299999999999997,16.6,9.4,0.0,17.299999999999997,17.299999999999997
2021-03-07,TX,48091,4.6,4.4,9.9,0.0,4.6,4.6
2021-03-14,TX,48091,4.4,4.1,8.0,0.0,4.4,4.4
2021-03-21,TX,48091,5.4,5.3,7.4,0.0,5.4,5.4
2021-03-28,TX,48091,0,0,7.7,0.0,0,0.0
2021-04-04,TX,48091,0,0,7.3,0.0,0,0.0
2021-04-11,TX,48091,7.7,7.6,10.4,0.0,7.7,7.7
2021-04-18,TX,48091,8.4,8.4,9.1,0.0,8.4,8.4
2021-04-25,TX,48091,6.1,5.7,9.6,0.0,6.1,6.1
2021-05-02,TX,48091,6.9,6.7,10.7,0.0,6.9,6.9
2021-05-09,TX,48091,6.1,5.3,9.3,0.0,6.1,6.1
2021-05-16,TX,48091,6.6,6.0,10.1,0.0,6.6,6.6
2021-05-23,TX,48091,4.7,4.7,10.6,0.0,4.7,4.7
2021-05-30,TX,48091,4.1,0,9.0,0.0,4.1,4.1
2021-06-06,TX,48091,4.4,4.3,9.6,0.0,4.4,4.4
2021-06-13,TX,48091,4.0,0.0,8.6,0.0,4.0,4.0
2021-06-20,TX,48091,8.4,8.4,9.9,0.0,8.4,8.4
2021-06-27,TX,48091,6.1,6.0,7.4,0.0,6.1,6.1
2021-07-04,TX,48091,8.4,8.4,9.0,0.0,8.4,8.4
2021-07-11,TX,48091,15.6,15.4,9.3,0.0,15.6,15.6
2021-07-18,TX,48091,13.9,13.3,9.3,0.0,13.9,13.9
2021-07-25,TX,48091,17.6,17.4,11.1,0.0,17.6,17.6
2021-08-01,TX,48091,37.9,37.599999999999994,12.3,0.0,37.9,37.9
2021-08-08,TX,48091,52.0,51.800000000000004,15.6,0.0,52.0,52.0
2021-08-15,TX,48091,60.2,59.7,15.4,0.0,60.2,60.2
2021-08-22,TX,48091,51.5,51.300000000000004,15.7,0.0,51.5,51.5
2021-08-29,TX,48091,38.4,38.3,15.4,0.0,38.4,38.4
2021-09-05,TX,48091,38.7,38.4,14.1,0.0,38.7,38.7
2021-09-12,TX,48091,30.0,29.9,14.3,0.0,30.0,30.0
2021-09-19,TX,48091,26.6,26.3,14.3,0.0,26.6,26.6
2021-09-26,TX,48091,24.1,23.1,12.7,0.0,24.1,24.1
2021-10-03,TX,48091,13.1,13.1,12.6,0.0,13.1,13.1
2021-10-10,TX,48091,6.0,6.0,10.1,0.0,6.0,6.0
2021-10-17,TX,48091,5.7,5.7,8.4,0.0,5.7,5.7
2021-10-24,TX,48091,8.4,8.4,7.0,0.0,8.4,8.4
2021-10-31,TX,48091,4.4,4.4,6.0,0.0,4.4,4.4
2021-11-07,TX,48091,0.0,0.0,16.7,0.0,0.0,0.0
2021-11-14,TX,48091,4.6,4.6,6.4,0.0,4.6,4.6
2021-11-21,TX,48091,5.7,5.7,6.8,0.0,5.7,5.7
2021-11-28,TX,48091,0.0,0.0,7.6,0.0,0.0,0.0
2021-12-05,TX,48091,0.0,0.0,7.1,0.0,0.0,0.0
2021-12-12,TX,48091,0.0,0.0,6.6,0.0,0.0,0.0
2021-12-19,TX,48091,6.3,6.3,9.9,0.0,6.3,6.3
2021-12-26,TX,48091,11.3,11.3,8.4,0.0,11.3,11.3
