collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48139,22.0,17.9,11.0,0.0,22.0,22.0
2020-08-09,TX,48139,20.0,10.1,9.7,0.0,20.0,20.0
2020-08-16,TX,48139,19.7,8.1,7.7,0.0,19.7,19.7
2020-08-23,TX,48139,20.0,8.9,8.7,0.0,20.0,20.0
2020-08-30,TX,48139,18.6,7.1,9.7,0.0,18.6,18.6
2020-09-06,TX,48139,14.7,7.1,8.0,0.0,14.7,14.7
2020-09-13,TX,48139,10.7,6.6,7.4,0.0,10.7,10.7
2020-09-20,TX,48139,11.9,7.0,9.7,0.0,11.9,11.9
2020-09-27,TX,48139,20.6,14.3,11.7,0.0,20.6,20.6
2020-10-04,TX,48139,25.7,19.3,11.7,0.0,25.7,25.7
2020-10-11,TX,48139,27.5,17.1,12.0,0.0,27.5,27.5
2020-10-18,TX,48139,32.1,25.5,11.4,0.0,32.1,32.1
2020-10-25,TX,48139,39.0,32.1,10.1,0.0,39.0,39.0
2020-11-01,TX,48139,43.6,36.0,11.9,0.0,43.6,43.6
2020-11-08,TX,48139,51.3,43.1,11.7,0.0,51.3,51.3
2020-11-15,TX,48139,57.1,54.1,11.6,0.0,57.1,57.1
2020-11-22,TX,48139,53.0,47.9,10.6,0.0,53.0,53.0
2020-11-29,TX,48139,59.4,52.3,12.1,0.0,59.4,59.4
2020-12-06,TX,48139,59.7,53.4,14.1,0.0,59.7,59.7
2020-12-13,TX,48139,61.4,58.0,13.1,0.0,61.4,61.4
2020-12-20,TX,48139,62.1,59.0,16.9,0.0,62.1,62.1
2020-12-27,TX,48139,89.1,83.4,20.4,0.0,89.1,89.1
2021-01-03,TX,48139,86.9,76.1,20.4,0.0,86.9,86.9
2021-01-10,TX,48139,82.60000000000001,78.2,22.7,0.0,82.60000000000001,82.60000000000001
2021-01-17,TX,48139,70.9,66.1,19.6,0.0,70.9,70.9
2021-01-24,TX,48139,57.7,51.1,20.1,0.0,57.7,57.7
2021-01-31,TX,48139,44.0,38.3,14.7,0.0,44.0,44.0
2021-02-07,TX,48139,37.0,29.7,10.9,0.0,37.0,37.0
2021-02-14,TX,48139,30.3,25.8,11.3,0.0,30.3,30.3
2021-02-21,TX,48139,29.7,25.1,9.9,0.0,29.7,29.7
2021-02-28,TX,48139,14.3,8.6,9.4,0.0,14.3,14.3
2021-03-07,TX,48139,14.3,9.1,10.1,0.0,14.3,14.3
2021-03-14,TX,48139,19.6,13.4,10.1,0.0,19.6,19.6
2021-03-21,TX,48139,13.6,9.9,9.4,0.0,13.6,13.6
2021-03-28,TX,48139,13.6,8.3,7.4,0.0,13.6,13.6
2021-04-04,TX,48139,13.7,10.3,9.1,0.0,13.7,13.7
2021-04-11,TX,48139,14.4,9.7,10.1,0.0,14.4,14.4
2021-04-18,TX,48139,11.7,8.9,9.7,0.0,11.7,11.7
2021-04-25,TX,48139,12.7,10.1,7.0,0.0,12.7,12.7
2021-05-02,TX,48139,11.9,9.0,10.0,0.0,11.9,11.9
2021-05-09,TX,48139,10.7,8.1,11.3,0.0,10.7,10.7
2021-05-16,TX,48139,14.9,11.1,9.9,0.0,18.9,14.9
2021-05-23,TX,48139,9.4,7.4,8.6,0.0,9.4,9.4
2021-05-30,TX,48139,9.0,4.7,8.9,0.0,9.0,9.0
2021-06-06,TX,48139,9.4,6.7,7.7,0.0,9.4,9.4
2021-06-13,TX,48139,7.7,5.9,9.6,0.0,7.7,7.7
2021-06-20,TX,48139,10.6,4.1,5.7,0.0,10.6,10.6
2021-06-27,TX,48139,11.6,4.0,6.9,0.0,11.6,11.6
2021-07-04,TX,48139,14.0,4.6,9.7,0.0,14.0,14.0
2021-07-11,TX,48139,17.7,13.0,13.2,0.0,17.7,17.7
2021-07-18,TX,48139,21.3,19.6,14.899999999999999,0.0,21.3,21.3
2021-07-25,TX,48139,31.200000000000003,29.3,16.4,0.0,31.200000000000003,31.200000000000003
2021-08-01,TX,48139,52.900000000000006,51.1,17.9,0.0,52.900000000000006,52.900000000000006
2021-08-08,TX,48139,72.1,69.3,18.6,0.0,72.1,72.1
2021-08-15,TX,48139,96.30000000000001,92.9,21.7,0.0,96.30000000000001,96.30000000000001
2021-08-22,TX,48139,94.5,91.69999999999999,31.700000000000003,0.0,94.5,94.5
2021-08-29,TX,48139,100.3,98.3,33.5,0.0,100.3,100.3
2021-09-05,TX,48139,109.80000000000001,108.89999999999999,28.9,0.0,109.80000000000001,109.80000000000001
2021-09-12,TX,48139,104.10000000000001,99.30000000000001,32.2,0.0,104.10000000000001,104.10000000000001
2021-09-19,TX,48139,81.7,77.8,29.0,0.0,81.7,81.7
2021-09-26,TX,48139,76.9,69.9,27.8,0.0,76.9,76.9
2021-10-03,TX,48139,62.400000000000006,56.6,25.6,0.0,62.400000000000006,62.400000000000006
2021-10-10,TX,48139,42.7,35.3,19.3,0.0,42.7,42.7
2021-10-17,TX,48139,27.3,24.1,15.0,0.0,27.3,27.3
2021-10-24,TX,48139,20.0,14.0,13.7,0.0,20.0,20.0
2021-10-31,TX,48139,13.4,9.4,11.3,0.0,13.4,13.4
2021-11-07,TX,48139,19.200000000000003,11.0,10.3,0.0,19.200000000000003,19.200000000000003
2021-11-14,TX,48139,16.3,13.7,9.6,0.0,16.3,16.3
2021-11-21,TX,48139,17.1,14.100000000000001,8.8,0.0,17.1,17.1
2021-11-28,TX,48139,15.8,13.5,11.3,0.0,15.8,15.8
2021-12-05,TX,48139,9.6,8.1,10.3,0.0,9.6,9.6
2021-12-12,TX,48139,16.7,10.3,11.1,0.0,16.7,16.7
2021-12-19,TX,48139,16.1,12.4,11.4,0.0,16.1,16.1
2021-12-26,TX,48139,31.299999999999997,26.5,10.0,0.0,31.299999999999997,31.299999999999997
