collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48157,143.2,118.6,34.0,0.0,143.49999999999997,143.2
2020-08-09,TX,48157,113.0,89.9,46.900000000000006,0.0,114.1,113.0
2020-08-16,TX,48157,83.70000000000002,66.7,72.1,0.0,84.10000000000001,83.70000000000002
2020-08-23,TX,48157,75.6,55.800000000000004,79.8,0.0,75.79999999999998,75.6
2020-08-30,TX,48157,65.8,42.800000000000004,86.2,0.0,66.0,65.8
2020-09-06,TX,48157,56.300000000000004,36.3,92.19999999999999,0.0,57.1,56.300000000000004
2020-09-13,TX,48157,41.8,22.9,66.4,0.0,42.099999999999994,41.8
2020-09-20,TX,48157,37.7,20.9,65.89999999999999,0.0,38.6,37.7
2020-09-27,TX,48157,23.5,16.1,71.5,0.0,24.5,23.5
2020-10-04,TX,48157,43.5,24.0,65.89999999999999,0.0,44.2,43.5
2020-10-11,TX,48157,52.199999999999996,26.0,69.3,0.0,53.4,52.199999999999996
2020-10-18,TX,48157,44.2,28.6,67.7,0.0,44.5,44.2
2020-10-25,TX,48157,46.199999999999996,34.8,61.199999999999996,0.0,46.4,46.199999999999996
2020-11-01,TX,48157,48.599999999999994,40.2,61.8,0.0,48.699999999999996,48.599999999999994
2020-11-08,TX,48157,75.10000000000001,61.0,77.7,0.0,75.20000000000002,75.10000000000001
2020-11-15,TX,48157,76.0,67.5,80.0,0.0,76.7,76.0
2020-11-22,TX,48157,94.7,82.7,80.0,0.0,95.6,94.7
2020-11-29,TX,48157,119.2,107.3,78.6,0.0,120.1,119.2
2020-12-06,TX,48157,133.29999999999998,120.9,85.20000000000002,0.0,134.2,133.29999999999998
2020-12-13,TX,48157,131.1,119.30000000000001,78.6,0.0,131.5,131.1
2020-12-20,TX,48157,128.2,118.6,78.19999999999999,0.0,128.9,128.2
2020-12-27,TX,48157,172.3,158.4,79.69999999999999,0.0,173.9,172.3
2021-01-03,TX,48157,204.10000000000002,192.9,84.2,0.0,204.8,204.10000000000002
