collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48167,157.0,151.4,33.1,0.0,157.3,157.0
2020-08-09,TX,48167,113.3,109.3,54.1,0.0,113.3,113.3
2020-08-16,TX,48167,93.6,90.1,98.6,0.0,94.1,93.6
2020-08-23,TX,48167,80.6,77.4,94.3,0.0,81.3,80.6
2020-08-30,TX,48167,66.4,63.7,106.9,0.0,66.7,66.4
2020-09-06,TX,48167,60.6,58.0,110.7,0.0,61.6,60.6
2020-09-13,TX,48167,51.9,49.4,102.9,0.0,52.0,51.9
2020-09-20,TX,48167,42.7,40.9,105.1,0.0,43.1,42.7
2020-09-27,TX,48167,37.9,35.6,99.4,0.0,38.0,37.9
2020-10-04,TX,48167,43.1,41.3,101.9,0.0,43.6,43.1
2020-10-11,TX,48167,36.1,33.9,104.0,0.0,36.1,36.1
2020-10-18,TX,48167,29.3,27.7,94.9,0.0,29.7,29.3
2020-10-25,TX,48167,27.3,26.6,92.4,0.0,27.3,27.3
2020-11-01,TX,48167,33.3,31.6,93.4,0.0,35.3,33.3
2020-11-08,TX,48167,41.4,39.3,108.6,0.0,41.4,41.4
2020-11-15,TX,48167,47.0,46.0,110.9,0.0,47.0,47.0
2020-11-22,TX,48167,52.6,50.7,113.4,0,52.7,52.6
2020-11-29,TX,48167,68.6,66.1,120.4,0.0,68.6,68.6
2020-12-06,TX,48167,80.1,77.9,127.4,0,80.6,80.1
2020-12-13,TX,48167,82.9,81.3,126.4,0.0,83.3,82.9
2020-12-20,TX,48167,99.1,97.3,127.7,0,99.6,99.1
2020-12-27,TX,48167,126.9,124.6,137.0,21.0,147.9,147.9
2021-01-03,TX,48167,101.9,99.6,115.3,0.0,101.9,101.9
2021-01-10,TX,48167,102.4,101.4,122.3,0,103.4,102.4
2021-01-17,TX,48167,109.4,107.6,122.1,0,110.6,109.4
2021-01-24,TX,48167,95.6,93.9,119.7,0,96.1,95.6
2021-01-31,TX,48167,86.0,84.7,118.6,0,86.1,86.0
2021-02-07,TX,48167,93.1,90.9,114.7,0,94.1,93.1
2021-02-14,TX,48167,83.2,81.7,112.5,0.0,83.3,83.2
2021-02-21,TX,48167,70.4,69.4,114.6,0.0,71.3,70.4
2021-02-28,TX,48167,65.7,64.6,111.9,0.0,66.7,65.7
2021-03-07,TX,48167,69.6,68.4,118.1,0.0,70.6,69.6
2021-03-14,TX,48167,58.6,56.6,114.4,0.0,61.6,58.6
2021-03-21,TX,48167,58.1,56.1,107.1,0.0,59.0,58.1
2021-03-28,TX,48167,47.0,46.4,100.9,0.0,47.7,47.0
2021-04-04,TX,48167,37.0,35.7,106.0,0.0,37.7,37.0
2021-04-11,TX,48167,49.9,47.9,112.6,0.0,50.7,49.9
2021-04-18,TX,48167,41.6,38.7,100.7,0.0,42.3,41.6
2021-04-25,TX,48167,27.0,24.7,97.7,0.0,27.4,27.0
2021-05-02,TX,48167,31.3,28.9,105.9,0.0,32.9,31.3
2021-05-09,TX,48167,27.0,26.9,105.3,0.0,27.3,27.0
2021-05-16,TX,48167,28.9,28.7,102.9,0.0,29.6,28.9
2021-05-23,TX,48167,28.1,28.1,97.7,0.0,28.6,28.1
2021-05-30,TX,48167,20.3,20.3,98.0,0.0,20.3,20.3
2021-06-06,TX,48167,23.6,23.6,102.9,0.0,23.6,23.6
2021-06-13,TX,48167,18.9,18.9,89.4,0.0,19.1,18.9
2021-06-20,TX,48167,22.0,22.0,103.7,0.0,23.4,22.0
2021-06-27,TX,48167,22.6,22.6,108.1,0.0,23.1,22.6
2021-07-04,TX,48167,33.7,33.7,118.0,0.0,34.1,33.7
2021-07-11,TX,48167,40.4,40.4,115.7,0.0,41.0,40.4
2021-07-18,TX,48167,47.9,47.9,120.9,0.0,48.9,47.9
2021-07-25,TX,48167,95.7,95.7,120.0,0.0,97.6,95.7
2021-08-01,TX,48167,138.9,138.9,94.7,0.0,140.6,138.9
2021-08-08,TX,48167,167.0,167.0,102.7,0.0,167.4,167.0
2021-08-15,TX,48167,175.3,175.3,103.6,0.0,175.9,175.3
2021-08-22,TX,48167,184.6,184.6,107.0,0,185.3,184.6
2021-08-29,TX,48167,175.0,175.0,107.6,6.1,181.1,181.1
2021-09-05,TX,48167,159.6,159.6,106.1,0,160.9,159.6
2021-09-12,TX,48167,143.9,143.9,106.4,0.0,147.3,143.9
2021-09-19,TX,48167,122.4,122.4,104.9,0.0,124.9,122.4
2021-09-26,TX,48167,104.0,102.7,107.9,0.0,106.9,104.0
2021-10-03,TX,48167,77.9,77.9,98.0,0.0,79.7,77.9
2021-10-10,TX,48167,59.3,59.3,94.1,0.0,60.9,59.3
2021-10-17,TX,48167,48.6,48.6,84.6,0.0,52.3,48.6
2021-10-24,TX,48167,46.0,45.9,83.0,4.0,50.0,50.0
2021-10-31,TX,48167,33.9,33.9,86.0,0,34.9,33.9
