collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48181,24.5,18.9,51.4,0.0,24.5,24.5
2020-08-09,TX,48181,30.0,30.0,58.6,0.0,30.0,30.0
2020-08-16,TX,48181,31.4,24.0,54.0,0.0,31.4,31.4
2020-08-23,TX,48181,36.9,32.3,63.4,0.0,36.9,36.9
2020-08-30,TX,48181,48.4,45.9,66.4,0.0,48.4,48.4
2020-09-06,TX,48181,51.400000000000006,50.1,64.8,0.0,51.400000000000006,51.400000000000006
2020-09-13,TX,48181,35.3,35.3,64.3,0.0,35.3,35.3
2020-09-20,TX,48181,34.7,34.7,66.0,0.0,34.7,34.7
2020-09-27,TX,48181,43.300000000000004,37.7,65.7,0.0,43.300000000000004,43.300000000000004
2020-10-04,TX,48181,57.3,55.5,65.0,0.0,57.3,57.3
2020-10-11,TX,48181,81.19999999999999,77.69999999999999,68.9,0.0,81.19999999999999,81.19999999999999
2020-10-18,TX,48181,92.19999999999999,88.89999999999999,69.6,0.0,92.19999999999999,92.19999999999999
2020-10-25,TX,48181,81.0,78.9,63.599999999999994,0.0,81.0,81.0
2020-11-01,TX,48181,97.5,93.2,70.1,0.0,97.5,97.5
2020-11-08,TX,48181,108.79999999999998,104.29999999999998,69.1,0.0,108.79999999999998,108.79999999999998
2020-11-15,TX,48181,119.9,113.4,69.8,0.0,119.9,119.9
2020-11-22,TX,48181,89.5,83.30000000000001,69.2,0.0,89.5,89.5
2020-11-29,TX,48181,90.4,88.4,76.6,0.0,90.70000000000002,90.4
2020-12-06,TX,48181,95.19999999999999,92.0,73.9,0.0,95.19999999999999,95.19999999999999
2020-12-13,TX,48181,106.4,99.3,71.8,0.0,109.0,106.4
2020-12-20,TX,48181,118.1,114.30000000000001,72.4,0.0,118.1,118.1
2020-12-27,TX,48181,126.19999999999999,120.5,77.9,0.0,126.19999999999999,126.19999999999999
2021-01-03,TX,48181,135.3,132.5,80.69999999999999,0.0,135.4,135.3
2021-01-10,TX,48181,128.4,124.9,77.19999999999999,0.0,128.4,128.4
2021-01-17,TX,48181,97.0,93.5,78.7,0.0,97.0,97.0
2021-01-24,TX,48181,67.8,65.0,78.9,0.0,67.8,67.8
2021-01-31,TX,48181,54.2,51.300000000000004,70.8,0.0,54.4,54.2
2021-02-07,TX,48181,52.0,49.1,70.8,0.0,52.0,52.0
2021-02-14,TX,48181,50.400000000000006,49.2,69.3,0.0,50.400000000000006,50.400000000000006
2021-02-21,TX,48181,34.0,33.3,66.8,0.0,34.0,34.0
2021-02-28,TX,48181,23.4,23.3,66.9,0.0,23.4,23.4
2021-03-07,TX,48181,13.4,13.4,61.5,0.0,13.4,13.4
2021-03-14,TX,48181,7.6,7.6,69.8,0.0,7.6,7.6
2021-03-21,TX,48181,6.6,6.6,63.0,0.0,6.6,6.6
2021-03-28,TX,48181,4.7,4.7,55.199999999999996,0.0,4.7,4.7
2021-04-04,TX,48181,7.6,7.6,64.8,0.0,7.6,7.6
2021-04-11,TX,48181,7.6,7.6,66.3,0.0,7.6,7.6
2021-04-18,TX,48181,0.0,0.0,60.9,0.0,0.0,0.0
2021-04-25,TX,48181,0.0,0.0,60.0,0.0,0.0,0.0
2021-05-02,TX,48181,4.7,4.7,63.0,0.0,4.7,4.7
2021-05-09,TX,48181,4.4,4.4,65.2,0.0,4.4,4.4
2021-05-16,TX,48181,0.0,0.0,56.0,0.0,0.0,0.0
2021-05-23,TX,48181,6.7,6.7,52.699999999999996,0.0,6.7,6.7
2021-05-30,TX,48181,4.4,4.4,52.5,0.0,4.4,4.4
2021-06-06,TX,48181,5.6,5.6,58.4,0.0,5.6,5.6
2021-06-13,TX,48181,5.1,5.1,60.6,0.0,5.1,5.1
2021-06-20,TX,48181,7.0,7.0,53.3,0.0,7.0,7.0
2021-06-27,TX,48181,0.0,0.0,50.8,0.0,0.0,0.0
2021-07-04,TX,48181,10.6,10.6,54.2,0.0,10.7,10.6
2021-07-11,TX,48181,16.3,16.3,59.1,0.0,16.3,16.3
2021-07-18,TX,48181,21.6,21.6,59.199999999999996,0.0,21.6,21.6
2021-07-25,TX,48181,38.1,38.1,61.699999999999996,0.0,38.1,38.1
2021-08-01,TX,48181,62.0,62.0,65.7,0.0,62.0,62.0
2021-08-08,TX,48181,75.7,75.4,70.1,0.0,76.10000000000001,75.7
2021-08-15,TX,48181,78.7,76.7,71.0,0.0,78.7,78.7
2021-08-22,TX,48181,74.9,73.9,71.4,0.0,74.9,74.9
2021-08-29,TX,48181,84.19999999999999,83.39999999999999,71.9,0.0,84.19999999999999,84.19999999999999
2021-09-05,TX,48181,113.6,113.0,71.6,0.0,113.6,113.6
2021-09-12,TX,48181,125.0,124.7,72.7,0.0,125.0,125.0
2021-09-19,TX,48181,116.19999999999999,116.0,71.2,0.0,116.19999999999999,116.19999999999999
2021-09-26,TX,48181,101.5,101.1,71.1,0.0,101.7,101.5
2021-10-03,TX,48181,80.4,79.7,66.9,0.0,80.4,80.4
2021-10-10,TX,48181,71.0,71.0,67.2,0.0,71.0,71.0
2021-10-17,TX,48181,56.7,56.7,67.6,0.0,56.7,56.7
2021-10-24,TX,48181,49.3,49.3,66.1,0.0,49.3,49.3
2021-10-31,TX,48181,35.3,35.3,69.7,0.0,35.3,35.3
2021-11-07,TX,48181,32.1,32.1,68.0,0.0,32.1,32.1
2021-11-14,TX,48181,25.6,25.6,67.8,0.0,25.6,25.6
2021-11-21,TX,48181,21.2,21.2,62.0,0.0,21.2,21.2
2021-11-28,TX,48181,33.4,33.4,62.5,0.0,33.4,33.4
2021-12-05,TX,48181,32.9,32.9,67.2,0.0,32.9,32.9
2021-12-12,TX,48181,31.299999999999997,31.299999999999997,60.0,0.0,31.299999999999997,31.299999999999997
2021-12-19,TX,48181,33.4,33.4,60.0,0.0,33.4,33.4
2021-12-26,TX,48181,36.3,36.3,64.7,0.0,36.3,36.3
