collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48183,37.0,29.7,45.5,0.0,37.0,37.0
2020-08-09,TX,48183,64.4,63.3,64.8,0.0,64.4,64.4
2020-08-16,TX,48183,59.9,58.0,63.4,0.0,60.0,59.9
2020-08-23,TX,48183,61.0,54.3,67.4,0.0,61.0,61.0
2020-08-30,TX,48183,60.800000000000004,57.4,76.6,0.0,60.800000000000004,60.800000000000004
2020-09-06,TX,48183,20.4,18.7,47.099999999999994,0.0,20.4,20.4
2020-09-13,TX,48183,14.4,12.9,41.3,0.0,14.4,14.4
2020-09-20,TX,48183,13.1,12.7,43.400000000000006,0.0,13.1,13.1
2020-09-27,TX,48183,21.6,21.3,50.900000000000006,0.0,21.6,21.6
2020-10-04,TX,48183,17.6,17.3,48.7,0.0,17.6,17.6
2020-10-11,TX,48183,19.9,19.4,49.3,0.0,19.9,19.9
2020-10-18,TX,48183,25.3,25.3,51.5,0.0,25.3,25.3
2020-10-25,TX,48183,26.4,25.6,53.3,0.0,26.4,26.4
2020-11-01,TX,48183,32.4,31.7,54.6,0.0,32.7,32.4
2020-11-08,TX,48183,41.2,38.699999999999996,49.1,0.0,41.2,41.2
2020-11-15,TX,48183,47.4,46.2,46.900000000000006,0.0,47.4,47.4
2020-11-22,TX,48183,50.5,50.5,50.1,0.0,50.5,50.5
2020-11-29,TX,48183,50.0,45.4,48.2,0.0,50.0,50.0
2020-12-06,TX,48183,49.7,49.7,50.7,0.0,49.7,49.7
2020-12-13,TX,48183,63.7,63.400000000000006,52.7,0.0,63.7,63.7
2020-12-20,TX,48183,65.60000000000001,63.2,50.0,0.0,65.9,65.60000000000001
2020-12-27,TX,48183,78.7,76.7,54.1,0.0,78.7,78.7
2021-01-03,TX,48183,91.7,91.3,53.0,0.0,91.7,91.7
2021-01-10,TX,48183,102.30000000000001,101.80000000000001,53.1,0.0,102.30000000000001,102.30000000000001
2021-01-17,TX,48183,87.8,87.60000000000001,54.900000000000006,0.0,87.8,87.8
2021-01-24,TX,48183,71.7,71.7,60.099999999999994,0.0,71.7,71.7
2021-01-31,TX,48183,53.4,53.4,58.9,0.0,53.4,53.4
2021-02-07,TX,48183,40.3,39.6,52.3,0.0,40.3,40.3
2021-02-14,TX,48183,37.0,35.0,54.400000000000006,0.0,37.0,37.0
2021-02-21,TX,48183,25.1,25.1,53.0,0.0,25.1,25.1
2021-02-28,TX,48183,22.3,21.7,48.5,0.0,22.3,22.3
2021-03-07,TX,48183,14.3,13.1,45.0,0.0,14.3,14.3
2021-03-14,TX,48183,10.4,10.1,43.6,0.0,10.4,10.4
2021-03-21,TX,48183,8.9,8.9,38.3,0.0,8.9,8.9
2021-03-28,TX,48183,5.9,5.9,41.8,0.0,5.9,5.9
2021-04-04,TX,48183,5.1,5.0,35.5,0.0,5.1,5.1
2021-04-11,TX,48183,5.6,5.6,37.4,0.0,5.6,5.6
2021-04-18,TX,48183,9.6,9.6,40.4,0.0,9.6,9.6
2021-04-25,TX,48183,8.9,8.9,37.2,0.0,9.1,8.9
2021-05-02,TX,48183,9.3,9.3,34.8,0.0,9.3,9.3
2021-05-09,TX,48183,6.7,6.7,35.7,0.0,6.7,6.7
2021-05-16,TX,48183,6.9,6.0,38.900000000000006,0.0,6.9,6.9
2021-05-23,TX,48183,7.7,7.6,31.4,0.0,7.7,7.7
2021-05-30,TX,48183,0.0,0.0,35.3,0.0,0.0,0.0
2021-06-06,TX,48183,0.0,0.0,42.8,0.0,0.0,0.0
2021-06-13,TX,48183,5.0,5.0,39.7,0.0,5.0,5.0
2021-06-20,TX,48183,6.3,6.3,41.599999999999994,0.0,6.3,6.3
2021-06-27,TX,48183,7.0,7.0,42.9,0.0,7.0,7.0
2021-07-04,TX,48183,8.3,8.3,30.400000000000002,0.0,8.3,8.3
2021-07-11,TX,48183,10.0,10.0,31.1,0.0,10.0,10.0
2021-07-18,TX,48183,10.4,10.4,33.7,0.0,10.4,10.4
2021-07-25,TX,48183,11.0,11.0,31.4,0.0,11.0,11.0
2021-08-01,TX,48183,23.7,23.7,34.8,0.0,23.7,23.7
2021-08-08,TX,48183,52.7,52.7,34.3,0.0,52.7,52.7
2021-08-15,TX,48183,70.5,70.5,39.400000000000006,0.0,71.0,70.5
2021-08-22,TX,48183,86.39999999999999,86.39999999999999,32.3,0.0,87.39999999999999,86.39999999999999
2021-08-29,TX,48183,104.6,104.6,48.3,0.0,105.6,104.6
2021-09-05,TX,48183,113.1,113.1,56.5,0.0,113.4,113.1
2021-09-12,TX,48183,113.69999999999999,113.69999999999999,58.2,0.0,113.69999999999999,113.69999999999999
2021-09-19,TX,48183,103.2,103.2,57.0,0.0,103.2,103.2
2021-09-26,TX,48183,84.0,83.69999999999999,52.1,0.0,84.19999999999999,84.0
2021-10-03,TX,48183,58.3,58.3,48.1,0.0,58.3,58.3
2021-10-10,TX,48183,48.2,48.2,44.3,0.0,48.5,48.2
2021-10-17,TX,48183,32.9,32.9,51.7,0.0,33.199999999999996,32.9
2021-10-24,TX,48183,22.9,22.9,51.900000000000006,0.0,22.9,22.9
2021-10-31,TX,48183,20.3,20.3,48.0,0.0,20.3,20.3
2021-11-07,TX,48183,9.3,9.3,48.3,0.0,9.3,9.3
2021-11-14,TX,48183,5.1,5.1,45.0,0.0,5.1,5.1
2021-11-21,TX,48183,0.0,0.0,41.3,0.0,0.0,0.0
2021-11-28,TX,48183,4.6,4.6,36.7,0.0,4.6,4.6
2021-12-05,TX,48183,6.7,6.7,26.5,0.0,6.7,6.7
2021-12-12,TX,48183,9.6,9.6,26.0,0.0,9.6,9.6
2021-12-19,TX,48183,8.0,8.0,31.0,0.0,8.1,8.0
2021-12-26,TX,48183,11.3,11.3,28.8,0.0,11.3,11.3
