collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48187,15.7,15.7,13.0,0.0,15.7,15.7
2020-08-09,TX,48187,10.1,10.1,9.1,0.0,10.1,10.1
2020-08-16,TX,48187,5.1,5.1,7.1,0.0,5.1,5.1
2020-08-23,TX,48187,0,0,8.1,0.0,0,0.0
2020-08-30,TX,48187,0,0,6.9,0.0,0,0.0
2020-09-06,TX,48187,0,0,7.4,0.0,0,0.0
2020-09-13,TX,48187,0,0,5.9,0.0,0,0.0
2020-09-20,TX,48187,0,0,4.6,0.0,0,0.0
2020-09-27,TX,48187,0,0,6.6,0.0,0,0.0
2020-10-04,TX,48187,0,0,8.4,0.0,0,0.0
2020-10-11,TX,48187,5.6,5.6,7.4,0.0,5.6,5.6
2020-10-18,TX,48187,4.1,4.1,5.6,0.0,4.1,4.1
2020-10-25,TX,48187,0,0,9.0,0.0,0,0.0
2020-11-01,TX,48187,0,0,7.7,0.0,0,0.0
2020-11-08,TX,48187,0,0,6.3,0.0,0,0.0
2020-11-15,TX,48187,7.0,7.0,7.6,0.0,7.0,7.0
2020-11-22,TX,48187,11.6,11.6,10.1,0.0,11.6,11.6
2020-11-29,TX,48187,15.6,15.6,13.0,0.0,15.6,15.6
2020-12-06,TX,48187,20.1,20.1,14.6,0.0,20.1,20.1
2020-12-13,TX,48187,27.0,27.0,17.7,0.0,27.0,27.0
2020-12-20,TX,48187,31.1,31.1,16.6,0.0,31.1,31.1
2020-12-27,TX,48187,33.1,33.1,18.4,0.0,33.1,33.1
2021-01-03,TX,48187,33.3,33.3,18.4,0.0,33.3,33.3
2021-01-10,TX,48187,34.4,34.4,22.1,0.0,34.4,34.4
2021-01-17,TX,48187,32.1,32.1,20.7,0.0,32.1,32.1
2021-01-24,TX,48187,31.3,31.3,18.7,0.0,31.3,31.3
2021-01-31,TX,48187,25.6,25.6,18.7,0.0,25.6,25.6
2021-02-07,TX,48187,21.1,21.1,16.6,0.0,21.1,21.1
2021-02-14,TX,48187,15.8,15.8,12.5,0.0,15.8,15.8
2021-02-21,TX,48187,12.7,12.7,11.4,0.0,12.7,12.7
2021-02-28,TX,48187,10.1,10.1,9.7,0.0,10.1,10.1
2021-03-07,TX,48187,8.7,8.7,7.3,0.0,8.7,8.7
2021-03-14,TX,48187,7.9,7.9,9.7,0.0,7.9,7.9
2021-03-21,TX,48187,8.7,8.7,25.4,0.0,8.7,8.7
2021-03-28,TX,48187,4.9,4.9,11.7,0.0,4.9,4.9
2021-04-04,TX,48187,4.6,4.6,8.9,0.0,4.6,4.6
2021-04-11,TX,48187,4.7,4.7,8.1,0.0,4.7,4.7
2021-04-18,TX,48187,4.0,4.0,7.6,0.0,4.0,4.0
2021-04-25,TX,48187,7.1,7.1,6.6,0.0,7.1,7.1
2021-05-02,TX,48187,5.6,5.6,8.3,0.0,5.6,5.6
