collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48189,11.0,11.0,0,0.0,11.0,11.0
2020-08-09,TX,48189,9.1,8.7,0,0.0,9.1,9.1
2020-08-16,TX,48189,13.3,13.3,7.7,0.0,13.3,13.3
2020-08-23,TX,48189,0,0,0,0.0,0,0.0
2020-08-30,TX,48189,5.1,5.1,0,0,5.6,5.1
2020-09-06,TX,48189,0,0,0,0.0,0,0.0
2020-09-13,TX,48189,0,0,0,0.0,0,0.0
2020-09-20,TX,48189,0,0,0,0.0,0,0.0
2020-09-27,TX,48189,8.0,7.9,0,0.0,8.0,8.0
2020-10-04,TX,48189,9.1,8.7,0,0,9.7,9.1
2020-10-11,TX,48189,12.4,12.1,0,0.0,12.4,12.4
2020-10-18,TX,48189,16.0,15.9,4.6,0.0,16.0,16.0
2020-10-25,TX,48189,54.7,54.6,23.0,0.0,54.7,54.7
2020-11-01,TX,48189,21.0,21.0,4.0,0.0,21.0,21.0
2020-11-08,TX,48189,21.9,21.9,0,0.0,21.9,21.9
2020-11-15,TX,48189,24.9,24.9,4.0,0.0,24.9,24.9
2020-11-22,TX,48189,26.6,26.6,4.0,0.0,26.6,26.6
2020-11-29,TX,48189,26.7,26.7,4.3,0,26.9,26.7
2020-12-06,TX,48189,28.0,27.7,4.6,0.0,28.0,28.0
2020-12-13,TX,48189,24.1,24.0,4.1,0.0,24.1,24.1
2020-12-20,TX,48189,16.4,15.7,4.0,0.0,16.4,16.4
2020-12-27,TX,48189,14.0,14.0,0,0,14.6,14.0
2021-01-03,TX,48189,10.7,10.7,0,0.0,10.7,10.7
2021-01-10,TX,48189,9.3,9.3,0,0.0,9.3,9.3
2021-01-17,TX,48189,12.7,12.7,0,0,12.9,12.7
2021-01-24,TX,48189,10.6,10.6,0,0.0,10.6,10.6
2021-01-31,TX,48189,7.7,7.7,0,0.0,7.7,7.7
2021-02-07,TX,48189,4.0,0,0,0.0,4.0,4.0
2021-02-14,TX,48189,0,0,0,0.0,0,0.0
2021-02-21,TX,48189,0,0,0,0.0,0,0.0
2021-02-28,TX,48189,0,0,0,0,0,0.0
2021-03-07,TX,48189,0,0,0,0,0,0.0
2021-03-14,TX,48189,0,0,0,0,0,0.0
2021-03-21,TX,48189,0.0,0.0,0,0.0,0.0,0.0
2021-03-28,TX,48189,0,0,0,0.0,0,0.0
2021-04-04,TX,48189,0,0,0,0.0,0,0.0
2021-04-11,TX,48189,0,0,0,0.0,0,0.0
2021-04-18,TX,48189,0,0,0,0.0,0,0.0
2021-04-25,TX,48189,4.0,4.0,0,0.0,4.0,4.0
2021-05-02,TX,48189,0,0,0,0.0,0,0.0
2021-05-09,TX,48189,0,0,0,0.0,0,0.0
2021-05-16,TX,48189,0,0,0,0.0,0,0.0
2021-05-23,TX,48189,0,0,0,0.0,0,0.0
2021-05-30,TX,48189,0,0,0,0.0,0,0.0
2021-06-06,TX,48189,0,0,0,0.0,0,0.0
2021-06-13,TX,48189,0,0,0,0.0,0,0.0
2021-06-20,TX,48189,0,0,0,0.0,0,0.0
2021-06-27,TX,48189,0,0,0,0.0,0,0.0
2021-07-04,TX,48189,0,0,0,0.0,0,0.0
2021-07-11,TX,48189,0,0,0,0.0,0,0.0
2021-07-18,TX,48189,4.1,4.1,0,0.0,4.1,4.1
2021-07-25,TX,48189,5.9,5.9,0,0.0,5.9,5.9
2021-08-01,TX,48189,7.7,7.6,0,0.0,7.7,7.7
2021-08-08,TX,48189,10.7,10.7,0,0.0,10.7,10.7
2021-08-15,TX,48189,13.9,13.7,0,0,14.1,13.9
2021-08-22,TX,48189,13.9,13.9,4.0,0.0,13.9,13.9
2021-08-29,TX,48189,13.3,13.3,4.0,0.0,13.3,13.3
2021-09-05,TX,48189,12.4,12.4,0,0.0,12.4,12.4
2021-09-12,TX,48189,11.6,11.6,0,0,11.7,11.6
2021-09-19,TX,48189,16.4,16.4,0,0.0,16.4,16.4
2021-09-26,TX,48189,10.0,10.0,4.0,0.0,10.0,10.0
2021-10-03,TX,48189,8.4,8.4,0,0,8.6,8.4
2021-10-10,TX,48189,6.4,6.4,0,0.0,6.4,6.4
2021-10-17,TX,48189,7.0,7.0,0,0,7.3,7.0
2021-10-24,TX,48189,5.3,5.3,0,0.0,5.3,5.3
2021-10-31,TX,48189,7.1,7.1,0,0.0,7.1,7.1
2021-11-07,TX,48189,0,0,0,0.0,0,0.0
2021-11-14,TX,48189,5.6,5.6,0,0,6.1,5.6
2021-11-21,TX,48189,0,0,0,0.0,0,0.0
2021-11-28,TX,48189,8.9,8.9,0,0.0,8.9,8.9
2021-12-05,TX,48189,11.0,11.0,0,0.0,11.0,11.0
2021-12-12,TX,48189,11.1,11.1,4.0,0.0,11.1,11.1
2021-12-19,TX,48189,12.3,12.3,0,0.0,12.3,12.3
2021-12-26,TX,48189,9.1,9.1,0,0,9.3,9.1
