collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48221,8.1,4.7,8.0,0.0,8.1,8.1
2020-08-09,TX,48221,8.1,6.9,8.9,0.0,8.1,8.1
2020-08-16,TX,48221,6.1,4.9,7.7,0.0,6.1,6.1
2020-08-23,TX,48221,7.0,5.6,9.6,0.0,7.0,7.0
2020-08-30,TX,48221,0,0,10.1,0.0,0,0.0
2020-09-06,TX,48221,0,0,7.6,0.0,0,0.0
2020-09-13,TX,48221,0,0,7.9,0.0,0,0.0
2020-09-20,TX,48221,4.1,0,7.0,0.0,4.1,4.1
2020-09-27,TX,48221,5.6,0,6.0,0.0,5.6,5.6
2020-10-04,TX,48221,9.9,7.0,8.3,0.0,9.9,9.9
2020-10-11,TX,48221,10.4,7.7,8.1,0.0,10.4,10.4
2020-10-18,TX,48221,11.7,9.7,6.7,0.0,11.7,11.7
2020-10-25,TX,48221,9.9,7.3,9.0,0.0,9.9,9.9
2020-11-01,TX,48221,12.4,9.6,10.3,0.0,12.4,12.4
2020-11-08,TX,48221,12.3,10.3,11.0,0.0,12.3,12.3
2020-11-15,TX,48221,11.7,10.4,11.1,0.0,11.7,11.7
2020-11-22,TX,48221,16.4,14.4,11.1,0.0,16.4,16.4
2020-11-29,TX,48221,18.1,15.7,11.7,0.0,18.1,18.1
2020-12-06,TX,48221,19.7,16.3,11.6,0.0,19.7,19.7
2020-12-13,TX,48221,19.4,16.6,11.0,0.0,19.4,19.4
2020-12-20,TX,48221,20.4,18.3,11.9,0.0,20.4,20.4
2020-12-27,TX,48221,23.6,19.9,12.0,0.0,23.6,23.6
2021-01-03,TX,48221,29.3,25.7,18.3,0.0,29.3,29.3
2021-01-10,TX,48221,33.4,30.3,19.9,0.0,33.4,33.4
2021-01-17,TX,48221,22.3,18.0,16.1,0.0,22.3,22.3
2021-01-24,TX,48221,21.0,17.9,15.1,0.0,21.0,21.0
2021-01-31,TX,48221,18.0,13.9,12.4,0.0,18.0,18.0
2021-02-07,TX,48221,11.0,8.3,11.6,0.0,11.0,11.0
2021-02-14,TX,48221,9.8,7.2,10.2,0.0,9.8,9.8
2021-02-21,TX,48221,8.4,5.3,11.1,0.0,8.4,8.4
2021-02-28,TX,48221,4.4,0,9.1,0.0,4.4,4.4
2021-03-07,TX,48221,0,0,7.6,0.0,0,0.0
2021-03-14,TX,48221,0,0,6.3,0.0,0,0.0
2021-03-21,TX,48221,4.7,4.3,9.1,0.0,4.7,4.7
2021-03-28,TX,48221,4.7,4.4,8.1,0.0,4.7,4.7
2021-04-04,TX,48221,4.3,0,8.4,0.0,4.3,4.3
2021-04-11,TX,48221,5.9,5.0,6.7,0.0,5.9,5.9
2021-04-18,TX,48221,4.0,0,7.1,0.0,4.0,4.0
2021-04-25,TX,48221,4.1,0,9.0,0.0,4.1,4.1
2021-05-02,TX,48221,4.7,0,8.9,0.0,4.7,4.7
2021-05-09,TX,48221,4.1,0,6.1,0.0,4.1,4.1
2021-05-16,TX,48221,0,0,7.3,0.0,0,0.0
2021-05-23,TX,48221,0,0,6.0,0.0,0,0.0
2021-05-30,TX,48221,0,0,6.0,0.0,0,0.0
2021-06-06,TX,48221,0,0,6.0,0.0,0,0.0
2021-06-13,TX,48221,0,0,7.9,0.0,0,0.0
