collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48303,106.9,102.4,159.4,0.0,107.9,106.9
2020-08-09,TX,48303,87.0,85.9,157.60000000000002,0.0,87.3,87.0
2020-08-16,TX,48303,69.4,66.69999999999999,147.6,0.0,69.6,69.4
2020-08-23,TX,48303,72.5,72.5,137.0,0.0,72.5,72.5
2020-08-30,TX,48303,68.7,68.4,123.6,0.0,68.7,68.7
2020-09-06,TX,48303,69.1,68.4,128.0,0.0,69.1,69.1
2020-09-13,TX,48303,78.80000000000001,78.1,152.8,0.0,79.1,78.80000000000001
2020-09-20,TX,48303,91.0,90.1,152.3,0.0,91.0,91.0
2020-09-27,TX,48303,101.5,101.1,167.00000000000003,0.0,101.5,101.5
2020-10-04,TX,48303,134.5,132.8,174.90000000000003,0.0,135.3,134.5
2020-10-11,TX,48303,168.89999999999998,167.89999999999998,172.79999999999998,0.0,173.7,168.89999999999998
2020-10-18,TX,48303,212.0,210.5,173.2,0.0,217.70000000000002,212.0
2020-10-25,TX,48303,218.7,217.39999999999998,153.20000000000002,0.0,219.5,218.7
2020-11-01,TX,48303,276.5,273.70000000000005,177.20000000000002,0.0,283.4,276.5
2020-11-08,TX,48303,284.20000000000005,284.20000000000005,190.59999999999997,0.0,291.2,284.20000000000005
2020-11-15,TX,48303,334.4,334.1,191.50000000000003,5.9,342.4,340.29999999999995
2020-11-22,TX,48303,346.9,345.1,176.0,0.0,352.0,346.9
2020-11-29,TX,48303,347.09999999999997,346.59999999999997,194.0,0.0,353.49999999999994,347.09999999999997
2020-12-06,TX,48303,309.5,309.20000000000005,197.0,0.0,314.3,309.5
2020-12-13,TX,48303,276.70000000000005,276.1,188.0,0.0,278.70000000000005,276.70000000000005
2020-12-20,TX,48303,276.3,274.6,190.20000000000002,0.0,277.0,276.3
2020-12-27,TX,48303,268.8,268.20000000000005,177.9,0.0,270.1,268.8
2021-01-03,TX,48303,248.4,247.8,179.99999999999997,0.0,248.70000000000002,248.4
2021-01-10,TX,48303,235.90000000000003,233.8,177.5,0.0,236.10000000000002,235.90000000000003
2021-01-17,TX,48303,220.9,219.3,182.7,0.0,221.50000000000003,220.9
2021-01-24,TX,48303,165.29999999999998,165.0,171.8,0.0,165.29999999999998,165.29999999999998
2021-01-31,TX,48303,121.49999999999999,121.0,168.5,0.0,126.09999999999998,121.49999999999999
2021-02-07,TX,48303,100.5,99.8,165.20000000000002,0.0,100.5,100.5
2021-02-14,TX,48303,78.60000000000001,77.9,161.39999999999998,0.0,78.7,78.60000000000001
2021-02-21,TX,48303,65.6,64.8,177.1,0.0,65.9,65.6
2021-02-28,TX,48303,72.1,71.1,183.0,0.0,72.89999999999999,72.1
2021-03-07,TX,48303,55.0,54.3,171.9,0.0,55.4,55.0
2021-03-14,TX,48303,31.0,31.0,156.6,0.0,35.0,31.0
2021-03-21,TX,48303,27.0,22.6,156.89999999999998,0.0,27.0,27.0
2021-03-28,TX,48303,30.4,30.0,145.40000000000003,0.0,30.4,30.4
