collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48321,19.7,13.3,4.3,0.0,19.7,19.7
2020-08-09,TX,48321,15.4,15.3,0,0.0,15.4,15.4
2020-08-16,TX,48321,8.3,8.3,5.0,0.0,8.3,8.3
2020-08-23,TX,48321,6.9,6.9,0.0,0.0,6.9,6.9
2020-08-30,TX,48321,5.1,5.1,4.1,0.0,5.1,5.1
2020-09-06,TX,48321,4.9,4.9,4.0,0.0,4.9,4.9
2020-09-13,TX,48321,11.1,11.0,9.0,0.0,11.1,11.1
2020-09-20,TX,48321,17.9,17.6,13.4,0.0,17.9,17.9
2020-09-27,TX,48321,5.7,5.7,4.3,0.0,5.7,5.7
2020-10-04,TX,48321,10.4,10.3,5.4,0.0,10.4,10.4
2020-10-11,TX,48321,6.0,6.0,4.6,0.0,6.0,6.0
2020-10-18,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,TX,48321,6.3,6.3,5.3,0.0,6.3,6.3
2020-11-22,TX,48321,12.7,12.3,0.0,0.0,12.7,12.7
2020-11-29,TX,48321,11.7,11.7,5.0,0.0,12.3,11.7
2020-12-06,TX,48321,8.4,8.4,4.9,0.0,8.4,8.4
2020-12-13,TX,48321,12.9,12.9,4.6,0.0,12.9,12.9
2020-12-20,TX,48321,14.3,14.3,0.0,0.0,14.3,14.3
2020-12-27,TX,48321,10.1,10.0,0.0,0.0,10.1,10.1
2021-01-03,TX,48321,13.1,13.1,5.6,0.0,13.1,13.1
2021-01-10,TX,48321,16.0,16.0,5.7,0.0,16.0,16.0
2021-01-17,TX,48321,15.4,15.4,9.4,0.0,15.4,15.4
2021-01-24,TX,48321,11.7,11.7,0.0,0.0,11.7,11.7
2021-01-31,TX,48321,13.6,13.6,5.4,0.0,13.6,13.6
2021-02-07,TX,48321,9.4,9.4,4.7,0.0,9.4,9.4
2021-02-14,TX,48321,0,0,0.0,0.0,0,0.0
2021-02-21,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,TX,48321,4.9,4.9,0.0,0.0,4.9,4.9
2021-03-07,TX,48321,8.0,8.0,0.0,0.0,8.0,8.0
2021-03-14,TX,48321,4.7,4.7,0.0,0.0,4.7,4.7
2021-03-21,TX,48321,13.4,13.4,4.3,0.0,13.4,13.4
2021-03-28,TX,48321,13.6,13.6,4.4,0.0,13.6,13.6
2021-04-04,TX,48321,16.7,16.7,4.4,0.0,16.7,16.7
2021-04-11,TX,48321,10.7,10.7,4.1,0.0,10.7,10.7
2021-04-18,TX,48321,10.6,10.6,0.0,0.0,10.6,10.6
2021-04-25,TX,48321,8.3,8.3,0.0,0.0,8.3,8.3
2021-05-02,TX,48321,8.3,7.7,0.0,0.0,8.3,8.3
2021-05-09,TX,48321,11.9,11.9,0.0,0.0,11.9,11.9
2021-05-16,TX,48321,6.4,6.4,0.0,0.0,6.4,6.4
2021-05-23,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,TX,48321,0.0,0.0,4.1,0.0,0.0,0.0
2021-06-13,TX,48321,0.0,0.0,4.0,0.0,0.0,0.0
2021-06-20,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,TX,48321,4.0,4.0,0.0,0.0,4.0,4.0
2021-07-11,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,TX,48321,6.1,6.0,4.7,0.0,6.1,6.1
2021-07-25,TX,48321,7.7,7.6,5.7,0.0,7.7,7.7
2021-08-01,TX,48321,12.9,12.7,5.9,0.0,12.9,12.9
2021-08-08,TX,48321,20.1,19.7,6.0,0.0,20.1,20.1
2021-08-15,TX,48321,32.9,32.6,6.0,0.0,32.9,32.9
2021-08-22,TX,48321,29.7,29.7,6.0,0.0,29.7,29.7
2021-08-29,TX,48321,26.1,25.9,6.0,0.0,26.1,26.1
2021-09-05,TX,48321,27.200000000000003,22.3,6.0,0.0,27.200000000000003,27.200000000000003
2021-09-12,TX,48321,18.4,12.4,5.1,0.0,18.4,18.4
2021-09-19,TX,48321,9.1,9.1,4.1,0.0,9.1,9.1
2021-09-26,TX,48321,8.9,8.9,5.0,0.0,8.9,8.9
2021-10-03,TX,48321,9.1,9.1,5.1,0.0,9.1,9.1
2021-10-10,TX,48321,5.3,5.3,0.0,0.0,5.3,5.3
2021-10-17,TX,48321,0,0.0,4.1,0.0,0,0.0
2021-10-24,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-28,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-19,TX,48321,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,TX,48321,8.6,8.4,0.0,0.0,8.6,8.6
