collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48323,56.0,43.9,15.0,0.0,56.0,56.0
2020-08-09,TX,48323,42.3,30.7,12.3,0.0,42.3,42.3
2020-08-16,TX,48323,43.0,35.7,12.2,0.0,43.0,43.0
2020-08-23,TX,48323,40.4,34.6,11.0,0.0,40.4,40.4
2020-08-30,TX,48323,35.4,26.4,13.3,0.0,35.4,35.4
2020-09-06,TX,48323,28.6,22.9,10.6,0.0,28.6,28.6
2020-09-13,TX,48323,24.6,21.7,9.0,0.0,24.6,24.6
2020-09-20,TX,48323,15.3,11.0,11.6,0.0,15.3,15.3
2020-09-27,TX,48323,21.4,13.1,10.4,0.0,21.4,21.4
2020-10-04,TX,48323,21.1,13.6,8.4,0.0,21.1,21.1
2020-10-11,TX,48323,22.6,16.7,9.6,0.0,22.6,22.6
2020-10-18,TX,48323,24.9,17.3,9.1,0.0,24.9,24.9
2020-10-25,TX,48323,25.0,21.0,9.0,0.0,25.0,25.0
2020-11-01,TX,48323,18.1,14.7,8.0,0.0,18.1,18.1
2020-11-08,TX,48323,24.9,16.9,9.3,0.0,24.9,24.9
2020-11-15,TX,48323,21.6,17.0,8.9,0.0,21.6,21.6
2020-11-22,TX,48323,9.9,9.0,4.9,0.0,9.9,9.9
2020-11-29,TX,48323,14.7,13.4,10.1,0.0,14.7,14.7
2020-12-06,TX,48323,23.3,19.9,10.7,0.0,23.3,23.3
2020-12-13,TX,48323,27.1,24.9,9.6,0.0,27.1,27.1
2020-12-20,TX,48323,37.1,34.1,10.0,0.0,37.1,37.1
2020-12-27,TX,48323,30.3,27.7,9.9,0.0,30.3,30.3
2021-01-03,TX,48323,35.3,32.7,11.0,0,35.4,35.3
2021-01-10,TX,48323,49.7,45.4,13.4,0.0,49.7,49.7
2021-01-17,TX,48323,54.3,51.7,14.1,0.0,54.3,54.3
2021-01-24,TX,48323,59.1,54.9,17.6,0,59.4,59.1
2021-01-31,TX,48323,50.0,47.4,14.4,0.0,50.0,50.0
2021-02-07,TX,48323,39.3,37.0,10.3,0.0,39.3,39.3
2021-02-14,TX,48323,25.3,18.0,8.0,0.0,25.3,25.3
2021-02-21,TX,48323,12.3,8.9,7.6,0.0,12.3,12.3
2021-02-28,TX,48323,7.7,0,5.0,0.0,7.7,7.7
2021-03-07,TX,48323,4.4,0,7.9,0.0,4.4,4.4
2021-03-14,TX,48323,4.0,0,6.4,0.0,4.0,4.0
2021-03-21,TX,48323,0,0,7.6,0.0,0,0.0
2021-03-28,TX,48323,0,0.0,6.0,0.0,0,0.0
2021-04-04,TX,48323,0,0,6.7,0.0,0,0.0
2021-04-11,TX,48323,0,0,8.6,0.0,0,0.0
2021-04-18,TX,48323,0,0,6.1,0.0,0,0.0
2021-04-25,TX,48323,4.3,0,7.9,0.0,4.3,4.3
2021-05-02,TX,48323,0,0,5.4,0.0,0,0.0
2021-05-09,TX,48323,0,0,6.6,0.0,0,0.0
2021-05-16,TX,48323,0,0,6.7,0.0,0,0.0
2021-05-23,TX,48323,0,0,8.0,0.0,0,0.0
2021-05-30,TX,48323,0,0,6.6,0.0,0,0.0
2021-06-06,TX,48323,0,0,7.7,0.0,0,0.0
2021-06-13,TX,48323,0,0,7.0,0.0,0,0.0
2021-06-20,TX,48323,0,0,7.4,0.0,0,0.0
2021-06-27,TX,48323,0,0,7.0,0.0,0,0.0
2021-07-04,TX,48323,0,0,5.7,0.0,0,0.0
2021-07-11,TX,48323,0,0,5.1,0.0,0,0.0
2021-07-18,TX,48323,0,0,7.1,0.0,0,0.0
2021-07-25,TX,48323,6.7,6.7,7.3,0.0,6.7,6.7
2021-08-01,TX,48323,14.6,11.4,8.7,0.0,14.6,14.6
2021-08-08,TX,48323,21.6,16.0,9.6,0.0,21.6,21.6
2021-08-15,TX,48323,23.4,21.6,9.0,0.0,23.4,23.4
2021-08-22,TX,48323,22.3,20.0,12.6,0.0,22.3,22.3
2021-08-29,TX,48323,24.6,22.7,12.3,0.0,24.6,24.6
2021-09-05,TX,48323,26.3,23.7,13.0,0.0,26.3,26.3
2021-09-12,TX,48323,19.9,19.0,13.0,0.0,19.9,19.9
2021-09-19,TX,48323,15.4,13.7,13.4,0.0,15.4,15.4
2021-09-26,TX,48323,15.0,9.0,7.3,0.0,15.0,15.0
2021-10-03,TX,48323,8.0,0,8.4,0.0,8.0,8.0
2021-10-10,TX,48323,4.3,0,10.9,0.0,4.3,4.3
2021-10-17,TX,48323,0,0,8.4,0.0,0,0.0
2021-10-24,TX,48323,0,0,7.6,0.0,0,0.0
2021-10-31,TX,48323,4.7,4.7,10.1,0.0,4.7,4.7
2021-11-07,TX,48323,0,0,10.3,0.0,0,0.0
2021-11-14,TX,48323,0,0,6.4,0.0,0,0.0
2021-11-21,TX,48323,0,0,10.0,0.0,0,0.0
2021-11-28,TX,48323,0,0,10.7,0.0,0,0.0
2021-12-05,TX,48323,0,0,8.7,0.0,0,0.0
2021-12-12,TX,48323,0,0,8.3,0.0,0,0.0
2021-12-19,TX,48323,0,0,6.7,0.0,0,0.0
2021-12-26,TX,48323,4.6,0,5.1,0.0,4.6,4.6
