collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48339,129.0,108.5,60.7,0.0,129.7,129.0
2020-08-09,TX,48339,96.6,80.1,63.9,0.0,96.79999999999998,96.6
2020-08-16,TX,48339,71.3,58.3,71.9,0.0,71.3,71.3
2020-08-23,TX,48339,63.199999999999996,50.4,78.3,0.0,63.4,63.199999999999996
2020-08-30,TX,48339,49.6,38.0,73.1,0.0,49.6,49.6
2020-09-06,TX,48339,49.400000000000006,35.3,71.5,0.0,49.400000000000006,49.400000000000006
2020-09-13,TX,48339,55.4,38.300000000000004,80.8,0.0,55.4,55.4
2020-09-20,TX,48339,41.699999999999996,30.299999999999997,81.3,0.0,42.0,41.699999999999996
2020-09-27,TX,48339,41.7,33.1,87.6,0.0,41.7,41.7
2020-10-04,TX,48339,48.6,38.3,77.10000000000001,0.0,48.6,48.6
2020-10-11,TX,48339,54.400000000000006,45.8,82.6,0.0,54.6,54.400000000000006
2020-10-18,TX,48339,45.300000000000004,37.2,77.10000000000001,0.0,45.7,45.300000000000004
2020-10-25,TX,48339,55.6,48.199999999999996,98.69999999999999,0.0,55.7,55.6
2020-11-01,TX,48339,53.800000000000004,45.3,77.0,0.0,54.2,53.800000000000004
2020-11-08,TX,48339,65.0,53.9,86.69999999999999,0.0,65.0,65.0
2020-11-15,TX,48339,90.19999999999999,79.0,84.7,0.0,90.19999999999999,90.19999999999999
2020-11-22,TX,48339,104.0,91.6,101.9,0.0,104.1,104.0
2020-11-29,TX,48339,119.39999999999999,106.1,94.30000000000001,0.0,119.8,119.39999999999999
2020-12-06,TX,48339,117.60000000000001,101.2,92.8,0.0,117.9,117.60000000000001
2020-12-13,TX,48339,111.3,96.5,94.2,0.0,111.9,111.3
2020-12-20,TX,48339,136.7,121.8,94.0,0.0,137.0,136.7
2020-12-27,TX,48339,172.8,158.3,96.2,0.0,173.3,172.8
2021-01-03,TX,48339,197.7,184.5,102.19999999999999,0.0,198.0,197.7
2021-01-10,TX,48339,227.89999999999998,206.6,103.4,0.0,228.1,227.89999999999998
2021-01-17,TX,48339,210.1,195.3,107.1,0.0,210.8,210.1
2021-01-24,TX,48339,175.89999999999998,162.3,100.2,0.0,176.1,175.89999999999998
2021-01-31,TX,48339,157.6,136.4,100.5,0.0,157.9,157.6
2021-02-07,TX,48339,149.2,123.4,97.19999999999999,0.0,149.5,149.2
2021-02-14,TX,48339,122.1,105.9,106.19999999999999,0.0,122.1,122.1
2021-02-21,TX,48339,124.20000000000002,108.80000000000001,112.0,0.0,124.60000000000001,124.20000000000002
2021-02-28,TX,48339,104.80000000000001,87.60000000000001,96.4,0.0,105.0,104.80000000000001
2021-03-07,TX,48339,101.1,88.9,91.4,0.0,101.6,101.1
2021-03-14,TX,48339,84.1,69.4,90.9,0.0,84.7,84.1
2021-03-21,TX,48339,91.0,72.9,96.7,0.0,91.6,91.0
2021-03-28,TX,48339,87.19999999999999,69.19999999999999,100.0,0.0,87.19999999999999,87.19999999999999
2021-04-04,TX,48339,87.8,65.0,89.4,0.0,88.0,87.8
2021-04-11,TX,48339,75.9,56.5,100.0,0.0,76.2,75.9
2021-04-18,TX,48339,84.4,66.6,98.4,0.0,84.4,84.4
2021-04-25,TX,48339,73.19999999999999,57.7,106.89999999999999,0.0,73.6,73.19999999999999
2021-05-02,TX,48339,71.8,54.5,100.6,0.0,71.8,71.8
2021-05-09,TX,48339,65.3,50.7,87.5,0.0,65.6,65.3
2021-05-16,TX,48339,58.8,42.2,97.1,0.0,58.8,58.8
2021-05-23,TX,48339,46.6,31.699999999999996,81.2,0.0,46.9,46.6
2021-05-30,TX,48339,47.300000000000004,33.8,87.9,0.0,47.6,47.300000000000004
2021-06-06,TX,48339,44.4,31.6,88.5,0.0,44.9,44.4
2021-06-13,TX,48339,37.9,22.7,87.9,0.0,37.9,37.9
2021-06-20,TX,48339,23.6,14.7,77.7,0.0,23.6,23.6
2021-06-27,TX,48339,25.0,17.0,82.7,0.0,25.0,25.0
2021-07-04,TX,48339,31.700000000000003,23.4,84.8,0.0,31.700000000000003,31.700000000000003
2021-07-11,TX,48339,37.8,32.0,83.9,0.0,37.8,37.8
2021-07-18,TX,48339,71.1,64.19999999999999,88.5,0.0,71.1,71.1
2021-07-25,TX,48339,116.7,102.89999999999999,96.30000000000001,0.0,116.7,116.7
2021-08-01,TX,48339,156.8,147.5,87.60000000000001,0.0,157.1,156.8
2021-08-08,TX,48339,216.9,203.0,91.89999999999999,0.0,217.1,216.9
2021-08-15,TX,48339,256.0,243.5,101.7,0.0,256.8,256.0
2021-08-22,TX,48339,271.1,258.6,106.70000000000002,0.0,271.4,271.1
2021-08-29,TX,48339,270.8,256.2,107.4,0.0,271.4,270.8
2021-09-05,TX,48339,258.5,249.99999999999997,103.3,0.0,258.5,258.5
2021-09-12,TX,48339,229.39999999999998,220.2,108.1,0.0,229.39999999999998,229.39999999999998
2021-09-19,TX,48339,203.5,192.1,100.6,0.0,204.60000000000002,203.5
2021-09-26,TX,48339,175.9,163.9,101.4,0.0,176.0,175.9
2021-10-03,TX,48339,131.0,120.9,107.3,0.0,131.1,131.0
2021-10-10,TX,48339,98.6,88.3,98.99999999999999,0.0,98.6,98.6
2021-10-17,TX,48339,84.9,69.4,85.2,0.0,85.4,84.9
2021-10-24,TX,48339,60.2,49.6,74.0,0.0,60.4,60.2
2021-10-31,TX,48339,54.7,37.7,69.0,0.0,54.900000000000006,54.7
2021-11-07,TX,48339,49.5,35.0,75.4,0.0,49.5,49.5
2021-11-14,TX,48339,46.300000000000004,32.9,70.0,0.0,46.300000000000004,46.300000000000004
2021-11-21,TX,48339,38.5,24.4,59.3,0.0,38.5,38.5
2021-11-28,TX,48339,50.5,37.099999999999994,69.9,0.0,50.699999999999996,50.5
2021-12-05,TX,48339,52.0,41.1,86.5,0.0,52.0,52.0
2021-12-12,TX,48339,52.0,38.800000000000004,87.69999999999999,0.0,52.0,52.0
2021-12-19,TX,48339,65.3,49.7,82.6,0.0,65.6,65.3
2021-12-26,TX,48339,107.19999999999999,95.8,84.2,0.0,107.7,107.19999999999999
