collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48375,61.0,56.4,69.30000000000001,0.0,61.0,61.0
2020-08-09,TX,48375,60.3,57.0,76.9,0.0,60.3,60.3
2020-08-16,TX,48375,48.9,46.6,77.4,0.0,49.400000000000006,48.9
2020-08-23,TX,48375,50.0,47.7,86.1,0.0,50.6,50.0
2020-08-30,TX,48375,48.0,47.099999999999994,88.5,0.0,49.3,48.0
2020-09-06,TX,48375,46.0,45.5,92.4,0.0,47.2,46.0
2020-09-13,TX,48375,65.80000000000001,65.0,96.8,0.0,67.0,65.80000000000001
2020-09-20,TX,48375,71.0,70.4,94.2,0.0,73.1,71.0
2020-09-27,TX,48375,72.5,72.0,92.6,0.0,74.8,72.5
2020-10-04,TX,48375,103.6,102.9,94.19999999999999,0.0,105.30000000000001,103.6
2020-10-11,TX,48375,136.3,135.0,94.1,0.0,138.6,136.3
2020-10-18,TX,48375,165.1,164.6,118.6,0.0,167.1,165.1
2020-10-25,TX,48375,210.8,210.8,97.7,0.0,211.4,210.8
2020-11-01,TX,48375,241.29999999999998,241.0,110.0,0.0,243.1,241.29999999999998
2020-11-08,TX,48375,272.9,272.70000000000005,121.9,0.0,274.1,272.9
2020-11-15,TX,48375,297.29999999999995,297.29999999999995,118.69999999999999,0.0,299.6,297.29999999999995
2020-11-22,TX,48375,305.6,305.6,124.4,0.0,307.5,305.6
2020-11-29,TX,48375,301.3,301.3,143.7,0.0,303.70000000000005,301.3
2020-12-06,TX,48375,284.1,284.1,157.5,0.0,286.5,284.1
2020-12-13,TX,48375,249.70000000000002,249.70000000000002,158.0,0.0,250.60000000000002,249.70000000000002
2020-12-20,TX,48375,192.79999999999998,192.79999999999998,153.3,0.0,194.39999999999998,192.79999999999998
2020-12-27,TX,48375,195.0,195.0,156.10000000000002,0.0,197.1,195.0
2021-01-03,TX,48375,210.5,210.5,161.0,0.0,213.5,210.5
2021-01-10,TX,48375,219.29999999999998,219.29999999999998,155.4,0.0,221.29999999999998,219.29999999999998
2021-01-17,TX,48375,172.6,172.6,143.0,0.0,173.0,172.6
2021-01-24,TX,48375,147.8,147.8,138.0,0.0,148.2,147.8
2021-01-31,TX,48375,113.0,113.0,120.0,0.0,113.6,113.0
2021-02-07,TX,48375,81.7,81.7,116.0,0.0,82.4,81.7
2021-02-14,TX,48375,71.1,71.1,107.6,0.0,72.6,71.1
2021-02-21,TX,48375,54.9,54.9,97.6,0.0,55.2,54.9
2021-02-28,TX,48375,45.9,45.9,91.0,0.0,46.099999999999994,45.9
2021-03-07,TX,48375,42.0,42.0,85.6,0.0,42.1,42.0
2021-03-14,TX,48375,38.4,37.4,83.0,0.0,38.4,38.4
2021-03-21,TX,48375,39.0,38.7,78.9,0.0,39.3,39.0
2021-03-28,TX,48375,28.400000000000002,28.400000000000002,82.2,0.0,28.400000000000002,28.400000000000002
2021-04-04,TX,48375,19.0,18.9,86.4,0.0,19.1,19.0
