collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48441,52.4,46.6,38.2,0.0,52.7,52.4
2020-08-09,TX,48441,38.8,34.0,37.2,0.0,39.0,38.8
2020-08-16,TX,48441,27.1,24.3,30.6,0.0,27.1,27.1
2020-08-23,TX,48441,28.6,26.7,32.3,0.0,28.6,28.6
2020-08-30,TX,48441,24.6,23.6,35.9,0.0,24.6,24.6
2020-09-06,TX,48441,22.7,20.5,30.1,0.0,22.7,22.7
2020-09-13,TX,48441,27.699999999999996,24.1,26.0,0.0,27.699999999999996,27.699999999999996
2020-09-20,TX,48441,10.7,10.0,25.700000000000003,0.0,10.7,10.7
2020-09-27,TX,48441,26.099999999999998,23.0,31.599999999999998,0.0,26.099999999999998,26.099999999999998
2020-10-04,TX,48441,28.4,25.3,31.900000000000002,0.0,28.4,28.4
2020-10-11,TX,48441,38.4,36.0,30.5,0.0,38.4,38.4
2020-10-18,TX,48441,41.5,39.699999999999996,35.0,0.0,41.5,41.5
2020-10-25,TX,48441,34.9,30.700000000000003,30.900000000000002,0.0,34.9,34.9
2020-11-01,TX,48441,54.0,51.9,32.900000000000006,0.0,54.0,54.0
2020-11-08,TX,48441,58.5,55.5,36.0,0.0,58.5,58.5
2020-11-15,TX,48441,75.1,70.69999999999999,37.8,0.0,75.4,75.1
2020-11-22,TX,48441,91.7,89.3,44.0,0.0,91.7,91.7
2020-11-29,TX,48441,94.9,92.69999999999999,42.599999999999994,0.0,94.9,94.9
2020-12-06,TX,48441,108.3,106.0,51.8,0.0,108.6,108.3
2020-12-13,TX,48441,95.5,91.3,48.900000000000006,0.0,95.5,95.5
2020-12-20,TX,48441,95.9,94.6,47.0,0.0,95.9,95.9
2020-12-27,TX,48441,120.7,118.19999999999999,49.0,0.0,120.7,120.7
2021-01-03,TX,48441,135.10000000000002,131.8,58.8,0.0,135.10000000000002,135.10000000000002
2021-01-10,TX,48441,131.4,127.30000000000001,62.6,0.0,131.4,131.4
2021-01-17,TX,48441,125.1,121.9,59.0,0.0,125.1,125.1
2021-01-24,TX,48441,84.30000000000001,81.30000000000001,60.2,0.0,84.30000000000001,84.30000000000001
2021-01-31,TX,48441,60.0,55.3,54.0,0.0,60.0,60.0
2021-02-07,TX,48441,44.0,41.0,48.8,0.0,44.0,44.0
2021-02-14,TX,48441,26.4,25.5,48.2,0.0,26.4,26.4
2021-02-21,TX,48441,29.0,22.6,54.7,0.0,29.0,29.0
2021-02-28,TX,48441,23.400000000000002,20.2,49.300000000000004,0.0,23.400000000000002,23.400000000000002
2021-03-07,TX,48441,14.799999999999999,9.0,40.400000000000006,0.0,14.799999999999999,14.799999999999999
2021-03-14,TX,48441,17.7,15.1,39.2,0.0,17.7,17.7
2021-03-21,TX,48441,12.8,10.9,36.3,0.0,12.8,12.8
2021-03-28,TX,48441,13.0,8.1,36.2,0.0,13.0,13.0
2021-04-04,TX,48441,15.0,13.5,44.0,0.0,15.0,15.0
2021-04-11,TX,48441,8.6,7.6,43.2,0.0,8.6,8.6
2021-04-18,TX,48441,6.6,5.3,38.2,0.0,6.6,6.6
2021-04-25,TX,48441,17.4,14.8,35.0,0.0,17.4,17.4
2021-05-02,TX,48441,18.3,11.0,36.4,0.0,18.3,18.3
2021-05-09,TX,48441,10.3,9.3,34.2,0.0,10.3,10.3
2021-05-16,TX,48441,10.3,9.0,28.7,0.0,10.3,10.3
2021-05-23,TX,48441,12.6,11.3,30.0,0.0,12.6,12.6
2021-05-30,TX,48441,10.4,8.7,34.8,0.0,10.4,10.4
2021-06-06,TX,48441,8.9,7.3,33.3,0.0,8.9,8.9
2021-06-13,TX,48441,9.3,8.1,32.6,0.0,9.3,9.3
2021-06-20,TX,48441,11.4,5.4,26.1,0.0,11.4,11.4
2021-06-27,TX,48441,13.0,6.0,24.5,0.0,13.0,13.0
2021-07-04,TX,48441,5.3,0.0,30.4,0.0,5.3,5.3
2021-07-11,TX,48441,19.700000000000003,17.6,36.2,0.0,19.700000000000003,19.700000000000003
2021-07-18,TX,48441,21.2,18.7,36.1,0.0,21.2,21.2
2021-07-25,TX,48441,40.3,35.9,37.2,0.0,40.3,40.3
2021-08-01,TX,48441,62.7,58.0,36.3,0.0,62.7,62.7
2021-08-08,TX,48441,78.0,74.8,42.599999999999994,0.0,78.1,78.0
2021-08-15,TX,48441,79.9,76.4,43.0,0.0,80.0,79.9
2021-08-22,TX,48441,95.3,89.7,41.0,0.0,95.6,95.3
2021-08-29,TX,48441,116.9,109.69999999999999,46.0,0.0,116.9,116.9
2021-09-05,TX,48441,111.19999999999999,104.19999999999999,43.2,0.0,111.19999999999999,111.19999999999999
2021-09-12,TX,48441,104.5,98.7,45.0,0.0,104.5,104.5
2021-09-19,TX,48441,88.30000000000001,82.0,44.7,0.0,88.5,88.30000000000001
2021-09-26,TX,48441,71.1,67.0,45.400000000000006,0.0,71.7,71.1
2021-10-03,TX,48441,66.5,62.5,46.0,0.0,66.5,66.5
2021-10-10,TX,48441,65.9,59.7,46.3,0.0,66.0,65.9
2021-10-17,TX,48441,60.400000000000006,55.9,41.0,0.0,60.400000000000006,60.400000000000006
2021-10-24,TX,48441,43.8,40.4,44.7,0.0,43.8,43.8
2021-10-31,TX,48441,38.1,34.5,42.5,0.0,38.4,38.1
2021-11-07,TX,48441,30.0,26.0,40.2,0.0,30.0,30.0
2021-11-14,TX,48441,30.799999999999997,27.0,41.8,0.0,30.799999999999997,30.799999999999997
2021-11-21,TX,48441,41.6,38.5,38.3,0.0,41.6,41.6
2021-11-28,TX,48441,57.6,50.9,36.4,0.0,57.6,57.6
2021-12-05,TX,48441,41.5,38.2,34.1,0.0,41.6,41.5
2021-12-12,TX,48441,42.300000000000004,38.6,37.900000000000006,0.0,42.300000000000004,42.300000000000004
2021-12-19,TX,48441,32.5,28.299999999999997,29.4,0.0,32.5,32.5
2021-12-26,TX,48441,36.6,31.5,32.4,0.0,36.8,36.6
