collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48449,13.0,12.9,5.4,0.0,13.0,13.0
2020-08-09,TX,48449,8.1,8.0,4.0,0.0,8.1,8.1
2020-08-16,TX,48449,7.0,6.7,4.0,0.0,7.0,7.0
2020-08-23,TX,48449,0,0,6.3,0.0,0,0.0
2020-08-30,TX,48449,4.0,0,0,0.0,4.0,4.0
2020-09-06,TX,48449,0,0,0,0.0,0,0.0
2020-09-13,TX,48449,0,0,0,0.0,0,0.0
2020-09-20,TX,48449,4.9,0,0,0.0,4.9,4.9
2020-09-27,TX,48449,4.7,4.4,4.1,0.0,4.7,4.7
2020-10-04,TX,48449,0,0,4.9,0.0,0,0.0
2020-10-11,TX,48449,0,0,0,0.0,0,0.0
2020-10-18,TX,48449,7.6,7.1,0,0.0,7.6,7.6
2020-10-25,TX,48449,11.7,11.3,4.0,0.0,11.7,11.7
2020-11-01,TX,48449,9.9,9.9,0,0.0,9.9,9.9
2020-11-08,TX,48449,9.4,9.3,6.1,0.0,9.4,9.4
2020-11-15,TX,48449,12.9,12.7,6.7,0.0,12.9,12.9
2020-11-22,TX,48449,13.6,13.6,5.3,0.0,13.6,13.6
2020-11-29,TX,48449,15.3,15.3,6.1,0.0,15.3,15.3
2020-12-06,TX,48449,14.1,14.1,6.0,0.0,14.1,14.1
2020-12-13,TX,48449,13.6,13.6,5.9,0.0,13.6,13.6
2020-12-20,TX,48449,14.3,14.0,0,0.0,14.3,14.3
2020-12-27,TX,48449,22.6,22.4,8.0,0.0,22.6,22.6
2021-01-03,TX,48449,22.6,22.6,7.9,0.0,22.6,22.6
2021-01-10,TX,48449,19.4,19.4,8.1,0.0,19.4,19.4
2021-01-17,TX,48449,23.9,23.9,10.6,0.0,23.9,23.9
2021-01-24,TX,48449,19.4,19.4,4.9,0.0,19.4,19.4
2021-01-31,TX,48449,13.0,13.0,6.4,0.0,13.0,13.0
2021-02-07,TX,48449,13.6,13.6,7.3,0.0,13.6,13.6
2021-02-14,TX,48449,14.8,14.8,11.0,0.0,14.8,14.8
2021-02-21,TX,48449,12.1,11.9,9.0,0.0,12.1,12.1
2021-02-28,TX,48449,4.1,4.1,6.1,0.0,4.1,4.1
2021-03-07,TX,48449,0,0,4.7,0.0,0,0.0
2021-03-14,TX,48449,0,0,5.3,0.0,0,0.0
2021-03-21,TX,48449,0,0,0,0.0,0,0.0
2021-03-28,TX,48449,0,0,0,0.0,0,0.0
2021-04-04,TX,48449,0,0,0,0.0,0,0.0
2021-04-11,TX,48449,0,0,0,0.0,0,0.0
2021-04-18,TX,48449,0,0,4.1,0.0,0,0.0
2021-04-25,TX,48449,0,0,4.7,0.0,0,0.0
2021-05-02,TX,48449,0,0,6.0,0.0,0,0.0
2021-05-09,TX,48449,0,0,0,0.0,0,0.0
2021-05-16,TX,48449,0,0,4.9,0.0,0,0.0
2021-05-23,TX,48449,0,0,4.7,0.0,0,0.0
2021-05-30,TX,48449,0,0,4.4,0.0,0,0.0
2021-06-06,TX,48449,0,0,4.9,0.0,0,0.0
2021-06-13,TX,48449,0,0,6.7,0.0,0,0.0
2021-06-20,TX,48449,0,0,5.7,0.0,0,0.0
2021-06-27,TX,48449,0,0,5.1,0.0,0,0.0
2021-07-04,TX,48449,0,0,5.6,0.0,0,0.0
2021-07-11,TX,48449,0,0,4.7,0.0,0,0.0
2021-07-18,TX,48449,4.3,0,6.6,0.0,4.3,4.3
2021-07-25,TX,48449,7.1,7.1,7.3,0.0,7.1,7.1
2021-08-01,TX,48449,10.7,10.7,6.9,0.0,10.7,10.7
2021-08-08,TX,48449,21.0,15.0,6.3,0.0,21.0,21.0
2021-08-15,TX,48449,18.4,17.3,6.7,0.0,18.4,18.4
2021-08-22,TX,48449,19.4,17.7,6.1,0.0,19.4,19.4
2021-08-29,TX,48449,20.3,18.4,8.0,0.0,20.3,20.3
2021-09-05,TX,48449,23.1,23.1,8.6,0.0,23.1,23.1
2021-09-12,TX,48449,19.3,19.3,8.4,0.0,19.3,19.3
2021-09-19,TX,48449,16.7,16.7,8.6,0.0,16.7,16.7
2021-09-26,TX,48449,10.0,10.0,4.7,0.0,10.0,10.0
2021-10-03,TX,48449,7.1,7.1,4.0,0.0,7.1,7.1
2021-10-10,TX,48449,8.7,8.7,6.6,0.0,8.7,8.7
2021-10-17,TX,48449,6.7,6.3,6.3,0.0,6.7,6.7
2021-10-24,TX,48449,0,0,4.1,0.0,0,0.0
2021-10-31,TX,48449,0,0,0,0.0,0,0.0
2021-11-07,TX,48449,0,0,0,0.0,0,0.0
2021-11-14,TX,48449,0,0,0,0.0,0,0.0
2021-11-21,TX,48449,0,0,0,0.0,0,0.0
2021-11-28,TX,48449,0,0,0,0.0,0,0.0
2021-12-05,TX,48449,4.9,4.9,4.0,0.0,4.9,4.9
2021-12-12,TX,48449,4.7,4.7,5.4,0.0,4.7,4.7
2021-12-19,TX,48449,0,0,5.7,0.0,0,0.0
2021-12-26,TX,48449,0,0,5.6,0.0,0,0.0
