collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48453,279.8,277.0,248.6,0.0,286.40000000000003,279.8
2020-08-09,TX,48453,258.90000000000003,250.29999999999998,233.00000000000003,0.0,263.50000000000006,258.90000000000003
2020-08-16,TX,48453,205.29999999999995,193.79999999999998,253.8,0.0,210.5,205.29999999999995
2020-08-23,TX,48453,130.39999999999998,127.6,245.5,0.0,130.39999999999998,130.39999999999998
2020-08-30,TX,48453,111.19999999999999,106.99999999999999,237.60000000000002,0.0,111.79999999999998,111.19999999999999
2020-09-06,TX,48453,96.19999999999999,91.49999999999999,235.5,0.0,97.19999999999999,96.19999999999999
2020-09-13,TX,48453,66.5,61.800000000000004,228.60000000000002,0.0,67.9,66.5
2020-09-20,TX,48453,73.30000000000001,67.00000000000001,224.2,0.0,74.9,73.30000000000001
2020-09-27,TX,48453,65.7,62.0,212.60000000000002,0.0,65.7,65.7
2020-10-04,TX,48453,71.7,66.2,221.6,0.0,72.4,71.7
2020-10-11,TX,48453,73.7,70.4,221.39999999999998,0.0,74.3,73.7
2020-10-18,TX,48453,106.6,100.9,242.2,0.0,106.6,106.6
2020-10-25,TX,48453,90.5,86.30000000000001,209.20000000000002,0.0,91.1,90.5
2020-11-01,TX,48453,98.1,94.3,238.4,0.0,98.1,98.1
2020-11-08,TX,48453,104.0,99.4,252.60000000000002,0.0,105.19999999999999,104.0
2020-11-15,TX,48453,149.4,145.5,263.4,0.0,152.0,149.4
2020-11-22,TX,48453,170.39999999999998,165.89999999999998,249.5,0.0,171.1,170.39999999999998
2020-11-29,TX,48453,155.5,143.2,252.79999999999998,0.0,155.89999999999998,155.5
2020-12-06,TX,48453,199.89999999999998,192.79999999999998,275.1,0.0,199.89999999999998,199.89999999999998
2020-12-13,TX,48453,227.70000000000002,222.1,269.3,4.1,232.7,231.8
2020-12-20,TX,48453,255.3,249.79999999999998,267.20000000000005,0.0,255.8,255.3
2020-12-27,TX,48453,320.09999999999997,314.8,275.5,0.0,322.09999999999997,320.09999999999997
2021-01-03,TX,48453,394.6,384.80000000000007,295.7,6.0,403.5,400.6
2021-01-10,TX,48453,449.20000000000005,443.20000000000005,312.7,5.3,455.6,454.50000000000006
2021-01-17,TX,48453,417.4,413.0,301.3,5.4,424.5999999999999,422.79999999999995
2021-01-24,TX,48453,340.9,334.09999999999997,279.6,7.9,349.79999999999995,348.79999999999995
2021-01-31,TX,48453,292.9,286.9,271.09999999999997,10.3,303.79999999999995,303.2
2021-02-07,TX,48453,269.7,257.5,273.2,8.1,281.2,277.8
2021-02-14,TX,48453,250.60000000000002,247.7,276.90000000000003,0.0,251.60000000000002,250.60000000000002
2021-02-21,TX,48453,218.10000000000002,211.10000000000002,272.29999999999995,0.0,218.80000000000004,218.10000000000002
2021-02-28,TX,48453,157.5,153.20000000000002,266.3,5.4,163.9,162.9
2021-03-07,TX,48453,134.79999999999998,130.9,270.0,4.6,140.70000000000002,139.39999999999998
2021-03-14,TX,48453,117.4,114.30000000000001,248.8,0.0,118.1,117.4
2021-03-21,TX,48453,114.10000000000001,111.3,249.20000000000002,0.0,114.30000000000001,114.10000000000001
2021-03-28,TX,48453,100.89999999999999,97.29999999999998,255.7,0.0,100.89999999999999,100.89999999999999
2021-04-04,TX,48453,86.2,84.7,254.0,0.0,88.10000000000001,86.2
2021-04-11,TX,48453,98.0,88.50000000000001,266.0,0.0,98.39999999999999,98.0
2021-04-18,TX,48453,93.69999999999999,92.1,262.40000000000003,5.0,98.99999999999999,98.69999999999999
2021-04-25,TX,48453,85.10000000000001,83.3,269.1,6.6,91.80000000000001,91.7
2021-05-02,TX,48453,72.6,70.0,236.8,4.0,78.5,76.6
2021-05-09,TX,48453,70.2,66.7,238.09999999999997,5.3,78.70000000000002,75.5
2021-05-16,TX,48453,69.5,66.1,244.2,0.0,70.1,69.5
2021-05-23,TX,48453,73.0,67.4,236.1,0.0,74.8,73.0
2021-05-30,TX,48453,63.0,59.7,233.39999999999998,0.0,63.599999999999994,63.0
2021-06-06,TX,48453,62.99999999999999,59.6,238.7,0.0,63.699999999999996,62.99999999999999
2021-06-13,TX,48453,61.2,56.7,237.0,0.0,61.5,61.2
2021-06-20,TX,48453,48.0,45.199999999999996,228.79999999999998,0.0,48.0,48.0
2021-06-27,TX,48453,44.4,40.4,247.8,0.0,44.7,44.4
2021-07-04,TX,48453,58.5,54.6,249.5,4.0,63.699999999999996,62.5
2021-07-11,TX,48453,82.99999999999999,79.00000000000001,246.4,0.0,83.6,82.99999999999999
2021-07-18,TX,48453,126.99999999999999,118.60000000000002,243.4,0.0,127.19999999999999,126.99999999999999
2021-07-25,TX,48453,174.1,170.7,248.00000000000003,6.4,180.49999999999997,180.5
2021-08-01,TX,48453,265.1,258.5,264.40000000000003,12.4,278.8,277.5
2021-08-08,TX,48453,336.0,329.6,287.9,15.6,354.09999999999997,351.6
2021-08-15,TX,48453,353.5,349.29999999999995,294.6,8.9,363.0,362.4
2021-08-22,TX,48453,381.40000000000003,379.70000000000005,298.1,10.1,393.9,391.50000000000006
2021-08-29,TX,48453,378.99999999999994,376.59999999999997,303.00000000000006,11.3,392.8999999999999,390.29999999999995
2021-09-05,TX,48453,359.8,353.1,293.0,13.9,375.90000000000003,373.7
2021-09-12,TX,48453,341.09999999999997,334.0,292.9,12.3,355.0,353.4
2021-09-19,TX,48453,295.6,293.90000000000003,297.9,14.700000000000001,310.3,310.3
2021-09-26,TX,48453,228.3,226.10000000000002,291.5,7.1,240.8,235.4
2021-10-03,TX,48453,179.9,178.1,283.7,8.1,191.5,188.0
2021-10-10,TX,48453,149.5,145.3,249.29999999999998,8.7,161.0,158.2
2021-10-17,TX,48453,126.0,124.1,245.0,4.7,132.7,130.7
