collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48469,141.0,141.0,53.800000000000004,0.0,141.0,141.0
2020-08-09,TX,48469,89.6,89.6,52.300000000000004,0.0,89.6,89.6
2020-08-16,TX,48469,106.10000000000001,104.70000000000002,79.5,0.0,107.10000000000001,106.10000000000001
2020-08-23,TX,48469,81.69999999999999,81.69999999999999,46.7,0.0,81.69999999999999,81.69999999999999
2020-08-30,TX,48469,66.5,65.6,47.0,0.0,66.5,66.5
2020-09-06,TX,48469,59.300000000000004,59.00000000000001,39.5,0.0,59.300000000000004,59.300000000000004
2020-09-13,TX,48469,61.699999999999996,61.699999999999996,39.3,0.0,61.699999999999996,61.699999999999996
2020-09-20,TX,48469,54.199999999999996,54.199999999999996,35.6,0.0,54.199999999999996,54.199999999999996
2020-09-27,TX,48469,44.6,44.6,39.0,0.0,44.6,44.6
2020-10-04,TX,48469,42.0,41.800000000000004,34.00000000000001,0.0,42.0,42.0
2020-10-11,TX,48469,33.6,33.6,367.00000000000006,0.0,33.6,33.6
2020-10-18,TX,48469,21.5,21.5,32.0,0.0,21.5,21.5
2020-10-25,TX,48469,14.399999999999999,14.399999999999999,34.0,0.0,14.399999999999999,14.399999999999999
2020-11-01,TX,48469,32.1,32.1,34.699999999999996,0.0,32.1,32.1
2020-11-08,TX,48469,36.4,36.2,25.799999999999997,0.0,36.4,36.4
2020-11-15,TX,48469,53.0,53.0,16.3,0.0,53.3,53.0
2020-11-22,TX,48469,64.8,64.7,16.9,0.0,64.8,64.8
2020-11-29,TX,48469,72.5,72.1,21.3,0.0,72.7,72.5
2020-12-06,TX,48469,70.5,70.5,22.2,0.0,70.5,70.5
2020-12-13,TX,48469,69.8,69.8,33.699999999999996,0.0,69.8,69.8
2020-12-20,TX,48469,81.9,81.9,51.8,0.0,81.9,81.9
2020-12-27,TX,48469,93.69999999999999,93.69999999999999,57.300000000000004,0.0,93.69999999999999,93.69999999999999
2021-01-03,TX,48469,99.7,99.7,55.3,0.0,99.7,99.7
2021-01-10,TX,48469,118.5,118.19999999999999,54.5,0.0,118.5,118.5
2021-01-17,TX,48469,132.4,130.1,60.5,0.0,132.4,132.4
2021-01-24,TX,48469,139.9,138.7,62.5,0.0,139.9,139.9
2021-01-31,TX,48469,113.8,112.69999999999999,57.0,0.0,113.8,113.8
2021-02-07,TX,48469,100.80000000000001,100.80000000000001,57.699999999999996,0.0,100.80000000000001,100.80000000000001
2021-02-14,TX,48469,80.1,80.1,51.6,0.0,80.1,80.1
2021-02-21,TX,48469,62.1,62.1,52.8,0.0,62.1,62.1
2021-02-28,TX,48469,49.8,49.599999999999994,45.199999999999996,0.0,49.8,49.8
2021-03-07,TX,48469,37.6,37.1,37.7,0.0,37.6,37.6
2021-03-14,TX,48469,26.9,26.9,34.7,0.0,26.9,26.9
2021-03-21,TX,48469,15.6,15.6,40.0,0.0,15.6,15.6
2021-03-28,TX,48469,17.9,17.9,39.300000000000004,0.0,17.9,17.9
2021-04-04,TX,48469,14.0,14.0,40.2,0.0,14.1,14.0
2021-04-11,TX,48469,26.8,26.8,40.0,0.0,27.3,26.8
2021-04-18,TX,48469,27.4,27.4,41.3,0.0,27.4,27.4
2021-04-25,TX,48469,30.599999999999998,30.599999999999998,41.400000000000006,0.0,30.599999999999998,30.599999999999998
2021-05-02,TX,48469,34.9,34.9,41.1,0.0,34.9,34.9
2021-05-09,TX,48469,39.199999999999996,39.199999999999996,46.4,0.0,39.199999999999996,39.199999999999996
2021-05-16,TX,48469,45.6,45.6,43.1,0.0,45.6,45.6
2021-05-23,TX,48469,39.6,39.6,43.5,0.0,39.6,39.6
2021-05-30,TX,48469,32.5,32.5,43.0,0.0,32.5,32.5
2021-06-06,TX,48469,24.6,24.6,39.699999999999996,0.0,24.6,24.6
2021-06-13,TX,48469,23.5,23.5,42.1,0.0,23.5,23.5
2021-06-20,TX,48469,10.3,10.3,43.099999999999994,0.0,10.3,10.3
2021-06-27,TX,48469,9.9,9.9,41.5,0.0,9.9,9.9
2021-07-04,TX,48469,20.0,19.4,47.9,0.0,20.0,20.0
2021-07-11,TX,48469,26.700000000000003,26.6,50.3,0.0,26.700000000000003,26.700000000000003
2021-07-18,TX,48469,35.7,35.7,47.099999999999994,0.0,35.7,35.7
2021-07-25,TX,48469,56.7,56.400000000000006,52.0,0.0,56.7,56.7
2021-08-01,TX,48469,89.6,89.1,47.1,0.0,89.6,89.6
2021-08-08,TX,48469,112.69999999999999,112.69999999999999,50.6,0.0,112.69999999999999,112.69999999999999
2021-08-15,TX,48469,130.8,130.8,50.4,0.0,130.8,130.8
2021-08-22,TX,48469,148.0,147.8,56.6,0.0,148.0,148.0
2021-08-29,TX,48469,154.3,154.3,62.5,0.0,154.3,154.3
2021-09-05,TX,48469,155.79999999999998,154.0,60.0,0.0,155.79999999999998,155.79999999999998
2021-09-12,TX,48469,150.1,150.1,61.9,0.0,150.1,150.1
2021-09-19,TX,48469,123.6,123.6,58.9,0.0,123.6,123.6
2021-09-26,TX,48469,102.5,102.5,56.3,0.0,102.5,102.5
2021-10-03,TX,48469,81.9,81.9,51.4,0.0,81.9,81.9
2021-10-10,TX,48469,59.699999999999996,59.699999999999996,40.3,0.0,59.699999999999996,59.699999999999996
2021-10-17,TX,48469,52.5,52.5,47.7,0.0,52.5,52.5
2021-10-24,TX,48469,35.099999999999994,35.099999999999994,46.7,0.0,35.099999999999994,35.099999999999994
2021-10-31,TX,48469,28.5,28.5,43.0,0.0,28.5,28.5
2021-11-07,TX,48469,23.200000000000003,23.200000000000003,40.0,0.0,23.200000000000003,23.200000000000003
2021-11-14,TX,48469,19.7,19.7,37.9,0.0,19.7,19.7
2021-11-21,TX,48469,17.2,17.2,33.2,0.0,17.2,17.2
2021-11-28,TX,48469,13.299999999999999,13.299999999999999,37.8,0.0,13.299999999999999,13.299999999999999
2021-12-05,TX,48469,5.0,5.0,35.7,0.0,5.0,5.0
2021-12-12,TX,48469,4.7,4.7,38.9,0.0,4.7,4.7
2021-12-19,TX,48469,0,0,35.9,0.0,0,0.0
2021-12-26,TX,48469,11.8,11.8,34.9,0.0,11.8,11.8
