collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48479,210.39999999999998,210.1,102.89999999999999,0.0,210.39999999999998,210.39999999999998
2020-08-09,TX,48479,182.1,182.1,91.7,0.0,182.1,182.1
2020-08-16,TX,48479,147.70000000000002,147.70000000000002,82.19999999999999,0.0,147.70000000000002,147.70000000000002
2020-08-23,TX,48479,150.29999999999998,150.29999999999998,94.3,0.0,150.29999999999998,150.29999999999998
2020-08-30,TX,48479,124.69999999999999,124.69999999999999,96.3,0.0,124.69999999999999,124.69999999999999
2020-09-06,TX,48479,120.3,120.3,92.30000000000001,0.0,120.3,120.3
2020-09-13,TX,48479,97.80000000000001,97.80000000000001,92.6,0.0,97.80000000000001,97.80000000000001
2020-09-20,TX,48479,84.6,83.5,88.00000000000001,0.0,84.6,84.6
2020-09-27,TX,48479,81.6,81.6,87.4,0.0,81.6,81.6
2020-10-04,TX,48479,74.5,74.5,88.3,0.0,74.5,74.5
2020-10-11,TX,48479,60.6,60.6,70.1,0.0,60.6,60.6
2020-10-18,TX,48479,60.1,60.1,71.7,0.0,60.1,60.1
2020-10-25,TX,48479,59.1,59.1,62.0,0.0,59.1,59.1
2020-11-01,TX,48479,58.8,58.8,71.69999999999999,0.0,58.8,58.8
2020-11-08,TX,48479,68.1,68.1,76.8,0.0,68.1,68.1
2020-11-15,TX,48479,106.60000000000001,106.60000000000001,70.7,0.0,106.60000000000001,106.60000000000001
2020-11-22,TX,48479,125.20000000000002,125.20000000000002,79.8,0.0,125.20000000000002,125.20000000000002
2020-11-29,TX,48479,137.2,137.2,81.3,0.0,137.2,137.2
2020-12-06,TX,48479,144.99999999999997,144.99999999999997,84.4,0.0,144.99999999999997,144.99999999999997
2020-12-13,TX,48479,141.79999999999998,141.79999999999998,82.39999999999999,0.0,141.79999999999998,141.79999999999998
2020-12-20,TX,48479,167.09999999999997,167.09999999999997,85.69999999999999,0.0,167.09999999999997,167.09999999999997
2020-12-27,TX,48479,179.89999999999998,179.89999999999998,89.6,0.0,179.89999999999998,179.89999999999998
2021-01-03,TX,48479,206.7,206.7,95.5,0.0,206.7,206.7
2021-01-10,TX,48479,230.4,230.4,104.89999999999999,0.0,230.4,230.4
2021-01-17,TX,48479,243.1,243.1,112.9,0.0,243.1,243.1
2021-01-24,TX,48479,231.0,231.0,108.5,0.0,231.0,231.0
2021-01-31,TX,48479,190.4,190.4,103.30000000000001,0.0,190.4,190.4
2021-02-07,TX,48479,142.9,142.9,98.0,0.0,142.9,142.9
2021-02-14,TX,48479,381.09999999999997,381.09999999999997,85.5,0.0,381.09999999999997,381.09999999999997
2021-02-21,TX,48479,64.7,64.7,75.3,0.0,64.7,64.7
2021-02-28,TX,48479,36.0,36.0,68.60000000000001,0.0,36.0,36.0
2021-03-07,TX,48479,29.4,29.4,63.9,0.0,29.4,29.4
2021-03-14,TX,48479,22.799999999999997,22.799999999999997,60.1,0.0,22.799999999999997,22.799999999999997
2021-03-21,TX,48479,16.0,16.0,55.6,0.0,16.0,16.0
2021-03-28,TX,48479,8.399999999999999,8.399999999999999,52.599999999999994,0.0,8.399999999999999,8.399999999999999
2021-04-04,TX,48479,12.399999999999999,12.399999999999999,59.1,0.0,12.399999999999999,12.399999999999999
2021-04-11,TX,48479,14.3,14.3,59.3,0.0,14.3,14.3
2021-04-18,TX,48479,21.7,21.7,58.4,0.0,21.7,21.7
2021-04-25,TX,48479,13.1,13.1,45.0,0.0,13.1,13.1
2021-05-02,TX,48479,12.9,12.9,44.7,0.0,12.9,12.9
2021-05-09,TX,48479,9.4,9.4,46.1,0.0,9.4,9.4
2021-05-16,TX,48479,9.1,9.1,48.3,0.0,9.1,9.1
2021-05-23,TX,48479,8.4,8.4,48.6,0.0,8.4,8.4
2021-05-30,TX,48479,9.9,9.9,48.2,0.0,9.9,9.9
2021-06-06,TX,48479,12.6,12.6,48.4,0.0,12.6,12.6
2021-06-13,TX,48479,11.4,11.4,49.1,0.0,11.4,11.4
2021-06-20,TX,48479,13.3,13.3,50.1,0.0,13.3,13.3
2021-06-27,TX,48479,15.7,15.7,64.1,0.0,15.7,15.7
2021-07-04,TX,48479,12.9,12.9,48.60000000000001,0.0,12.9,12.9
2021-07-11,TX,48479,17.4,17.4,49.699999999999996,0.0,17.4,17.4
2021-07-18,TX,48479,30.5,30.5,46.3,0.0,30.5,30.5
2021-07-25,TX,48479,44.4,44.4,47.6,0.0,44.4,44.4
2021-08-01,TX,48479,47.7,47.7,59.199999999999996,0.0,47.7,47.7
2021-08-08,TX,48479,83.5,83.5,56.199999999999996,0.0,83.5,83.5
2021-08-15,TX,48479,78.7,78.7,58.7,0.0,78.7,78.7
2021-08-22,TX,48479,85.9,85.5,62.800000000000004,0.0,85.9,85.9
2021-08-29,TX,48479,74.0,74.0,55.8,0.0,74.0,74.0
2021-09-05,TX,48479,58.7,58.7,57.1,0.0,58.7,58.7
2021-09-12,TX,48479,50.099999999999994,50.099999999999994,55.6,0.0,50.099999999999994,50.099999999999994
2021-09-19,TX,48479,44.8,44.8,59.9,0.0,44.8,44.8
2021-09-26,TX,48479,33.1,33.1,59.6,0.0,33.1,33.1
2021-10-03,TX,48479,17.3,17.3,53.099999999999994,0.0,17.3,17.3
2021-10-10,TX,48479,14.0,14.0,49.7,0.0,14.0,14.0
2021-10-17,TX,48479,15.7,15.7,51.0,0.0,15.7,15.7
2021-10-24,TX,48479,8.7,8.7,48.2,0.0,8.7,8.7
2021-10-31,TX,48479,11.1,11.1,44.800000000000004,0.0,11.1,11.1
2021-11-07,TX,48479,16.1,16.1,42.2,0.0,16.1,16.1
2021-11-14,TX,48479,6.0,6.0,50.6,0.0,6.0,6.0
2021-11-21,TX,48479,6.5,6.5,50.8,0.0,6.5,6.5
2021-11-28,TX,48479,8.4,8.4,47.5,0.0,8.4,8.4
2021-12-05,TX,48479,14.6,14.6,55.0,0.0,14.6,14.6
2021-12-12,TX,48479,14.1,14.1,57.0,0.0,14.1,14.1
2021-12-19,TX,48479,14.3,14.3,54.2,0.0,14.3,14.3
2021-12-26,TX,48479,21.0,21.0,54.9,0.0,21.0,21.0
