collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,TX,48485,46.1,41.1,26.0,0.0,46.1,46.1
2020-08-09,TX,48485,43.6,37.1,25.7,0.0,43.6,43.6
2020-08-16,TX,48485,40.7,34.3,27.3,0.0,40.7,40.7
2020-08-23,TX,48485,28.1,23.6,26.6,0.0,28.1,28.1
2020-08-30,TX,48485,27.1,22.9,24.6,0.0,27.1,27.1
2020-09-06,TX,48485,26.9,21.6,23.3,0.0,26.9,26.9
2020-09-13,TX,48485,30.0,24.3,27.9,0.0,30.0,30.0
2020-09-20,TX,48485,22.7,18.6,28.0,0.0,22.7,22.7
2020-09-27,TX,48485,22.3,17.9,25.4,0.0,22.3,22.3
2020-10-04,TX,48485,31.0,23.3,26.6,0.0,31.0,31.0
2020-10-11,TX,48485,48.1,41.7,30.6,0.0,48.1,48.1
2020-10-18,TX,48485,72.9,63.7,28.3,0.0,72.9,72.9
2020-10-25,TX,48485,91.60000000000001,83.4,29.0,0.0,91.60000000000001,91.60000000000001
2020-11-01,TX,48485,97.5,87.7,27.3,0.0,97.5,97.5
2020-11-08,TX,48485,101.60000000000001,85.0,31.6,0.0,101.60000000000001,101.60000000000001
2020-11-15,TX,48485,120.6,110.29999999999998,33.9,0.0,120.6,120.6
2020-11-22,TX,48485,105.89999999999999,100.89999999999999,33.4,0.0,105.89999999999999,105.89999999999999
2020-11-29,TX,48485,110.9,106.30000000000001,36.1,0.0,110.9,110.9
2020-12-06,TX,48485,108.19999999999999,105.49999999999999,26.3,0.0,108.19999999999999,108.19999999999999
2020-12-13,TX,48485,92.6,90.0,44.6,0.0,92.6,92.6
2020-12-20,TX,48485,96.39999999999999,92.89999999999999,43.3,0.0,96.39999999999999,96.39999999999999
2020-12-27,TX,48485,115.4,111.1,54.7,0.0,115.4,115.4
2021-01-03,TX,48485,121.1,113.69999999999999,49.3,0.0,121.1,121.1
2021-01-10,TX,48485,111.3,107.8,50.0,0.0,111.3,111.3
2021-01-17,TX,48485,98.0,92.1,46.4,0.0,98.0,98.0
2021-01-24,TX,48485,71.7,69.3,35.7,0.0,71.7,71.7
2021-01-31,TX,48485,58.4,57.4,26.3,0.0,58.4,58.4
2021-02-07,TX,48485,40.1,38.3,26.9,0.0,40.1,40.1
2021-02-14,TX,48485,31.8,30.7,25.0,0.0,31.8,31.8
2021-02-21,TX,48485,33.1,32.3,26.0,0.0,33.1,33.1
2021-02-28,TX,48485,21.4,21.3,25.6,0.0,21.4,21.4
2021-03-07,TX,48485,14.0,14.0,24.6,0.0,14.0,14.0
2021-03-14,TX,48485,12.7,12.0,21.6,0.0,12.7,12.7
2021-03-21,TX,48485,10.4,10.4,19.1,0.0,10.4,10.4
2021-03-28,TX,48485,5.4,5.4,23.1,0.0,5.4,5.4
2021-04-04,TX,48485,6.0,6.0,26.1,0.0,6.0,6.0
2021-04-11,TX,48485,5.3,5.3,22.0,0.0,5.3,5.3
2021-04-18,TX,48485,4.0,0.0,18.3,0.0,4.0,4.0
2021-04-25,TX,48485,6.6,5.7,26.7,0.0,6.6,6.6
2021-05-02,TX,48485,9.9,9.6,29.3,0.0,9.9,9.9
2021-05-09,TX,48485,9.4,9.4,22.0,0.0,9.4,9.4
2021-05-16,TX,48485,7.6,7.6,19.4,0.0,7.6,7.6
2021-05-23,TX,48485,5.7,5.7,18.9,0.0,5.7,5.7
2021-05-30,TX,48485,5.1,5.1,19.1,0.0,5.1,5.1
2021-06-06,TX,48485,5.1,4.3,22.3,0.0,5.1,5.1
2021-06-13,TX,48485,5.1,4.9,20.1,0.0,5.1,5.1
2021-06-20,TX,48485,7.0,7.0,22.6,0.0,7.0,7.0
2021-06-27,TX,48485,9.4,9.1,25.7,0.0,9.4,9.4
2021-07-04,TX,48485,12.1,10.3,24.3,0.0,12.1,12.1
2021-07-11,TX,48485,16.9,14.4,29.1,0.0,16.9,16.9
2021-07-18,TX,48485,26.7,25.1,30.9,0.0,26.7,26.7
