collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,UT,49011,5.3,0.0,12.9,0.0,5.3,5.3
2020-08-09,UT,49011,0.0,0.0,6.0,0.0,0.0,0.0
2020-08-16,UT,49011,4.3,0.0,15.6,0.0,4.3,4.3
2020-08-23,UT,49011,4.0,4.0,14.1,0.0,4.0,4.0
2020-08-30,UT,49011,0.0,0.0,17.7,0.0,0.0,0.0
2020-09-06,UT,49011,0.0,0.0,14.600000000000001,0.0,0.0,0.0
2020-09-13,UT,49011,0.0,0.0,15.5,0.0,0.0,0.0
2020-09-20,UT,49011,0.0,0.0,18.1,0.0,0.0,0.0
2020-09-27,UT,49011,0.0,0.0,19.3,0.0,0.0,0.0
2020-10-04,UT,49011,4.0,4.0,14.2,0.0,4.0,4.0
2020-10-11,UT,49011,6.9,6.9,17.9,0.0,6.9,6.9
2020-10-18,UT,49011,6.6,6.6,18.0,0.0,6.6,6.6
2020-10-25,UT,49011,7.4,6.9,17.1,0.0,7.4,7.4
2020-11-01,UT,49011,6.1,6.1,16.700000000000003,0.0,6.3,6.1
2020-11-08,UT,49011,15.1,14.7,17.3,0.0,15.1,15.1
2020-11-15,UT,49011,20.6,19.7,18.0,0.0,20.6,20.6
2020-11-22,UT,49011,16.0,15.6,24.6,0.0,16.0,16.0
2020-11-29,UT,49011,15.5,14.9,19.7,0.0,15.5,15.5
2020-12-06,UT,49011,18.7,17.6,20.1,0.0,18.7,18.7
2020-12-13,UT,49011,24.1,23.5,18.3,0.0,24.1,24.1
2020-12-20,UT,49011,24.1,22.7,14.4,0.0,24.1,24.1
2020-12-27,UT,49011,31.299999999999997,29.0,21.6,0.0,31.299999999999997,31.299999999999997
2021-01-03,UT,49011,31.8,30.7,22.3,0.0,31.8,31.8
2021-01-10,UT,49011,28.6,25.2,22.700000000000003,0.0,28.6,28.6
2021-01-17,UT,49011,21.3,19.4,18.799999999999997,0.0,21.3,21.3
2021-01-24,UT,49011,29.799999999999997,26.7,22.4,0.0,29.799999999999997,29.799999999999997
2021-01-31,UT,49011,18.5,12.4,23.5,0.0,18.5,18.5
2021-02-07,UT,49011,13.9,9.7,24.6,0.0,13.9,13.9
2021-02-14,UT,49011,6.7,5.6,22.900000000000002,0.0,6.7,6.7
2021-02-21,UT,49011,5.6,4.6,18.4,0.0,5.6,5.6
2021-02-28,UT,49011,0.0,0.0,16.1,0.0,0.0,0.0
2021-03-07,UT,49011,0.0,0.0,19.5,0.0,0.0,0.0
2021-03-14,UT,49011,5.7,5.7,20.3,0.0,5.7,5.7
2021-03-21,UT,49011,0.0,0.0,18.1,0.0,0.0,0.0
2021-03-28,UT,49011,0.0,0.0,15.7,0.0,0.0,0.0
2021-04-04,UT,49011,0.0,0.0,20.3,0.0,0.0,0.0
2021-04-11,UT,49011,0.0,0.0,18.5,0.0,0.0,0.0
2021-04-18,UT,49011,0.0,0.0,17.200000000000003,0.0,0.0,0.0
2021-04-25,UT,49011,6.1,6.1,24.8,0.0,6.1,6.1
2021-05-02,UT,49011,4.4,4.4,22.400000000000002,0.0,4.4,4.4
2021-05-09,UT,49011,0.0,0.0,19.5,0.0,0.0,0.0
2021-05-16,UT,49011,0.0,0.0,17.5,0.0,0.0,0.0
2021-05-23,UT,49011,0.0,0.0,19.6,0.0,0.0,0.0
2021-05-30,UT,49011,0.0,0.0,22.3,0.0,0.0,0.0
2021-06-06,UT,49011,6.3,6.3,21.2,0.0,6.3,6.3
2021-06-13,UT,49011,10.3,10.3,24.099999999999998,0.0,10.3,10.3
2021-06-20,UT,49011,9.8,9.8,15.0,0.0,9.8,9.8
2021-06-27,UT,49011,6.3,6.3,22.5,0.0,6.3,6.3
2021-07-04,UT,49011,9.6,9.4,20.700000000000003,0.0,9.6,9.6
2021-07-11,UT,49011,9.9,9.9,24.6,0.0,9.9,9.9
2021-07-18,UT,49011,14.4,14.4,22.4,0.0,14.4,14.4
2021-07-25,UT,49011,17.0,17.0,23.8,0.0,17.0,17.0
2021-08-01,UT,49011,25.5,24.6,21.4,0.0,25.5,25.5
2021-08-08,UT,49011,16.5,16.1,20.7,0.0,16.5,16.5
2021-08-15,UT,49011,19.2,19.1,19.9,0.0,19.2,19.2
2021-08-22,UT,49011,25.1,23.9,23.5,0.0,25.1,25.1
2021-08-29,UT,49011,26.7,26.5,25.0,0.0,26.7,26.7
2021-09-05,UT,49011,27.5,27.4,23.3,0.0,27.5,27.5
2021-09-12,UT,49011,28.6,28.2,24.200000000000003,0.0,28.6,28.6
2021-09-19,UT,49011,30.3,30.0,25.5,0.0,30.400000000000002,30.3
2021-09-26,UT,49011,25.0,24.7,24.6,0.0,25.0,25.0
2021-10-03,UT,49011,33.6,33.2,23.799999999999997,0.0,33.6,33.6
2021-10-10,UT,49011,30.5,30.5,22.0,0.0,30.5,30.5
2021-10-17,UT,49011,23.0,22.9,23.2,0.0,23.0,23.0
2021-10-24,UT,49011,18.0,18.0,25.5,0.0,18.0,18.0
2021-10-31,UT,49011,27.799999999999997,27.799999999999997,24.8,0.0,27.799999999999997,27.799999999999997
2021-11-07,UT,49011,31.3,31.3,27.200000000000003,0.0,31.3,31.3
2021-11-14,UT,49011,27.3,26.8,25.0,0.0,27.700000000000003,27.3
2021-11-21,UT,49011,25.4,25.0,23.9,0.0,25.4,25.4
2021-11-28,UT,49011,20.299999999999997,19.9,22.9,0.0,20.299999999999997,20.299999999999997
2021-12-05,UT,49011,23.2,22.7,22.4,0.0,23.2,23.2
2021-12-12,UT,49011,21.9,21.5,22.5,0.0,21.9,21.9
2021-12-19,UT,49011,16.4,15.6,24.4,0.0,16.4,16.4
2021-12-26,UT,49011,24.4,24.299999999999997,24.299999999999997,0.0,24.4,24.4
