collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,UT,49021,0,0,0,0.0,0,0.0
2020-08-09,UT,49021,0,0.0,0,0.0,0,0.0
2020-08-16,UT,49021,0,0,0,0.0,0,0.0
2020-08-23,UT,49021,0,0,4.1,0.0,0,0.0
2020-08-30,UT,49021,0,0,0,0.0,0,0.0
2020-09-06,UT,49021,0,0,0,0.0,0,0.0
2020-09-13,UT,49021,0,0.0,0,0.0,0,0.0
2020-09-20,UT,49021,0,0.0,0,0.0,0,0.0
2020-09-27,UT,49021,0,0,0,0.0,0,0.0
2020-10-04,UT,49021,0,0,5.6,0.0,0,0.0
2020-10-11,UT,49021,0,0,0,0.0,0,0.0
2020-10-18,UT,49021,0,0,0,0.0,0,0.0
2020-10-25,UT,49021,0,0,0,0.0,0,0.0
2020-11-01,UT,49021,0,0,0,0.0,0,0.0
2020-11-08,UT,49021,0,0,0,0.0,0,0.0
2020-11-15,UT,49021,8.0,8.0,4.4,0.0,8.0,8.0
2020-11-22,UT,49021,0,0,0,0.0,0,0.0
2020-11-29,UT,49021,6.1,6.1,0,0.0,6.1,6.1
2020-12-06,UT,49021,6.3,6.3,0,0.0,6.3,6.3
2020-12-13,UT,49021,6.7,6.6,4.1,0.0,6.7,6.7
2020-12-20,UT,49021,9.6,7.9,5.9,0,9.7,9.6
2020-12-27,UT,49021,5.0,4.1,4.7,0.0,5.0,5.0
2021-01-03,UT,49021,8.7,7.7,5.0,0.0,8.7,8.7
2021-01-10,UT,49021,9.1,9.0,5.0,0,9.3,9.1
2021-01-17,UT,49021,6.7,6.6,5.0,0,7.0,6.7
2021-01-24,UT,49021,5.4,5.4,0,0.0,5.4,5.4
2021-01-31,UT,49021,5.7,5.6,4.1,0.0,5.7,5.7
2021-02-07,UT,49021,5.6,5.6,0,0.0,5.6,5.6
2021-02-14,UT,49021,0,0,0,0,0,0.0
2021-02-21,UT,49021,0,0,0,0,0,0.0
2021-02-28,UT,49021,0,0,0,0.0,0,0.0
2021-03-07,UT,49021,0,0,0,0.0,0,0.0
2021-03-14,UT,49021,4.3,4.3,0,0.0,4.3,4.3
2021-03-21,UT,49021,0,0,0,0.0,0,0.0
2021-03-28,UT,49021,0,0,4.9,0.0,0,0.0
2021-04-04,UT,49021,0,0,0,0.0,0,0.0
2021-04-11,UT,49021,0,0,0,0.0,0,0.0
2021-04-18,UT,49021,0,0,0,0,0,0.0
2021-04-25,UT,49021,0,0,0,0.0,0,0.0
2021-05-02,UT,49021,0,0,0,0.0,0,0.0
2021-05-09,UT,49021,0,0,0,0.0,0,0.0
2021-05-16,UT,49021,0,0,0,0.0,0,0.0
2021-05-23,UT,49021,0,0,0,0.0,0,0.0
2021-05-30,UT,49021,0,0,0,0.0,0,0.0
2021-06-06,UT,49021,4.0,4.0,4.4,0.0,4.0,4.0
2021-06-13,UT,49021,0,0,0,0.0,0,0.0
2021-06-20,UT,49021,0,0,4.0,0.0,0,0.0
2021-06-27,UT,49021,0,0,0,0.0,0,0.0
2021-07-04,UT,49021,4.0,4.0,0,0.0,4.0,4.0
2021-07-11,UT,49021,6.1,6.1,0,0,6.3,6.1
2021-07-18,UT,49021,0,0,0,0.0,0,0.0
2021-07-25,UT,49021,5.3,5.3,0,0.0,5.3,5.3
2021-08-01,UT,49021,5.4,5.4,4.3,0.0,5.4,5.4
2021-08-08,UT,49021,9.0,9.0,4.3,0.0,9.0,9.0
2021-08-15,UT,49021,8.3,8.3,4.1,0.0,8.3,8.3
2021-08-22,UT,49021,8.1,8.1,0,0.0,8.1,8.1
2021-08-29,UT,49021,11.4,11.3,4.6,0.0,11.4,11.4
2021-09-05,UT,49021,14.9,14.9,4.0,0.0,14.9,14.9
2021-09-12,UT,49021,19.0,18.7,5.4,0,19.4,19.0
2021-09-19,UT,49021,15.7,15.7,5.7,0.0,15.7,15.7
2021-09-26,UT,49021,9.4,9.3,4.0,0.0,9.4,9.4
2021-10-03,UT,49021,7.3,7.3,5.7,0.0,7.3,7.3
2021-10-10,UT,49021,8.7,8.4,4.0,0.0,8.7,8.7
2021-10-17,UT,49021,4.6,4.3,4.4,0.0,4.6,4.6
2021-10-24,UT,49021,6.9,6.3,4.6,0.0,6.9,6.9
2021-10-31,UT,49021,7.4,7.3,4.9,0.0,7.4,7.4
2021-11-07,UT,49021,5.0,4.9,4.1,0.0,5.0,5.0
2021-11-14,UT,49021,0,0,0,0,0,0.0
2021-11-21,UT,49021,6.1,6.1,0,0.0,6.1,6.1
2021-11-28,UT,49021,7.7,7.4,0,0.0,7.7,7.7
2021-12-05,UT,49021,5.9,5.6,0,0.0,5.9,5.9
2021-12-12,UT,49021,0,0,4.1,0.0,0,0.0
2021-12-19,UT,49021,4.7,4.7,0,0.0,4.7,4.7
2021-12-26,UT,49021,6.4,6.4,4.6,0.0,6.4,6.4
