collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,UT,49057,18.6,13.299999999999999,24.200000000000003,0.0,18.9,18.6
2020-08-09,UT,49057,24.4,20.6,24.6,0.0,26.299999999999997,24.4
2020-08-16,UT,49057,13.9,12.2,18.299999999999997,0,16.0,13.9
2020-08-23,UT,49057,11.3,9.0,18.6,0.0,13.6,11.3
2020-08-30,UT,49057,11.4,8.9,23.299999999999997,0.0,12.7,11.4
2020-09-06,UT,49057,11.9,9.4,28.799999999999997,0.0,12.4,11.9
2020-09-13,UT,49057,11.1,7.9,28.1,0.0,11.9,11.1
2020-09-20,UT,49057,9.6,9.1,23.9,0.0,9.6,9.6
2020-09-27,UT,49057,17.9,10.1,27.0,0.0,18.5,17.9
2020-10-04,UT,49057,16.3,15.100000000000001,23.8,0.0,17.3,16.3
2020-10-11,UT,49057,27.1,24.299999999999997,27.799999999999997,0.0,28.1,27.1
2020-10-18,UT,49057,31.099999999999998,30.5,27.200000000000003,0.0,33.0,31.099999999999998
2020-10-25,UT,49057,30.4,29.9,26.900000000000002,0.0,31.9,30.4
2020-11-01,UT,49057,42.7,40.9,30.4,0.0,42.7,42.7
2020-11-08,UT,49057,45.8,43.7,35.9,0,46.4,45.8
2020-11-15,UT,49057,52.9,50.4,39.2,0.0,53.9,52.9
2020-11-22,UT,49057,64.2,59.2,43.3,0.0,65.60000000000001,64.2
2020-11-29,UT,49057,70.0,65.0,47.7,0,73.0,70.0
2020-12-06,UT,49057,63.7,59.0,46.8,0,67.2,63.7
2020-12-13,UT,49057,64.69999999999999,57.3,36.099999999999994,0.0,66.1,64.69999999999999
2020-12-20,UT,49057,77.5,62.900000000000006,23.299999999999997,0.0,81.0,77.5
2020-12-27,UT,49057,72.4,56.5,19.3,0.0,74.5,72.4
2021-01-03,UT,49057,60.5,47.9,21.3,0,64.3,60.5
2021-01-10,UT,49057,60.3,47.9,21.1,0,63.9,60.3
2021-01-17,UT,49057,64.7,49.0,23.4,0.0,66.5,64.7
2021-01-24,UT,49057,61.5,49.4,25.8,0.0,62.0,61.5
2021-01-31,UT,49057,50.3,42.2,27.1,0.0,51.5,50.3
2021-02-07,UT,49057,40.2,35.7,26.700000000000003,0,41.9,40.2
2021-02-14,UT,49057,28.5,24.1,22.4,0,30.599999999999998,28.5
2021-02-21,UT,49057,28.900000000000002,24.0,21.7,0.0,30.900000000000002,28.900000000000002
2021-02-28,UT,49057,24.5,20.9,20.4,0.0,25.0,24.5
2021-03-07,UT,49057,18.4,16.4,18.9,0.0,18.6,18.4
2021-03-14,UT,49057,25.5,23.799999999999997,19.299999999999997,0.0,27.700000000000003,25.5
2021-03-21,UT,49057,19.9,18.3,20.5,0.0,21.8,19.9
2021-03-28,UT,49057,23.5,22.3,21.700000000000003,0.0,24.0,23.5
