collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51013,17.3,15.1,8.0,0,17.4,17.3
2020-08-09,VA,51013,19.3,19.1,11.1,0,19.9,19.3
2020-08-16,VA,51013,25.1,25.1,11.7,0.0,25.1,25.1
2020-08-23,VA,51013,27.6,27.6,8.4,0.0,27.6,27.6
2020-08-30,VA,51013,28.1,28.1,13.6,0.0,28.1,28.1
2020-09-06,VA,51013,24.3,24.3,11.3,0.0,24.3,24.3
2020-09-13,VA,51013,19.9,19.9,13.4,0.0,19.9,19.9
2020-09-20,VA,51013,20.7,20.7,16.0,0.0,20.7,20.7
2020-09-27,VA,51013,21.0,21.0,16.3,0.0,21.0,21.0
2020-10-04,VA,51013,20.6,20.6,16.1,0.0,20.6,20.6
2020-10-11,VA,51013,23.1,23.1,15.6,0,23.3,23.1
2020-10-18,VA,51013,19.9,19.9,17.0,0.0,21.0,19.9
2020-10-25,VA,51013,32.7,32.7,18.7,0.0,29.7,32.7
2020-11-01,VA,51013,31.4,31.4,16.6,0.0,31.4,31.4
2020-11-08,VA,51013,38.6,38.6,16.6,0.0,38.6,38.6
2020-11-15,VA,51013,39.7,39.1,16.7,0.0,39.1,39.7
2020-11-22,VA,51013,42.3,42.3,14.3,0.0,42.3,42.3
2020-11-29,VA,51013,60.1,60.1,19.6,0,60.3,60.1
2020-12-06,VA,51013,71.0,71.0,20.0,0.0,71.0,71.0
2020-12-13,VA,51013,78.9,78.9,19.1,0.0,78.9,78.9
2020-12-20,VA,51013,82.6,82.6,20.7,0.0,82.6,82.6
2020-12-27,VA,51013,89.1,89.1,19.1,0.0,89.1,89.1
2021-01-03,VA,51013,88.7,88.7,20.4,0,88.9,88.7
2021-01-10,VA,51013,81.6,81.6,20.1,0.0,81.6,81.6
2021-01-17,VA,51013,84.4,84.4,19.0,0.0,84.4,84.4
2021-01-24,VA,51013,72.3,72.3,17.1,0.0,72.3,72.3
2021-01-31,VA,51013,65.0,65.0,16.0,0.0,65.0,65.0
2021-02-07,VA,51013,62.6,62.6,22.7,0.0,62.6,62.6
2021-02-14,VA,51013,49.9,49.9,23.0,0.0,49.9,49.9
2021-02-21,VA,51013,39.1,33.9,20.1,0.0,39.1,39.1
2021-02-28,VA,51013,36.7,36.7,18.9,0.0,36.7,36.7
2021-03-07,VA,51013,27.7,27.7,19.6,0,27.9,27.7
2021-03-14,VA,51013,19.3,19.3,18.0,0.0,19.3,19.3
2021-03-21,VA,51013,29.1,29.1,23.3,0.0,29.1,29.1
2021-03-28,VA,51013,28.9,28.9,18.0,0.0,28.9,28.9
2021-04-04,VA,51013,35.4,35.1,18.9,0.0,35.4,35.4
2021-04-11,VA,51013,25.3,24.6,23.3,0.0,25.3,25.3
2021-04-18,VA,51013,28.1,27.9,19.6,0,28.3,28.1
2021-04-25,VA,51013,21.3,21.0,16.9,0,21.9,21.3
2021-05-02,VA,51013,14.1,13.7,17.4,0.0,14.1,14.1
2021-05-09,VA,51013,10.6,10.6,17.1,0.0,10.6,10.6
2021-05-16,VA,51013,9.9,9.4,16.6,0.0,9.9,9.9
2021-05-23,VA,51013,8.0,7.6,10.7,0,8.1,8.0
2021-05-30,VA,51013,9.1,8.9,15.9,0,9.3,9.1
2021-06-06,VA,51013,6.1,6.1,20.4,0,6.4,6.1
2021-06-13,VA,51013,4.1,0,20.7,0,4.3,4.1
2021-06-20,VA,51013,0,0,15.7,0.0,0,0.0
2021-06-27,VA,51013,0,0,17.4,0,0,0.0
2021-07-04,VA,51013,0,0,16.9,0.0,0,0.0
2021-07-11,VA,51013,0,0,18.3,0.0,0,0.0
2021-07-18,VA,51013,8.4,7.3,21.0,0,8.7,8.4
2021-07-25,VA,51013,6.6,6.6,19.9,0,6.7,6.6
2021-08-01,VA,51013,10.7,10.1,18.6,0,11.0,10.7
2021-08-08,VA,51013,21.4,21.1,17.4,0.0,21.4,21.4
2021-08-15,VA,51013,16.0,15.4,22.9,0.0,16.0,16.0
2021-08-22,VA,51013,16.3,16.0,23.6,0.0,16.3,16.3
2021-08-29,VA,51013,24.0,23.6,22.3,0,24.3,24.0
2021-09-05,VA,51013,23.0,21.9,19.4,0,23.9,23.0
2021-09-12,VA,51013,22.0,21.6,20.3,0.0,22.0,22.0
2021-09-19,VA,51013,27.1,26.7,17.4,0.0,27.1,27.1
2021-09-26,VA,51013,27.7,27.3,21.7,0,27.9,27.7
2021-10-03,VA,51013,23.1,23.0,19.7,0.0,23.1,23.1
2021-10-10,VA,51013,21.6,21.4,21.4,0.0,21.6,21.6
2021-10-17,VA,51013,22.4,22.4,22.9,0.0,22.4,22.4
2021-10-24,VA,51013,18.3,18.3,26.4,0.0,18.3,18.3
2021-10-31,VA,51013,9.9,9.9,18.7,0.0,9.9,9.9
2021-11-07,VA,51013,10.1,10.1,20.9,0,10.4,10.1
2021-11-14,VA,51013,16.0,15.9,22.9,0,16.1,16.0
2021-11-21,VA,51013,16.3,15.7,20.3,0.0,16.3,16.3
2021-11-28,VA,51013,10.6,10.4,21.6,0.0,10.6,10.6
2021-12-05,VA,51013,13.6,13.3,19.3,0.0,13.6,13.6
2021-12-12,VA,51013,23.0,22.6,25.4,0.0,23.0,23.0
2021-12-19,VA,51013,39.9,38.1,22.3,0.0,39.9,39.9
2021-12-26,VA,51013,63.7,63.0,23.9,0,66.6,63.7
