collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51059,9.7,9.4,21.0,0.0,104.2,9.7
2020-08-09,VA,51059,7.1,6.7,19.1,0,121.7,7.1
2020-08-16,VA,51059,7.1,6.6,21.9,0.0,7.1,7.1
2020-08-23,VA,51059,9.1,8.6,20.1,0.0,9.1,9.1
2020-08-30,VA,51059,9.0,8.3,22.3,0.0,108.8,9.0
2020-09-06,VA,51059,4.3,0,21.6,0.0,99.6,4.3
2020-09-13,VA,51059,6.1,6.0,18.6,0.0,104.6,6.1
2020-09-20,VA,51059,123.9,41.7,177.70000000000002,0.0,101.4,123.9
2020-09-27,VA,51059,107.0,49.9,169.79999999999998,0.0,107.0,107.0
2020-10-04,VA,51059,90.89999999999999,46.0,181.1,0.0,90.89999999999999,90.89999999999999
2020-10-11,VA,51059,90.9,42.6,173.9,0.0,90.9,90.9
2020-10-18,VA,51059,112.60000000000001,72.39999999999999,175.3,0.0,114.7,112.60000000000001
2020-10-25,VA,51059,113.49999999999999,69.7,165.70000000000002,7.8,121.3,121.29999999999998
2020-11-01,VA,51059,124.1,65.39999999999999,170.8,7.1,131.2,131.2
2020-11-08,VA,51059,154.2,85.3,189.6,9.7,163.9,163.89999999999998
2020-11-15,VA,51059,181.6,113.0,189.6,10.4,192.0,192.0
2020-11-22,VA,51059,198.5,139.7,189.3,7.1,205.7,205.6
2020-11-29,VA,51059,233.9,158.1,189.29999999999998,10.0,244.0,243.9
2020-12-06,VA,51059,247.1,171.5,192.5,10.1,257.3,257.2
2020-12-13,VA,51059,270.6,190.4,192.5,10.6,281.2,281.20000000000005
2020-12-20,VA,51059,282.3,206.8,191.3,8.7,291.0,291.0
2020-12-27,VA,51059,281.7,211.7,190.5,7.4,289.09999999999997,289.09999999999997
2021-01-03,VA,51059,303.8,221.3,194.4,8.7,312.5,312.5
2021-01-10,VA,51059,310.8,224.5,192.4,11.0,321.8,321.8
2021-01-17,VA,51059,301.90000000000003,217.5,189.2,11.6,313.5,313.50000000000006
2021-01-24,VA,51059,259.0,191.20000000000002,182.4,7.1,266.2,266.1
2021-01-31,VA,51059,214.8,160.2,184.0,13.4,228.2,228.20000000000002
2021-02-07,VA,51059,160.5,113.4,179.10000000000002,8.9,169.4,169.4
2021-02-14,VA,51059,134.39999999999998,92.00000000000001,171.5,8.7,143.1,143.09999999999997
2021-02-21,VA,51059,125.29999999999998,82.5,169.2,5.9,131.2,131.2
2021-02-28,VA,51059,134.0,88.4,175.6,6.3,140.29999999999998,140.3
2021-03-07,VA,51059,124.2,70.9,172.6,8.0,132.20000000000002,132.2
2021-03-14,VA,51059,120.69999999999999,72.19999999999999,178.7,5.9,126.49999999999999,126.6
2021-03-21,VA,51059,113.0,62.5,167.4,4.9,117.8,117.9
2021-03-28,VA,51059,111.50000000000001,67.9,150.1,5.6,117.00000000000001,117.10000000000001
2021-04-04,VA,51059,111.49999999999999,69.6,174.20000000000002,6.1,117.6,117.59999999999998
2021-04-11,VA,51059,113.3,73.39999999999999,170.0,5.3,118.60000000000001,118.6
2021-04-18,VA,51059,96.60000000000001,57.2,180.3,6.7,103.30000000000001,103.30000000000001
2021-04-25,VA,51059,95.10000000000001,56.6,181.9,4.3,99.4,99.4
2021-05-02,VA,51059,86.4,46.9,174.7,9.3,95.7,95.7
2021-05-09,VA,51059,65.8,33.4,169.0,5.1,70.9,70.89999999999999
2021-05-16,VA,51059,80.0,42.4,170.9,0.0,83.8,80.0
2021-05-23,VA,51059,63.9,40.599999999999994,172.2,0.0,65.8,63.9
2021-05-30,VA,51059,62.5,31.0,168.7,5.6,68.10000000000001,68.1
2021-06-06,VA,51059,41.8,19.0,165.79999999999998,4.0,45.8,45.8
2021-06-13,VA,51059,37.699999999999996,12.1,170.0,4.9,42.599999999999994,42.599999999999994
2021-06-20,VA,51059,32.1,11.6,174.6,0.0,34.8,32.1
2021-06-27,VA,51059,22.1,8.9,170.8,0.0,24.3,22.1
2021-07-04,VA,51059,25.6,9.9,175.3,0.0,29.4,25.6
2021-07-11,VA,51059,16.1,0,177.1,0.0,18.9,16.1
2021-07-18,VA,51059,24.0,10.399999999999999,181.2,0.0,24.900000000000002,24.0
2021-07-25,VA,51059,32.6,11.8,174.8,0.0,35.6,32.6
2021-08-01,VA,51059,54.699999999999996,22.7,182.7,0.0,58.4,54.699999999999996
2021-08-08,VA,51059,62.099999999999994,30.0,180.60000000000002,4.4,66.5,66.5
2021-08-15,VA,51059,78.7,55.1,173.79999999999998,6.6,85.30000000000001,85.3
2021-08-22,VA,51059,79.8,49.0,184.4,4.7,84.6,84.5
2021-08-29,VA,51059,94.9,54.1,185.7,7.3,102.2,102.2
2021-09-05,VA,51059,103.30000000000001,69.60000000000001,188.2,8.0,111.30000000000001,111.30000000000001
2021-09-12,VA,51059,110.10000000000001,72.10000000000001,187.8,8.0,118.10000000000001,118.10000000000001
2021-09-19,VA,51059,99.60000000000001,74.3,188.5,6.1,106.4,105.7
2021-09-26,VA,51059,109.1,79.3,194.5,8.0,117.5,117.1
2021-10-03,VA,51059,98.7,69.39999999999999,187.3,5.9,104.8,104.60000000000001
2021-10-10,VA,51059,84.80000000000001,56.0,190.70000000000002,6.0,91.5,90.80000000000001
2021-10-17,VA,51059,80.8,53.4,187.6,4.3,85.19999999999999,85.1
2021-10-24,VA,51059,70.7,42.8,186.3,5.9,76.60000000000001,76.60000000000001
2021-10-31,VA,51059,62.5,31.5,179.0,0.0,65.3,62.5
2021-11-07,VA,51059,51.5,22.9,185.9,0.0,55.4,51.5
