collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51630,49.6,21.7,19.6,0,49.7,49.6
2020-08-09,VA,51630,66.1,26.7,25.3,0,66.9,66.1
2020-08-16,VA,51630,39.0,22.4,27.0,0.0,39.0,39.0
2020-08-23,VA,51630,30.1,20.6,30.0,0,30.4,30.1
2020-08-30,VA,51630,33.4,21.9,25.6,0,34.0,33.4
2020-09-06,VA,51630,29.9,19.0,26.6,0,30.7,29.9
2020-09-13,VA,51630,31.3,16.6,26.6,0,31.4,31.3
2020-09-20,VA,51630,26.3,11.4,22.6,0,26.4,26.3
2020-09-27,VA,51630,26.1,10.9,25.6,0.0,26.1,26.1
2020-10-04,VA,51630,28.7,16.0,27.9,0,29.1,28.7
2020-10-11,VA,51630,30.7,18.4,32.6,0,30.9,30.7
2020-10-18,VA,51630,27.3,16.6,29.6,0.0,27.3,27.3
2020-10-25,VA,51630,25.3,13.4,30.0,0.0,25.3,25.3
2020-11-01,VA,51630,29.9,17.7,28.4,0.0,29.9,29.9
2020-11-08,VA,51630,31.3,19.7,31.0,0,31.6,31.3
2020-11-15,VA,51630,38.3,25.1,31.0,0,38.4,38.3
2020-11-22,VA,51630,43.3,36.6,29.4,0,43.4,43.3
2020-11-29,VA,51630,55.7,47.6,31.9,0,56.3,55.7
2020-12-06,VA,51630,58.6,49.7,31.6,0,59.0,58.6
2020-12-13,VA,51630,50.3,42.3,30.0,0,50.6,50.3
2020-12-20,VA,51630,58.7,47.3,32.9,0,59.6,58.7
2020-12-27,VA,51630,76.4,64.6,30.7,0,77.4,76.4
2021-01-03,VA,51630,85.7,69.0,29.9,0,86.1,85.7
2021-01-10,VA,51630,84.6,72.6,29.6,0,85.1,84.6
2021-01-17,VA,51630,91.6,77.4,30.0,0.0,91.6,91.6
2021-01-24,VA,51630,71.6,61.3,23.0,0,71.9,71.6
2021-01-31,VA,51630,63.0,49.1,21.9,0.0,63.0,63.0
2021-02-07,VA,51630,55.4,45.9,25.9,0,55.7,55.4
2021-02-14,VA,51630,57.7,44.4,21.1,0,59.0,57.7
2021-02-21,VA,51630,37.6,27.3,27.1,0,37.7,37.6
2021-02-28,VA,51630,28.0,18.3,28.6,0,28.3,28.0
2021-03-07,VA,51630,25.6,13.9,28.1,0.0,25.6,25.6
2021-03-14,VA,51630,25.6,14.0,27.1,0.0,25.6,25.6
2021-03-21,VA,51630,23.6,14.1,28.7,0,23.7,23.6
2021-03-28,VA,51630,28.4,21.6,28.6,0,28.7,28.4
2021-04-04,VA,51630,40.7,31.0,26.4,0.0,40.7,40.7
2021-04-11,VA,51630,44.7,32.6,29.0,0,46.3,44.7
2021-04-18,VA,51630,43.0,34.1,33.9,0.0,43.0,43.0
2021-04-25,VA,51630,32.0,26.3,32.9,0.0,32.0,32.0
2021-05-02,VA,51630,34.4,27.9,30.6,0.0,34.4,34.4
2021-05-09,VA,51630,21.0,17.6,26.6,0.0,21.0,21.0
2021-05-16,VA,51630,18.4,14.6,27.1,0,18.7,18.4
2021-05-23,VA,51630,16.9,13.9,26.0,0.0,16.9,16.9
2021-05-30,VA,51630,16.3,13.3,28.9,0.0,16.3,16.3
2021-06-06,VA,51630,11.7,7.1,26.6,0.0,11.7,11.7
2021-06-13,VA,51630,6.9,4.0,28.6,0.0,6.9,6.9
2021-06-20,VA,51630,4.1,0,24.4,0,4.3,4.1
2021-06-27,VA,51630,4.3,0,24.7,0.0,4.3,4.3
2021-07-04,VA,51630,7.3,0,26.1,0.0,7.3,7.3
2021-07-11,VA,51630,7.4,0,24.4,0,7.6,7.4
2021-07-18,VA,51630,9.4,4.7,24.4,0.0,9.4,9.4
2021-07-25,VA,51630,11.0,8.7,26.0,0.0,11.0,11.0
2021-08-01,VA,51630,19.6,16.0,25.0,0.0,19.6,19.6
2021-08-08,VA,51630,27.7,20.6,25.1,0,27.9,27.7
2021-08-15,VA,51630,32.0,25.6,30.0,0,32.1,32.0
2021-08-22,VA,51630,34.7,28.1,27.4,0.0,34.7,34.7
2021-08-29,VA,51630,56.6,50.9,30.0,0,56.9,56.6
2021-09-05,VA,51630,55.7,48.0,30.0,0.0,55.7,55.7
2021-09-12,VA,51630,52.3,46.9,30.7,0.0,52.3,52.3
2021-09-19,VA,51630,65.9,57.6,31.3,0.0,65.9,65.9
2021-09-26,VA,51630,57.9,50.6,29.0,0,58.4,57.9
2021-10-03,VA,51630,58.6,51.4,32.1,0,58.7,58.6
2021-10-10,VA,51630,55.4,46.6,27.7,0.0,55.4,55.4
2021-10-17,VA,51630,46.4,37.4,30.0,0,47.3,46.4
2021-10-24,VA,51630,48.7,39.0,30.3,0,49.7,48.7
2021-10-31,VA,51630,47.0,39.0,24.3,0.0,47.0,47.0
2021-11-07,VA,51630,36.9,29.7,25.0,0,37.0,36.9
2021-11-14,VA,51630,34.9,26.4,30.0,0.0,34.9,34.9
2021-11-21,VA,51630,33.1,28.6,29.6,0,33.3,33.1
2021-11-28,VA,51630,34.7,29.3,28.7,0,36.3,34.7
2021-12-05,VA,51630,44.3,36.1,32.3,0,45.3,44.3
2021-12-12,VA,51630,53.0,45.3,30.6,0.0,53.0,53.0
2021-12-19,VA,51630,57.9,49.3,34.3,0,58.0,57.9
2021-12-26,VA,51630,92.7,78.7,32.0,0,93.6,92.7
