collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51073,0,0,0,4.0,4.4,4.0
2020-08-09,VA,51073,0,0,0,0.0,7.0,0.0
2020-08-16,VA,51073,0,0,0,0.0,8.3,0.0
2020-08-23,VA,51073,0,0,0,0.0,6.3,0.0
2020-08-30,VA,51073,0,0,0,0.0,7.6,0.0
2020-09-06,VA,51073,0,0,0,0.0,0,0.0
2020-09-13,VA,51073,0,0,8.2,0.0,0,0.0
2020-09-20,VA,51073,0,0,4.1,0.0,0,0.0
2020-09-27,VA,51073,0,0,5.9,0.0,0,0.0
2020-10-04,VA,51073,4.0,0,6.4,0.0,4.0,4.0
2020-10-11,VA,51073,0,0,5.9,0.0,0,0.0
2020-10-18,VA,51073,4.0,0,7.3,0.0,4.0,4.0
2020-10-25,VA,51073,0,0,6.9,0.0,0,0.0
2020-11-01,VA,51073,0,0,5.7,0.0,0,0.0
2020-11-08,VA,51073,0,0,7.3,0.0,0,0.0
2020-11-15,VA,51073,0,0,7.1,0.0,0,0.0
2020-11-22,VA,51073,0,0,8.0,0.0,0,0.0
2020-11-29,VA,51073,6.1,0,9.7,0.0,6.1,6.1
2020-12-06,VA,51073,4.3,0,6.9,0.0,4.3,4.3
2020-12-13,VA,51073,5.6,4.9,4.7,0.0,5.6,5.6
2020-12-20,VA,51073,10.1,8.9,9.7,0.0,10.1,10.1
2020-12-27,VA,51073,12.7,11.4,10.7,0.0,12.7,12.7
2021-01-03,VA,51073,11.9,9.4,9.6,0.0,11.9,11.9
2021-01-10,VA,51073,8.9,6.9,9.4,0.0,8.9,8.9
2021-01-17,VA,51073,11.7,8.9,10.9,0.0,11.7,11.7
2021-01-24,VA,51073,6.9,6.3,9.4,0.0,6.9,6.9
2021-01-31,VA,51073,4.6,0,5.6,0.0,4.6,4.6
2021-02-07,VA,51073,10.7,9.1,4.9,0.0,10.7,10.7
2021-02-14,VA,51073,8.1,7.7,5.3,0.0,8.1,8.1
2021-02-21,VA,51073,6.4,5.6,8.6,0.0,6.4,6.4
2021-02-28,VA,51073,5.0,5.0,10.3,0.0,5.0,5.0
2021-03-07,VA,51073,0,0,8.1,0.0,0,0.0
2021-03-14,VA,51073,0,0,6.3,0.0,0,0.0
2021-03-21,VA,51073,0,0,7.1,0.0,0,0.0
2021-03-28,VA,51073,0,0,4.7,0.0,0,0.0
2021-04-04,VA,51073,0,0,6.7,0.0,0,0.0
2021-04-11,VA,51073,0,0,0,0.0,0,0.0
2021-04-18,VA,51073,0,0,4.1,0.0,0,0.0
2021-04-25,VA,51073,0,0,7.6,0.0,0,0.0
2021-05-02,VA,51073,0,0,6.9,0.0,0,0.0
2021-05-09,VA,51073,0,0,5.1,0.0,0,0.0
2021-05-16,VA,51073,0,0,5.6,0.0,0,0.0
2021-05-23,VA,51073,0,0,6.7,0.0,0,0.0
2021-05-30,VA,51073,0,0,0,0.0,0,0.0
2021-06-06,VA,51073,0,0,0,0.0,0,0.0
2021-06-13,VA,51073,0,0,6.4,0.0,0,0.0
2021-06-20,VA,51073,0,0,7.1,0.0,0,0.0
2021-06-27,VA,51073,0,0,7.6,0.0,0,0.0
2021-07-04,VA,51073,0,0,8.3,0.0,0,0.0
2021-07-11,VA,51073,0,0,9.1,0.0,0,0.0
2021-07-18,VA,51073,0,0,8.0,0.0,0,0.0
2021-07-25,VA,51073,0,0,7.0,0.0,0,0.0
2021-08-01,VA,51073,5.1,4.7,5.3,0.0,5.1,5.1
2021-08-08,VA,51073,4.0,4.0,4.7,0.0,4.0,4.0
2021-08-15,VA,51073,5.7,4.9,6.9,0.0,5.7,5.7
2021-08-22,VA,51073,8.6,8.6,9.0,0.0,8.6,8.6
2021-08-29,VA,51073,7.6,6.3,8.4,0.0,7.6,7.6
2021-09-05,VA,51073,15.6,14.7,10.3,0.0,15.6,15.6
2021-09-12,VA,51073,15.6,14.0,11.4,0.0,15.6,15.6
2021-09-19,VA,51073,16.1,16.1,11.6,0.0,16.1,16.1
2021-09-26,VA,51073,13.6,12.4,10.9,0.0,13.6,13.6
2021-10-03,VA,51073,9.9,9.6,11.9,0.0,9.9,9.9
2021-10-10,VA,51073,8.7,8.3,11.1,0.0,8.7,8.7
2021-10-17,VA,51073,5.9,5.7,8.9,0.0,5.9,5.9
2021-10-24,VA,51073,0,0,7.3,0.0,0,0.0
2021-10-31,VA,51073,0,0,8.4,0.0,0,0.0
2021-11-07,VA,51073,0,0,7.4,0.0,0,0.0
2021-11-14,VA,51073,0,0,8.4,0.0,0,0.0
2021-11-21,VA,51073,0,0,10.1,0.0,0,0.0
2021-11-28,VA,51073,4.7,4.0,10.3,0.0,4.7,4.7
2021-12-05,VA,51073,0,0,9.7,0.0,0,0.0
2021-12-12,VA,51073,6.0,4.9,10.6,0.0,6.0,6.0
2021-12-19,VA,51073,7.0,6.1,8.3,0.0,7.0,7.0
2021-12-26,VA,51073,9.7,9.1,11.1,0.0,9.7,9.7
