collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51083,0,0,6.3,0.0,0,0.0
2020-08-09,VA,51083,0,0,5.6,0.0,0,0.0
2020-08-16,VA,51083,0,0,0,0.0,0,0.0
2020-08-23,VA,51083,6.1,5.4,7.3,0.0,6.1,6.1
2020-08-30,VA,51083,7.9,7.6,6.9,0.0,7.9,7.9
2020-09-06,VA,51083,5.7,5.1,5.9,0.0,5.7,5.7
2020-09-13,VA,51083,4.7,0,5.6,0.0,4.7,4.7
2020-09-20,VA,51083,5.6,5.0,5.7,0.0,5.6,5.6
2020-09-27,VA,51083,7.7,6.9,0,0.0,7.7,7.7
2020-10-04,VA,51083,8.3,5.7,6.3,0.0,8.3,8.3
2020-10-11,VA,51083,6.6,5.3,5.9,0.0,6.6,6.6
2020-10-18,VA,51083,7.1,5.1,5.6,0.0,7.1,7.1
2020-10-25,VA,51083,6.3,5.6,7.0,0.0,6.3,6.3
2020-11-01,VA,51083,4.7,4.7,6.0,0.0,4.7,4.7
2020-11-08,VA,51083,12.6,11.7,8.0,0.0,12.6,12.6
2020-11-15,VA,51083,10.6,10.6,8.6,0.0,10.6,10.6
2020-11-22,VA,51083,6.6,6.3,9.0,0.0,6.6,6.6
2020-11-29,VA,51083,4.6,4.1,8.1,0.0,4.6,4.6
2020-12-06,VA,51083,4.9,4.6,7.1,0.0,4.9,4.9
2020-12-13,VA,51083,12.3,11.9,9.3,0.0,12.3,12.3
2020-12-20,VA,51083,13.7,13.3,9.0,0.0,13.7,13.7
2020-12-27,VA,51083,11.0,10.9,8.1,0.0,11.0,11.0
2021-01-03,VA,51083,11.7,11.7,8.0,0.0,11.7,11.7
2021-01-10,VA,51083,16.0,16.0,10.0,0.0,16.0,16.0
2021-01-17,VA,51083,15.4,15.4,10.0,0.0,15.4,15.4
2021-01-24,VA,51083,14.1,14.1,8.0,0.0,14.1,14.1
2021-01-31,VA,51083,8.3,8.3,8.6,0.0,8.3,8.3
2021-02-07,VA,51083,9.7,9.4,7.9,0.0,9.7,9.7
2021-02-14,VA,51083,15.1,15.1,8.9,0.0,15.1,15.1
2021-02-21,VA,51083,17.4,17.4,8.9,0.0,17.4,17.4
2021-02-28,VA,51083,10.7,10.6,8.0,0.0,10.7,10.7
2021-03-07,VA,51083,5.7,5.7,8.1,0.0,5.7,5.7
2021-03-14,VA,51083,4.1,4.1,8.6,0.0,4.1,4.1
2021-03-21,VA,51083,7.6,7.6,9.6,0.0,7.6,7.6
2021-03-28,VA,51083,8.1,8.1,9.4,0.0,8.1,8.1
2021-04-04,VA,51083,4.3,0,9.1,0.0,4.3,4.3
2021-04-11,VA,51083,8.4,8.0,8.9,0.0,8.4,8.4
2021-04-18,VA,51083,0,0,8.4,0.0,0,0.0
2021-04-25,VA,51083,0,0,9.6,0.0,0,0.0
