collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51660,10.3,9.9,7.1,0.0,10.3,10.3
2020-08-09,VA,51660,9.6,7.9,5.1,0.0,9.6,9.6
2020-08-16,VA,51660,9.4,7.4,6.4,0.0,9.4,9.4
2020-08-23,VA,51660,7.6,6.4,0,0.0,7.6,7.6
2020-08-30,VA,51660,4.9,4.7,7.4,0.0,4.9,4.9
2020-09-06,VA,51660,5.4,4.7,5.0,0.0,5.4,5.4
2020-09-13,VA,51660,7.1,6.6,5.6,0.0,7.1,7.1
2020-09-20,VA,51660,7.6,7.0,5.6,0.0,7.6,7.6
2020-09-27,VA,51660,12.4,11.9,7.3,0.0,12.4,12.4
2020-10-04,VA,51660,17.3,12.6,6.4,0.0,17.3,17.3
2020-10-11,VA,51660,18.1,11.0,8.4,0.0,18.1,18.1
2020-10-18,VA,51660,16.1,10.4,9.7,0.0,16.1,16.1
2020-10-25,VA,51660,16.0,11.0,9.7,0.0,16.0,16.0
2020-11-01,VA,51660,18.6,13.4,7.6,0.0,18.6,18.6
2020-11-08,VA,51660,14.3,10.7,5.0,0.0,14.3,14.3
2020-11-15,VA,51660,18.4,12.0,7.7,0.0,18.4,18.4
2020-11-22,VA,51660,27.6,20.1,8.1,0.0,27.6,27.6
2020-11-29,VA,51660,41.4,31.6,9.1,0.0,41.4,41.4
2020-12-06,VA,51660,49.1,41.3,10.0,0.0,49.1,49.1
2020-12-13,VA,51660,68.0,58.7,13.1,0.0,68.0,68.0
2020-12-20,VA,51660,68.7,61.7,14.0,0.0,68.7,68.7
2020-12-27,VA,51660,60.9,52.7,11.7,0.0,60.9,60.9
2021-01-03,VA,51660,63.0,52.4,13.6,0.0,63.0,63.0
2021-01-10,VA,51660,55.7,40.7,11.9,0.0,55.7,55.7
2021-01-17,VA,51660,52.9,44.4,11.4,0.0,52.9,52.9
2021-01-24,VA,51660,50.0,42.7,10.7,0.0,50.0,50.0
2021-01-31,VA,51660,45.3,37.9,8.4,0.0,45.3,45.3
2021-02-07,VA,51660,35.0,29.4,9.6,0.0,35.0,35.0
2021-02-14,VA,51660,23.7,18.0,8.6,0.0,23.7,23.7
2021-02-21,VA,51660,21.1,16.0,7.3,0.0,21.1,21.1
2021-02-28,VA,51660,23.6,19.0,10.9,0.0,23.6,23.6
2021-03-07,VA,51660,15.9,11.9,9.9,0.0,15.9,15.9
2021-03-14,VA,51660,12.4,8.9,9.1,0.0,12.4,12.4
2021-03-21,VA,51660,7.1,0,10.1,0.0,7.1,7.1
2021-03-28,VA,51660,5.7,0,7.7,0.0,5.7,5.7
2021-04-04,VA,51660,11.7,6.9,7.6,0.0,11.7,11.7
2021-04-11,VA,51660,11.0,8.3,10.3,0.0,11.0,11.0
2021-04-18,VA,51660,15.0,13.4,9.6,0.0,15.0,15.0
2021-04-25,VA,51660,12.6,11.6,10.0,0.0,12.6,12.6
2021-05-02,VA,51660,9.3,8.9,8.9,0.0,9.3,9.3
2021-05-09,VA,51660,5.6,5.1,6.1,0.0,5.6,5.6
2021-05-16,VA,51660,4.1,0,8.0,0.0,4.1,4.1
2021-05-23,VA,51660,6.1,5.6,8.3,0.0,6.1,6.1
2021-05-30,VA,51660,6.6,6.0,6.1,0.0,6.6,6.6
2021-06-06,VA,51660,0,0,7.4,0.0,0,0.0
2021-06-13,VA,51660,4.1,0,7.1,0.0,4.1,4.1
2021-06-20,VA,51660,5.4,4.1,9.1,0.0,5.4,5.4
2021-06-27,VA,51660,5.1,4.4,7.6,0.0,5.1,5.1
2021-07-04,VA,51660,0,0,7.1,0.0,0,0.0
2021-07-11,VA,51660,4.6,0,9.3,0.0,4.6,4.6
2021-07-18,VA,51660,4.0,0,8.3,0.0,4.0,4.0
2021-07-25,VA,51660,5.7,5.7,8.0,0.0,5.7,5.7
2021-08-01,VA,51660,10.1,9.1,8.4,0.0,10.1,10.1
2021-08-08,VA,51660,10.7,10.1,7.7,0.0,10.7,10.7
2021-08-15,VA,51660,17.4,16.3,8.1,0.0,17.4,17.4
2021-08-22,VA,51660,21.0,19.6,10.4,0.0,21.0,21.0
2021-08-29,VA,51660,35.9,35.4,9.6,0.0,35.9,35.9
2021-09-05,VA,51660,57.7,52.9,10.0,0.0,57.7,57.7
2021-09-12,VA,51660,69.4,62.3,11.1,0.0,69.4,69.4
2021-09-19,VA,51660,59.1,55.1,11.3,0.0,59.1,59.1
2021-09-26,VA,51660,47.9,45.6,11.6,0.0,47.9,47.9
2021-10-03,VA,51660,46.3,44.6,12.7,0.0,46.3,46.3
2021-10-10,VA,51660,42.7,41.0,12.9,0.0,42.7,42.7
2021-10-17,VA,51660,36.3,35.3,12.4,0.0,36.3,36.3
2021-10-24,VA,51660,28.7,27.9,12.1,0.0,28.7,28.7
2021-10-31,VA,51660,23.7,23.4,10.1,0.0,23.7,23.7
2021-11-07,VA,51660,20.1,19.4,10.3,0.0,20.1,20.1
2021-11-14,VA,51660,14.4,13.7,10.0,0.0,14.4,14.4
2021-11-21,VA,51660,19.0,18.3,10.6,0.0,19.0,19.0
2021-11-28,VA,51660,27.6,26.9,10.3,0.0,27.6,27.6
2021-12-05,VA,51660,30.9,29.9,9.9,0.0,30.9,30.9
2021-12-12,VA,51660,40.0,39.6,8.9,0.0,40.0,40.0
2021-12-19,VA,51660,41.0,40.7,9.3,0.0,41.0,41.0
2021-12-26,VA,51660,38.7,37.3,10.9,0.0,38.7,38.7
