collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51670,0,0,8.1,0.0,0,0.0
2020-08-09,VA,51670,0,0,9.4,0.0,0,0.0
2020-08-16,VA,51670,0,0,9.4,0.0,0,0.0
2020-08-23,VA,51670,0,0,6.7,0.0,0,0.0
2020-08-30,VA,51670,5.7,5.4,8.4,0.0,5.7,5.7
2020-09-06,VA,51670,0,0,9.1,0.0,0,0.0
2020-09-13,VA,51670,0,0,6.4,0.0,0,0.0
2020-09-20,VA,51670,0,0,10.6,0.0,0,0.0
2020-09-27,VA,51670,0,0,10.9,0.0,0,0.0
2020-10-04,VA,51670,0,0,11.3,0.0,0,0.0
2020-10-11,VA,51670,0,0,10.0,0.0,0,0.0
2020-10-18,VA,51670,0,0,10.4,0.0,0,0.0
2020-10-25,VA,51670,4.4,4.0,10.6,0.0,4.4,4.4
2020-11-01,VA,51670,5.6,5.3,9.0,0.0,5.6,5.6
2020-11-08,VA,51670,8.6,8.4,9.9,0.0,8.6,8.6
2020-11-15,VA,51670,15.6,15.4,11.0,0.0,15.6,15.6
2020-11-22,VA,51670,13.4,13.4,11.3,0.0,13.4,13.4
2020-11-29,VA,51670,8.4,8.0,10.1,0.0,8.4,8.4
2020-12-06,VA,51670,9.4,8.9,10.1,0.0,9.4,9.4
2020-12-13,VA,51670,16.9,16.3,10.7,0.0,16.9,16.9
2020-12-20,VA,51670,18.3,18.1,12.6,0.0,18.3,18.3
2020-12-27,VA,51670,21.0,20.7,12.7,0.0,21.0,21.0
2021-01-03,VA,51670,20.9,20.6,12.0,0.0,20.9,20.9
2021-01-10,VA,51670,31.1,30.4,12.4,0.0,31.1,31.1
2021-01-17,VA,51670,33.1,32.9,12.9,0.0,33.1,33.1
2021-01-24,VA,51670,25.4,25.1,12.4,0.0,25.4,25.4
2021-01-31,VA,51670,21.7,21.6,12.0,0.0,21.7,21.7
2021-02-07,VA,51670,23.3,22.4,11.6,0.0,23.3,23.3
2021-02-14,VA,51670,17.3,16.7,10.7,0.0,17.3,17.3
2021-02-21,VA,51670,16.9,16.3,12.4,0.0,16.9,16.9
2021-02-28,VA,51670,16.3,15.7,10.6,0.0,16.3,16.3
2021-03-07,VA,51670,13.4,13.3,9.4,0,13.7,13.4
2021-03-14,VA,51670,11.3,11.1,9.4,0,12.3,11.3
2021-03-21,VA,51670,11.1,10.9,9.4,0,11.9,11.1
2021-03-28,VA,51670,5.3,5.0,6.3,0,6.3,5.3
2021-04-04,VA,51670,6.9,5.9,8.3,0,7.7,6.9
2021-04-11,VA,51670,9.6,9.0,9.9,0,10.3,9.6
2021-04-18,VA,51670,10.1,10.0,9.6,0.0,10.1,10.1
2021-04-25,VA,51670,10.4,10.3,9.3,0.0,10.4,10.4
2021-05-02,VA,51670,0,0,8.7,0.0,0,0.0
2021-05-09,VA,51670,7.1,6.4,8.7,0.0,7.1,7.1
2021-05-16,VA,51670,7.0,6.1,9.9,0.0,7.0,7.0
2021-05-23,VA,51670,4.1,0,10.3,0.0,4.1,4.1
2021-05-30,VA,51670,0,0,8.9,0.0,0,0.0
2021-06-06,VA,51670,0,0,9.7,0.0,0,0.0
2021-06-13,VA,51670,0,0,10.3,0.0,0,0.0
2021-06-20,VA,51670,0,0,8.9,0.0,0,0.0
2021-06-27,VA,51670,0,0,8.7,0.0,0,0.0
2021-07-04,VA,51670,0,0,10.1,0,0,0.0
2021-07-11,VA,51670,0,0,10.3,0.0,0,0.0
2021-07-18,VA,51670,4.0,0,10.4,0.0,4.0,4.0
2021-07-25,VA,51670,4.7,4.1,11.0,0.0,4.7,4.7
2021-08-01,VA,51670,5.3,4.4,9.4,0.0,5.3,5.3
2021-08-08,VA,51670,5.7,5.4,11.4,0.0,5.7,5.7
2021-08-15,VA,51670,10.6,10.0,12.0,0.0,10.6,10.6
2021-08-22,VA,51670,8.9,8.0,11.0,0.0,8.9,8.9
2021-08-29,VA,51670,13.0,10.3,12.6,0.0,13.0,13.0
2021-09-05,VA,51670,14.1,12.7,12.4,0.0,14.1,14.1
2021-09-12,VA,51670,9.9,9.7,10.7,0.0,9.9,9.9
2021-09-19,VA,51670,14.4,13.9,11.3,0.0,14.4,14.4
2021-09-26,VA,51670,16.7,16.3,10.3,0.0,16.7,16.7
2021-10-03,VA,51670,15.9,15.4,10.9,0.0,15.9,15.9
2021-10-10,VA,51670,16.0,15.0,12.4,0.0,16.0,16.0
2021-10-17,VA,51670,11.0,10.4,11.6,0.0,11.0,11.0
2021-10-24,VA,51670,11.7,10.0,12.3,0.0,11.7,11.7
2021-10-31,VA,51670,9.1,9.0,9.3,0.0,9.1,9.1
2021-11-07,VA,51670,13.3,12.7,9.6,0.0,13.3,13.3
2021-11-14,VA,51670,14.6,13.4,8.9,0.0,14.6,14.6
2021-11-21,VA,51670,7.0,5.9,8.3,0.0,7.0,7.0
2021-11-28,VA,51670,9.4,8.7,8.7,0.0,9.4,9.4
2021-12-05,VA,51670,8.9,8.0,10.0,0.0,8.9,8.9
2021-12-12,VA,51670,13.7,11.9,10.0,0.0,13.7,13.7
2021-12-19,VA,51670,13.0,11.0,10.1,0.0,13.0,13.0
2021-12-26,VA,51670,18.0,15.1,10.4,0.0,18.0,18.0
