collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51683,12.5,10.8,8.5,0.0,12.5,12.5
2020-08-09,VA,51683,14.2,13.4,7.0,0,14.8,14.2
2020-08-16,VA,51683,15.6,14.6,6.3,0,15.9,15.6
2020-08-23,VA,51683,14.9,14.1,9.7,0,15.1,14.9
2020-08-30,VA,51683,13.3,12.5,10.0,0,14.0,13.3
2020-09-06,VA,51683,10.0,9.1,7.9,0.0,10.0,10.0
2020-09-13,VA,51683,10.4,9.8,9.0,0.0,10.4,10.4
2020-09-20,VA,51683,8.8,8.2,6.7,0.0,8.8,8.8
2020-09-27,VA,51683,7.6,6.1,7.3,0.0,7.6,7.6
2020-10-04,VA,51683,8.7,8.0,6.7,0,9.3,8.7
2020-10-11,VA,51683,9.0,9.0,6.0,0,10.0,9.0
2020-10-18,VA,51683,8.4,6.4,7.4,0,8.6,8.4
2020-10-25,VA,51683,9.3,6.6,7.0,0.0,9.3,9.3
2020-11-01,VA,51683,9.7,8.9,8.6,0,9.9,9.7
2020-11-08,VA,51683,10.6,9.9,7.1,0.0,10.6,10.6
2020-11-15,VA,51683,11.0,9.7,7.4,0.0,11.0,11.0
2020-11-22,VA,51683,14.7,14.0,6.1,0,15.3,14.7
2020-11-29,VA,51683,20.0,19.7,8.0,0,20.4,20.0
2020-12-06,VA,51683,25.7,25.3,9.7,0,26.1,25.7
2020-12-13,VA,51683,25.7,24.9,9.1,0.0,25.7,25.7
2020-12-20,VA,51683,24.7,24.1,12.1,0.0,24.7,24.7
2020-12-27,VA,51683,32.9,32.6,11.4,0,33.4,32.9
2021-01-03,VA,51683,31.9,31.3,8.4,0,32.0,31.9
2021-01-10,VA,51683,26.9,26.4,9.4,0,27.1,26.9
2021-01-17,VA,51683,22.3,21.6,9.9,0,22.4,22.3
2021-01-24,VA,51683,20.3,19.4,8.7,0.0,20.3,20.3
2021-01-31,VA,51683,17.6,16.6,9.1,0,17.7,17.6
2021-02-07,VA,51683,13.7,13.0,6.0,0,13.9,13.7
2021-02-14,VA,51683,13.4,12.4,6.4,0,13.6,13.4
2021-02-21,VA,51683,12.9,12.3,6.6,0,13.0,12.9
2021-02-28,VA,51683,7.0,6.3,8.3,0.0,7.0,7.0
2021-03-07,VA,51683,7.1,6.1,4.7,0,7.3,7.1
2021-03-14,VA,51683,7.3,6.6,6.0,0.0,7.3,7.3
2021-03-21,VA,51683,9.4,9.0,5.3,0.0,9.4,9.4
2021-03-28,VA,51683,8.3,8.0,7.1,0,8.6,8.3
2021-04-04,VA,51683,10.9,9.9,9.3,0.0,10.9,10.9
2021-04-11,VA,51683,12.6,12.3,7.0,0.0,12.6,12.6
2021-04-18,VA,51683,12.3,11.6,7.3,0.0,12.3,12.3
2021-04-25,VA,51683,10.1,10.1,6.7,0.0,10.1,10.1
2021-05-02,VA,51683,8.4,8.1,6.0,0.0,8.4,8.4
2021-05-09,VA,51683,0,0,8.9,0.0,0,0.0
2021-05-16,VA,51683,4.3,0,8.7,0.0,4.3,4.3
