collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51730,33.9,14.1,0.0,0.0,33.9,33.9
2020-08-09,VA,51730,26.6,14.3,0.0,0.0,26.6,26.6
2020-08-16,VA,51730,27.6,14.3,0.0,0.0,27.6,27.6
2020-08-23,VA,51730,26.7,11.1,0.0,0.0,26.7,26.7
2020-08-30,VA,51730,23.6,11.9,0.0,0.0,23.6,23.6
2020-09-06,VA,51730,28.6,12.9,0.0,0.0,28.6,28.6
2020-09-13,VA,51730,20.9,0,21.6,0.0,20.9,20.9
2020-09-20,VA,51730,31.0,7.0,22.6,0.0,31.0,31.0
2020-09-27,VA,51730,38.6,9.3,21.9,0.0,38.6,38.6
2020-10-04,VA,51730,38.3,11.3,22.3,0.0,38.3,38.3
2020-10-11,VA,51730,45.3,10.0,23.1,0.0,45.3,45.3
2020-10-18,VA,51730,32.6,11.0,22.6,0.0,32.6,32.6
2020-10-25,VA,51730,35.3,11.4,24.7,0.0,35.3,35.3
2020-11-01,VA,51730,28.9,12.6,24.0,0.0,28.9,28.9
2020-11-08,VA,51730,34.1,14.1,20.9,0.0,34.1,34.1
2020-11-15,VA,51730,26.4,17.1,22.7,0.0,26.4,26.4
2020-11-22,VA,51730,29.1,20.9,22.6,0.0,29.4,29.1
2020-11-29,VA,51730,27.9,20.1,21.4,0.0,27.9,27.9
2020-12-06,VA,51730,20.6,14.4,20.3,0.0,20.7,20.6
2020-12-13,VA,51730,24.3,18.7,21.7,0.0,24.4,24.3
2020-12-20,VA,51730,31.9,27.9,21.0,0.0,31.9,31.9
2020-12-27,VA,51730,49.7,41.9,24.6,0.0,49.7,49.7
2021-01-03,VA,51730,68.7,63.7,27.3,0.0,68.7,68.7
2021-01-10,VA,51730,80.1,74.9,25.6,0.0,80.3,80.1
2021-01-17,VA,51730,66.6,62.7,25.1,0.0,66.6,66.6
2021-01-24,VA,51730,62.6,57.9,25.7,0.0,62.6,62.6
2021-01-31,VA,51730,57.1,54.4,27.4,0.0,57.1,57.1
2021-02-07,VA,51730,50.7,48.0,27.3,0.0,50.7,50.7
2021-02-14,VA,51730,53.9,50.9,24.4,0.0,53.9,53.9
2021-02-21,VA,51730,46.6,43.7,25.9,0.0,46.6,46.6
2021-02-28,VA,51730,37.1,33.6,24.4,0.0,37.1,37.1
2021-03-07,VA,51730,32.0,29.0,23.0,0.0,32.0,32.0
2021-03-14,VA,51730,30.7,28.3,20.4,0.0,30.7,30.7
2021-03-21,VA,51730,25.9,22.1,22.1,0.0,25.9,25.9
2021-03-28,VA,51730,26.6,25.6,24.6,0.0,26.6,26.6
2021-04-04,VA,51730,23.7,22.7,24.0,0.0,23.7,23.7
2021-04-11,VA,51730,21.9,21.3,23.1,0.0,21.9,21.9
2021-04-18,VA,51730,21.9,20.7,23.1,0.0,21.9,21.9
2021-04-25,VA,51730,17.1,15.1,21.0,0.0,17.1,17.1
2021-05-02,VA,51730,13.9,11.3,23.7,0.0,13.9,13.9
2021-05-09,VA,51730,13.9,13.6,21.3,0.0,13.9,13.9
2021-05-16,VA,51730,9.9,8.1,20.4,0.0,9.9,9.9
2021-05-23,VA,51730,8.7,7.0,20.4,0.0,8.7,8.7
2021-05-30,VA,51730,9.6,8.1,20.4,0.0,9.6,9.6
2021-06-06,VA,51730,6.9,6.0,22.4,0.0,6.9,6.9
2021-06-13,VA,51730,8.4,6.6,20.3,0.0,8.4,8.4
2021-06-20,VA,51730,6.3,5.7,25.0,0.0,6.3,6.3
2021-06-27,VA,51730,6.7,4.4,22.7,0.0,6.7,6.7
2021-07-04,VA,51730,7.7,6.1,22.7,0.0,7.7,7.7
2021-07-11,VA,51730,6.1,5.1,24.6,0.0,6.1,6.1
