collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VA,51760,25.3,21.6,130.4,0.0,26.7,25.3
2020-08-09,VA,51760,29.0,24.0,126.3,0.0,29.1,29.0
2020-08-16,VA,51760,30.7,27.0,130.3,0.0,32.5,30.7
2020-08-23,VA,51760,32.2,31.2,137.7,0.0,35.0,32.2
2020-08-30,VA,51760,34.4,31.2,134.2,0.0,35.0,34.4
2020-09-06,VA,51760,41.8,37.5,141.0,0.0,43.2,41.8
2020-09-13,VA,51760,41.1,36.9,142.4,0.0,43.4,41.1
2020-09-20,VA,51760,46.800000000000004,37.6,143.6,0.0,47.4,46.800000000000004
2020-09-27,VA,51760,42.7,32.9,139.9,0.0,43.0,42.7
2020-10-04,VA,51760,30.1,26.6,139.6,0.0,31.4,30.1
2020-10-11,VA,51760,30.6,27.0,145.0,0.0,31.3,30.6
2020-10-18,VA,51760,35.1,28.6,140.6,0.0,36.1,35.1
2020-10-25,VA,51760,29.2,23.5,144.0,0.0,32.8,29.2
2020-11-01,VA,51760,24.8,22.2,130.0,0.0,26.5,24.8
2020-11-08,VA,51760,31.4,26.6,143.3,0.0,32.7,31.4
2020-11-15,VA,51760,36.7,32.4,142.1,0.0,39.1,36.7
2020-11-22,VA,51760,44.3,39.7,136.1,0.0,46.9,44.3
2020-11-29,VA,51760,36.1,32.3,139.7,0.0,38.3,36.1
2020-12-06,VA,51760,41.3,36.4,139.7,5.4,46.7,46.699999999999996
2020-12-13,VA,51760,58.0,54.1,146.3,5.0,63.0,63.0
2020-12-20,VA,51760,81.7,72.0,139.0,0.0,84.4,81.7
2020-12-27,VA,51760,110.0,101.8,141.7,0.0,112.6,110.0
2021-01-03,VA,51760,117.5,111.10000000000001,145.9,0.0,120.69999999999999,117.5
2021-01-10,VA,51760,114.7,107.0,146.7,0.0,118.0,114.7
2021-01-17,VA,51760,105.60000000000001,98.4,136.6,0.0,108.7,105.60000000000001
2021-01-24,VA,51760,102.7,98.3,132.7,0.0,104.7,102.7
2021-01-31,VA,51760,94.7,89.9,132.3,0.0,96.80000000000001,94.7
2021-02-07,VA,51760,67.9,63.4,126.6,0.0,70.0,67.9
2021-02-14,VA,51760,69.0,65.0,131.0,0.0,72.7,69.0
2021-02-21,VA,51760,61.4,56.0,129.9,4.9,66.3,66.3
2021-02-28,VA,51760,59.6,56.1,130.4,4.3,63.9,63.9
2021-03-07,VA,51760,51.1,47.7,131.9,0.0,55.0,51.1
2021-03-14,VA,51760,46.3,43.9,131.3,0.0,48.7,46.3
2021-03-21,VA,51760,43.9,40.1,129.1,0.0,46.4,43.9
2021-03-28,VA,51760,42.9,39.0,129.1,4.4,47.3,47.3
2021-04-04,VA,51760,50.0,45.9,129.0,0.0,53.0,50.0
2021-04-11,VA,51760,44.5,41.7,130.0,0.0,46.4,44.5
2021-04-18,VA,51760,37.0,34.0,124.9,0.0,39.6,37.0
2021-04-25,VA,51760,33.9,30.9,130.6,0.0,36.0,33.9
2021-05-02,VA,51760,30.3,27.4,131.4,0.0,31.1,30.3
2021-05-09,VA,51760,29.9,27.6,128.4,0.0,31.0,29.9
2021-05-16,VA,51760,18.4,16.1,127.3,0.0,20.4,18.4
2021-05-23,VA,51760,14.7,12.4,128.3,0.0,15.6,14.7
2021-05-30,VA,51760,17.4,15.0,127.1,0.0,19.9,17.4
2021-06-06,VA,51760,11.6,9.1,125.6,0.0,13.9,11.6
2021-06-13,VA,51760,10.9,8.7,125.6,0.0,13.7,10.9
2021-06-20,VA,51760,9.3,7.4,126.6,0.0,11.0,9.3
2021-06-27,VA,51760,10.4,9.6,125.6,0.0,11.9,10.4
2021-07-04,VA,51760,12.9,11.3,125.7,0.0,13.6,12.9
2021-07-11,VA,51760,11.6,10.3,123.0,0.0,12.7,11.6
2021-07-18,VA,51760,16.3,14.9,128.0,0.0,17.7,16.3
2021-07-25,VA,51760,19.3,18.1,123.1,0.0,20.6,19.3
2021-08-01,VA,51760,25.9,24.6,128.1,0.0,28.3,25.9
2021-08-08,VA,51760,32.6,30.0,127.4,4.0,36.6,36.6
2021-08-15,VA,51760,44.6,41.6,128.7,0.0,47.7,44.6
2021-08-22,VA,51760,56.9,51.2,127.0,0.0,60.3,56.9
2021-08-29,VA,51760,65.7,63.1,127.9,4.4,70.10000000000001,70.10000000000001
2021-09-05,VA,51760,67.0,63.3,128.3,4.3,71.30000000000001,71.3
2021-09-12,VA,51760,62.0,59.0,128.4,4.3,66.3,66.3
2021-09-19,VA,51760,64.9,61.3,130.6,6.0,70.9,70.9
2021-09-26,VA,51760,59.6,57.1,130.3,6.4,66.0,66.0
2021-10-03,VA,51760,44.4,42.7,130.3,0.0,47.4,44.4
2021-10-10,VA,51760,44.3,41.7,131.4,0.0,47.3,44.3
2021-10-17,VA,51760,52.6,50.1,126.0,0.0,53.7,52.6
2021-10-24,VA,51760,43.7,40.1,130.1,0.0,45.9,43.7
2021-10-31,VA,51760,31.0,28.1,128.3,0.0,32.3,31.0
2021-11-07,VA,51760,26.4,23.9,127.3,0.0,29.7,26.4
2021-11-14,VA,51760,26.0,24.1,122.4,0.0,28.7,26.0
2021-11-21,VA,51760,27.9,25.0,122.3,0.0,30.4,27.9
2021-11-28,VA,51760,27.4,24.0,123.3,0.0,30.4,27.4
2021-12-05,VA,51760,41.0,39.7,118.4,0.0,43.0,41.0
2021-12-12,VA,51760,49.0,46.4,127.1,0.0,50.6,49.0
2021-12-19,VA,51760,62.3,48.0,123.3,0.0,64.0,62.3
2021-12-26,VA,51760,94.5,88.9,124.3,5.6,100.1,100.1
