collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,VT,50021,0,0,7.4,0.0,0,0.0
2020-08-09,VT,50021,0.0,0.0,6.8,0.0,0.0,0.0
2020-08-16,VT,50021,0,0,8.9,0,0,0.0
2020-08-23,VT,50021,0,0,9.7,0.0,0,0.0
2020-08-30,VT,50021,0,0,9.7,0.0,0,0.0
2020-09-06,VT,50021,0.0,0.0,8.3,0.0,0.0,0.0
2020-09-13,VT,50021,0.0,0.0,10.3,0.0,0.0,0.0
2020-09-20,VT,50021,0.0,0.0,8.0,0.0,0.0,0.0
2020-09-27,VT,50021,0,0.0,7.7,0.0,0,0.0
2020-10-04,VT,50021,0.0,0.0,7.7,0.0,0.0,0.0
2020-10-11,VT,50021,0.0,0.0,7.6,0.0,0.0,0.0
2020-10-18,VT,50021,0.0,0.0,7.1,0.0,0.0,0.0
2020-10-25,VT,50021,0,0,7.4,0.0,0,0.0
2020-11-01,VT,50021,0.0,0.0,4.1,0.0,0.0,0.0
2020-11-08,VT,50021,0,0,6.3,0.0,0,0.0
2020-11-15,VT,50021,0,0,6.3,0.0,0,0.0
2020-11-22,VT,50021,0,0,8.7,0.0,0,0.0
2020-11-29,VT,50021,0,0,9.0,0.0,0,0.0
2020-12-06,VT,50021,4.4,0,7.9,0.0,4.4,4.4
2020-12-13,VT,50021,0,0,9.0,0.0,0,0.0
2020-12-20,VT,50021,0,0,7.4,0.0,0,0.0
2020-12-27,VT,50021,0,0,8.6,0.0,0,0.0
2021-01-03,VT,50021,5.1,0,9.1,0.0,5.1,5.1
2021-01-10,VT,50021,6.4,5.6,9.7,0.0,6.4,6.4
2021-01-17,VT,50021,5.0,0,7.9,0.0,5.0,5.0
2021-01-24,VT,50021,5.1,0,8.4,0.0,5.1,5.1
2021-01-31,VT,50021,13.4,10.3,10.1,0.0,13.4,13.4
2021-02-07,VT,50021,15.3,11.7,10.9,0,15.4,15.3
2021-02-14,VT,50021,13.4,10.7,10.6,0,13.6,13.4
2021-02-21,VT,50021,5.3,5.3,9.3,0.0,5.3,5.3
2021-02-28,VT,50021,5.7,5.3,8.3,0,5.9,5.7
2021-03-07,VT,50021,4.3,4.1,6.6,0.0,4.3,4.3
2021-03-14,VT,50021,0,0,6.1,0.0,0,0.0
2021-03-21,VT,50021,5.7,5.7,7.9,0.0,5.7,5.7
2021-03-28,VT,50021,7.3,7.1,7.9,0.0,7.3,7.3
2021-04-04,VT,50021,4.6,4.1,9.0,0.0,4.6,4.6
2021-04-11,VT,50021,0,0,9.3,0.0,0,0.0
2021-04-18,VT,50021,0,0,9.1,0.0,0,0.0
2021-04-25,VT,50021,6.0,4.6,8.3,0,6.1,6.0
2021-05-02,VT,50021,6.1,5.4,7.3,0.0,6.1,6.1
2021-05-09,VT,50021,4.9,4.0,7.0,0.0,4.9,4.9
2021-05-16,VT,50021,0,0,6.9,0.0,0,0.0
2021-05-23,VT,50021,0,0,9.9,0.0,0,0.0
2021-05-30,VT,50021,0,0,8.6,0.0,0,0.0
2021-06-06,VT,50021,0,0,9.4,0.0,0,0.0
2021-06-13,VT,50021,0,0,7.4,0.0,0,0.0
2021-06-20,VT,50021,0,0,8.6,0.0,0,0.0
2021-06-27,VT,50021,0.0,0.0,9.1,0.0,0.0,0.0
2021-07-04,VT,50021,0,0,10.0,0.0,0,0.0
2021-07-11,VT,50021,0.0,0,11.0,0.0,0.0,0.0
2021-07-18,VT,50021,0,0,11.1,0.0,0,0.0
2021-07-25,VT,50021,0,0,10.6,0.0,0,0.0
2021-08-01,VT,50021,0,0,10.4,0.0,0,0.0
2021-08-08,VT,50021,5.4,5.3,10.6,0.0,5.4,5.4
2021-08-15,VT,50021,4.1,0,10.9,0.0,4.1,4.1
2021-08-22,VT,50021,4.4,0,10.6,0.0,4.4,4.4
2021-08-29,VT,50021,0,0,10.6,0.0,0,0.0
2021-09-05,VT,50021,0,0,6.7,0,0,0.0
2021-09-12,VT,50021,5.9,5.1,10.1,0.0,5.9,5.9
2021-09-19,VT,50021,11.1,7.0,10.4,0.0,11.1,11.1
2021-09-26,VT,50021,5.7,5.3,9.9,0.0,5.7,5.7
2021-10-03,VT,50021,6.0,5.7,11.3,0.0,6.0,6.0
2021-10-10,VT,50021,6.0,5.9,10.3,0.0,6.0,6.0
2021-10-17,VT,50021,0,0,10.1,0.0,0,0.0
2021-10-24,VT,50021,4.1,0,10.3,0.0,4.1,4.1
2021-10-31,VT,50021,6.3,5.7,10.4,0,6.6,6.3
2021-11-07,VT,50021,10.6,9.9,11.0,0.0,10.6,10.6
2021-11-14,VT,50021,11.7,10.7,11.3,0.0,11.7,11.7
2021-11-21,VT,50021,14.6,14.3,11.1,0.0,14.6,14.6
2021-11-28,VT,50021,17.3,17.0,9.9,0,17.6,17.3
2021-12-05,VT,50021,14.4,13.9,9.9,0.0,14.4,14.4
2021-12-12,VT,50021,13.1,12.3,8.7,0.0,13.1,13.1
2021-12-19,VT,50021,13.9,13.3,8.7,0.0,13.9,13.9
2021-12-26,VT,50021,8.1,7.4,8.9,0,8.3,8.1
