collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53007,16.4,16.4,14.6,0.0,16.4,16.4
2020-08-09,WA,53007,20.7,20.7,15.7,0.0,20.7,20.7
2020-08-16,WA,53007,19.9,19.9,15.6,0.0,19.9,19.9
2020-08-23,WA,53007,20.0,20.0,17.7,0.0,20.1,20.0
2020-08-30,WA,53007,15.3,15.3,13.6,0.0,15.3,15.3
2020-09-06,WA,53007,8.4,8.4,13.0,0.0,8.4,8.4
2020-09-13,WA,53007,6.4,6.4,12.4,0.0,6.4,6.4
2020-09-20,WA,53007,5.0,5.0,13.0,0.0,5.0,5.0
2020-09-27,WA,53007,0.0,0.0,10.0,0.0,0.0,0.0
2020-10-04,WA,53007,0.0,0.0,11.1,0.0,0.0,0.0
2020-10-11,WA,53007,7.1,7.1,13.7,0.0,7.1,7.1
2020-10-18,WA,53007,7.4,7.4,11.1,0.0,7.4,7.4
2020-10-25,WA,53007,8.1,8.1,12.9,0.0,8.1,8.1
2020-11-01,WA,53007,7.6,7.6,10.1,0.0,7.6,7.6
2020-11-08,WA,53007,9.6,9.6,8.3,0.0,9.6,9.6
2020-11-15,WA,53007,11.7,11.7,11.3,0.0,11.7,11.7
2020-11-22,WA,53007,23.0,23.0,12.9,0.0,23.0,23.0
2020-11-29,WA,53007,31.7,31.6,14.0,0.0,31.7,31.7
2020-12-06,WA,53007,40.9,40.9,17.4,0.0,40.9,40.9
2020-12-13,WA,53007,34.1,34.1,15.3,0.0,34.4,34.1
2020-12-20,WA,53007,33.0,33.0,14.1,0.0,33.0,33.0
2020-12-27,WA,53007,27.3,27.3,16.6,0.0,27.3,27.3
2021-01-03,WA,53007,31.0,31.0,17.3,0.0,31.0,31.0
2021-01-10,WA,53007,31.6,31.6,13.4,0.0,31.6,31.6
2021-01-17,WA,53007,29.0,29.0,14.3,0.0,29.0,29.0
2021-01-24,WA,53007,21.4,21.4,15.1,0.0,21.4,21.4
2021-01-31,WA,53007,14.0,14.0,13.4,0.0,14.0,14.0
2021-02-07,WA,53007,8.1,8.1,8.6,0.0,8.1,8.1
2021-02-14,WA,53007,10.1,10.1,11.7,0.0,10.1,10.1
2021-02-21,WA,53007,11.0,11.0,10.6,0.0,11.0,11.0
2021-02-28,WA,53007,6.6,6.6,11.1,0.0,6.6,6.6
2021-03-07,WA,53007,4.3,4.3,10.4,0.0,4.3,4.3
2021-03-14,WA,53007,6.4,6.4,9.9,0.0,6.4,6.4
2021-03-21,WA,53007,6.6,6.6,14.0,0.0,6.6,6.6
2021-03-28,WA,53007,6.0,6.0,9.1,0.0,6.0,6.0
2021-04-04,WA,53007,8.3,8.3,11.6,0.0,8.3,8.3
2021-04-11,WA,53007,8.0,8.0,13.3,0.0,8.0,8.0
2021-04-18,WA,53007,7.0,7.0,11.7,0.0,7.0,7.0
2021-04-25,WA,53007,9.1,9.0,13.4,0.0,9.1,9.1
2021-05-02,WA,53007,7.6,7.6,15.3,0.0,7.6,7.6
2021-05-09,WA,53007,7.1,7.1,9.7,0.0,7.1,7.1
2021-05-16,WA,53007,10.0,10.0,10.0,0.0,10.0,10.0
2021-05-23,WA,53007,12.4,12.4,12.4,0.0,12.4,12.4
2021-05-30,WA,53007,12.6,12.6,11.6,0.0,12.6,12.6
2021-06-06,WA,53007,8.3,8.3,12.6,0.0,8.3,8.3
2021-06-13,WA,53007,6.3,6.3,11.7,0.0,6.3,6.3
2021-06-20,WA,53007,6.0,6.0,9.1,0.0,6.0,6.0
2021-06-27,WA,53007,5.7,5.7,10.6,0.0,5.7,5.7
2021-07-04,WA,53007,5.3,5.3,10.0,0.0,5.3,5.3
2021-07-11,WA,53007,6.4,6.4,6.1,0.0,6.7,6.4
2021-07-18,WA,53007,13.3,13.3,11.0,0.0,13.7,13.3
2021-07-25,WA,53007,19.6,19.6,14.4,0.0,19.6,19.6
2021-08-01,WA,53007,18.7,18.7,10.7,0.0,18.9,18.7
2021-08-08,WA,53007,26.0,26.0,9.6,0.0,26.1,26.0
2021-08-15,WA,53007,32.3,32.3,15.3,0.0,32.3,32.3
2021-08-22,WA,53007,35.6,35.6,16.6,0.0,36.1,35.6
2021-08-29,WA,53007,38.9,38.9,13.7,0.0,39.4,38.9
2021-09-05,WA,53007,49.9,49.9,16.9,0.0,50.0,49.9
2021-09-12,WA,53007,53.6,53.6,19.0,0.0,53.6,53.6
2021-09-19,WA,53007,53.6,53.6,19.6,0.0,53.6,53.6
2021-09-26,WA,53007,39.7,39.7,18.4,0.0,40.0,39.7
2021-10-03,WA,53007,37.3,37.3,17.9,0.0,37.4,37.3
2021-10-10,WA,53007,37.4,37.4,16.4,0.0,38.1,37.4
2021-10-17,WA,53007,41.3,41.3,16.1,0.0,41.3,41.3
2021-10-24,WA,53007,42.1,42.1,19.6,0.0,42.7,42.1
2021-10-31,WA,53007,35.9,35.9,19.6,0.0,37.1,35.9
2021-11-07,WA,53007,31.4,31.4,21.7,0.0,32.0,31.4
2021-11-14,WA,53007,30.0,30.0,19.6,0.0,30.1,30.0
2021-11-21,WA,53007,23.0,23.0,20.4,0.0,23.0,23.0
2021-11-28,WA,53007,24.6,24.6,18.1,0.0,24.6,24.6
2021-12-05,WA,53007,22.6,22.6,15.3,0.0,22.6,22.6
2021-12-12,WA,53007,16.3,16.3,14.6,0.0,16.3,16.3
2021-12-19,WA,53007,15.9,15.3,13.0,0.0,15.9,15.9
2021-12-26,WA,53007,14.7,14.0,13.4,0.0,14.7,14.7
