collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53011,21.0,15.0,33.3,0.0,21.0,21.0
2020-08-09,WA,53011,23.6,15.9,21.0,0.0,23.6,23.6
2020-08-16,WA,53011,24.9,18.0,0,0.0,24.9,24.9
2020-08-23,WA,53011,27.3,18.3,25.9,0.0,27.3,27.3
2020-08-30,WA,53011,28.700000000000003,19.2,45.0,0.0,28.700000000000003,28.700000000000003
2020-09-06,WA,53011,29.7,20.9,44.1,0.0,29.7,29.7
2020-09-13,WA,53011,33.4,24.2,48.3,0.0,33.4,33.4
2020-09-20,WA,53011,34.7,27.9,49.400000000000006,0.0,34.7,34.7
2020-09-27,WA,53011,41.099999999999994,31.1,48.8,0.0,41.099999999999994,41.099999999999994
2020-10-04,WA,53011,42.5,27.7,45.7,0.0,42.5,42.5
2020-10-11,WA,53011,36.099999999999994,26.0,44.300000000000004,0.0,36.099999999999994,36.099999999999994
2020-10-18,WA,53011,31.200000000000003,21.5,45.9,0.0,31.200000000000003,31.200000000000003
2020-10-25,WA,53011,38.6,25.200000000000003,49.2,0.0,38.6,38.6
2020-11-01,WA,53011,51.0,34.2,55.0,0.0,51.1,51.0
2020-11-08,WA,53011,55.599999999999994,43.7,50.0,0.0,55.599999999999994,55.599999999999994
2020-11-15,WA,53011,75.4,59.4,52.5,0.0,75.4,75.4
2020-11-22,WA,53011,89.8,73.6,54.3,0.0,89.8,89.8
2020-11-29,WA,53011,84.7,72.0,49.1,0.0,84.7,84.7
2020-12-06,WA,53011,69.0,52.8,46.2,0.0,69.0,69.0
2020-12-13,WA,53011,77.0,59.8,49.699999999999996,0.0,77.1,77.0
2020-12-20,WA,53011,64.1,50.9,46.5,0.0,64.9,64.1
2020-12-27,WA,53011,65.8,52.8,50.3,0.0,65.8,65.8
2021-01-03,WA,53011,84.0,74.9,51.4,0.0,84.0,84.0
2021-01-10,WA,53011,88.5,73.6,39.599999999999994,0.0,88.5,88.5
2021-01-17,WA,53011,74.0,60.3,45.1,0.0,74.1,74.0
2021-01-24,WA,53011,69.3,54.0,56.099999999999994,0.0,69.8,69.3
2021-01-31,WA,53011,57.7,46.2,52.5,0.0,57.900000000000006,57.7
2021-02-07,WA,53011,53.0,38.400000000000006,52.3,0.0,53.0,53.0
2021-02-14,WA,53011,47.3,36.599999999999994,48.3,0.0,47.3,47.3
2021-02-21,WA,53011,40.4,30.4,48.7,0.0,40.4,40.4
2021-02-28,WA,53011,29.0,20.200000000000003,43.6,0.0,29.0,29.0
2021-03-07,WA,53011,25.7,17.7,46.9,0.0,25.7,25.7
2021-03-14,WA,53011,30.7,20.1,46.4,0.0,30.7,30.7
2021-03-21,WA,53011,24.9,14.6,49.7,0.0,24.9,24.9
2021-03-28,WA,53011,30.7,20.0,49.099999999999994,0.0,30.7,30.7
2021-04-04,WA,53011,27.9,19.200000000000003,51.0,0.0,27.9,27.9
2021-04-11,WA,53011,30.9,19.9,55.2,0.0,30.9,30.9
2021-04-18,WA,53011,33.3,25.200000000000003,54.8,0.0,33.5,33.3
2021-04-25,WA,53011,42.1,34.0,52.6,0.0,42.1,42.1
2021-05-02,WA,53011,38.400000000000006,32.2,55.6,0.0,38.400000000000006,38.400000000000006
2021-05-09,WA,53011,51.7,41.7,54.6,0.0,51.7,51.7
2021-05-16,WA,53011,51.2,43.2,57.2,0.0,51.3,51.2
2021-05-23,WA,53011,52.5,43.400000000000006,59.9,0.0,52.5,52.5
2021-05-30,WA,53011,53.3,44.5,58.0,0.0,53.3,53.3
2021-06-06,WA,53011,44.3,38.8,54.0,0.0,44.3,44.3
2021-06-13,WA,53011,38.0,30.2,51.6,0.0,38.0,38.0
2021-06-20,WA,53011,33.4,25.799999999999997,51.400000000000006,0.0,33.4,33.4
2021-06-27,WA,53011,27.1,21.799999999999997,55.1,0.0,27.1,27.1
2021-07-04,WA,53011,24.2,18.5,49.099999999999994,0.0,24.2,24.2
2021-07-11,WA,53011,27.200000000000003,21.0,52.300000000000004,0.0,27.200000000000003,27.200000000000003
