collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53057,9.0,8.1,8.7,0.0,9.0,9.0
2020-08-09,WA,53057,9.7,8.3,9.6,0.0,9.7,9.7
2020-08-16,WA,53057,5.7,5.6,8.7,0.0,5.7,5.7
2020-08-23,WA,53057,4.7,4.6,7.1,0.0,4.7,4.7
2020-08-30,WA,53057,4.9,4.4,5.1,0.0,4.9,4.9
2020-09-06,WA,53057,0.0,0.0,5.7,0.0,0.0,0.0
2020-09-13,WA,53057,0.0,0.0,6.9,0.0,0.0,0.0
2020-09-20,WA,53057,0.0,0.0,6.1,0.0,0.0,0.0
2020-09-27,WA,53057,0.0,0.0,7.7,0.0,0.0,0.0
2020-10-04,WA,53057,0.0,0.0,11.4,0.0,0.0,0.0
2020-10-11,WA,53057,0.0,0.0,4.7,0.0,0.0,0.0
2020-10-18,WA,53057,0.0,0.0,11.4,0.0,0.0,0.0
2020-10-25,WA,53057,0.0,0.0,10.0,0.0,0.0,0.0
2020-11-01,WA,53057,0.0,0.0,10.3,0.0,0.0,0.0
2020-11-08,WA,53057,8.0,7.3,10.7,0.0,8.0,8.0
2020-11-15,WA,53057,14.0,13.4,13.0,0.0,14.0,14.0
2020-11-22,WA,53057,16.9,15.0,10.0,0.0,16.9,16.9
2020-11-29,WA,53057,14.4,12.7,12.1,0.0,14.4,14.4
2020-12-06,WA,53057,17.4,15.4,11.4,0.0,17.4,17.4
2020-12-13,WA,53057,14.4,13.1,12.0,0.0,14.4,14.4
2020-12-20,WA,53057,10.6,10.6,8.9,0.0,10.6,10.6
2020-12-27,WA,53057,8.9,8.9,9.3,0.0,8.9,8.9
2021-01-03,WA,53057,8.3,7.9,14.0,0.0,8.3,8.3
2021-01-10,WA,53057,9.0,8.7,9.9,0.0,9.0,9.0
2021-01-17,WA,53057,11.4,11.3,9.6,0.0,11.4,11.4
2021-01-24,WA,53057,10.7,10.7,10.0,0.0,10.7,10.7
2021-01-31,WA,53057,12.0,11.7,6.3,0.0,12.0,12.0
2021-02-07,WA,53057,8.4,8.0,7.0,0.0,8.4,8.4
2021-02-14,WA,53057,8.9,8.7,7.1,0.0,8.9,8.9
2021-02-21,WA,53057,6.3,5.9,5.3,0.0,6.3,6.3
2021-02-28,WA,53057,5.6,5.1,7.7,0.0,5.6,5.6
2021-03-07,WA,53057,4.9,4.9,7.3,0.0,4.9,4.9
2021-03-14,WA,53057,5.9,5.6,8.7,0.0,5.9,5.9
2021-03-21,WA,53057,0.0,0.0,6.0,0.0,0.0,0.0
2021-03-28,WA,53057,4.1,4.1,7.0,0.0,4.1,4.1
2021-04-04,WA,53057,5.6,5.4,5.3,0.0,5.6,5.6
2021-04-11,WA,53057,4.0,4.0,12.3,0.0,4.0,4.0
2021-04-18,WA,53057,6.6,6.1,7.7,0.0,6.6,6.6
2021-04-25,WA,53057,8.6,8.6,9.4,0.0,8.6,8.6
2021-05-02,WA,53057,10.7,9.9,8.7,0.0,10.7,10.7
2021-05-09,WA,53057,7.6,6.6,8.9,0.0,7.6,7.6
2021-05-16,WA,53057,6.9,6.9,7.3,0.0,6.9,6.9
2021-05-23,WA,53057,5.6,5.4,8.3,0.0,5.9,5.6
2021-05-30,WA,53057,8.0,7.6,9.6,0.0,8.3,8.0
2021-06-06,WA,53057,7.7,7.4,8.0,0.0,7.7,7.7
2021-06-13,WA,53057,0.0,0.0,8.6,0.0,0.0,0.0
2021-06-20,WA,53057,0.0,0.0,12.1,0.0,0.0,0.0
