collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53063,84.19999999999999,71.3,64.8,0.0,84.6,84.19999999999999
2020-08-09,WA,53063,78.9,66.80000000000001,69.5,0.0,79.9,78.9
2020-08-16,WA,53063,14.3,13.700000000000001,25.799999999999997,0.0,14.3,14.3
2020-08-23,WA,53063,51.1,42.0,77.80000000000001,0.0,51.3,51.1
2020-08-30,WA,53063,42.0,33.199999999999996,74.3,0.0,43.099999999999994,42.0
2020-09-06,WA,53063,35.300000000000004,22.700000000000003,67.8,0.0,36.7,35.300000000000004
2020-09-13,WA,53063,42.0,30.5,80.6,0.0,43.4,42.0
2020-09-20,WA,53063,48.4,39.7,86.3,0.0,48.800000000000004,48.4
2020-09-27,WA,53063,38.3,27.6,64.5,0.0,38.800000000000004,38.3
2020-10-04,WA,53063,43.099999999999994,34.7,70.7,0.0,45.0,43.099999999999994
2020-10-11,WA,53063,48.8,40.9,74.7,0.0,50.39999999999999,48.8
2020-10-18,WA,53063,51.099999999999994,42.7,79.6,0.0,53.3,51.099999999999994
2020-10-25,WA,53063,62.099999999999994,55.699999999999996,82.5,0.0,65.3,62.099999999999994
2020-11-01,WA,53063,76.6,67.8,87.0,0.0,78.6,76.6
2020-11-08,WA,53063,84.0,79.6,86.9,0.0,87.0,84.0
2020-11-15,WA,53063,115.6,108.89999999999999,83.8,0.0,117.4,115.6
2020-11-22,WA,53063,111.9,106.1,65.6,0.0,112.9,111.9
2020-11-29,WA,53063,129.4,122.0,67.6,0.0,131.0,129.4
2020-12-06,WA,53063,136.3,129.4,65.0,0.0,138.0,136.3
2020-12-13,WA,53063,127.9,121.6,70.0,0.0,129.3,127.9
2020-12-20,WA,53063,120.79999999999998,112.99999999999999,69.5,0.0,124.1,120.79999999999998
2020-12-27,WA,53063,126.9,122.60000000000001,70.7,0.0,129.70000000000002,126.9
2021-01-03,WA,53063,128.6,122.10000000000001,73.1,0.0,131.3,128.6
2021-01-10,WA,53063,116.4,111.0,76.5,0.0,118.0,116.4
2021-01-17,WA,53063,102.80000000000001,98.3,71.0,0.0,103.9,102.80000000000001
2021-01-24,WA,53063,102.5,93.9,62.4,0.0,104.69999999999999,102.5
2021-01-31,WA,53063,86.4,79.1,62.800000000000004,0.0,87.19999999999999,86.4
2021-02-07,WA,53063,61.400000000000006,58.1,66.3,0.0,63.0,61.400000000000006
2021-02-14,WA,53063,63.39999999999999,55.7,65.6,0.0,64.2,63.39999999999999
2021-02-21,WA,53063,53.599999999999994,49.199999999999996,66.7,0.0,54.0,53.599999999999994
2021-02-28,WA,53063,48.2,43.9,70.8,0.0,49.5,48.2
2021-03-07,WA,53063,41.5,36.3,66.8,0.0,42.0,41.5
2021-03-14,WA,53063,47.400000000000006,35.2,67.5,0.0,48.8,47.400000000000006
2021-03-21,WA,53063,45.6,31.299999999999997,71.5,0.0,48.3,45.6
2021-03-28,WA,53063,40.400000000000006,29.199999999999996,70.7,0.0,41.1,40.400000000000006
2021-04-04,WA,53063,51.1,29.5,71.9,0.0,53.199999999999996,51.1
2021-04-11,WA,53063,64.8,35.3,68.5,0.0,65.0,64.8
2021-04-18,WA,53063,106.3,59.89999999999999,74.6,0.0,106.89999999999999,106.3
2021-04-25,WA,53063,99.0,68.6,75.2,0.0,99.9,99.0
2021-05-02,WA,53063,100.8,66.7,76.8,0.0,103.19999999999999,100.8
2021-05-09,WA,53063,98.7,68.6,74.4,0.0,99.3,98.7
2021-05-16,WA,53063,90.2,59.8,71.2,0.0,91.5,90.2
2021-05-23,WA,53063,96.0,59.300000000000004,74.9,0.0,97.0,96.0
2021-05-30,WA,53063,91.6,59.1,72.9,0.0,91.6,91.6
2021-06-06,WA,53063,81.0,52.6,71.3,0.0,81.2,81.0
2021-06-13,WA,53063,71.39999999999999,33.6,71.7,0.0,72.19999999999999,71.39999999999999
2021-06-20,WA,53063,73.5,35.3,72.0,0.0,73.5,73.5
2021-06-27,WA,53063,72.60000000000001,30.9,68.2,0.0,72.9,72.60000000000001
2021-07-04,WA,53063,62.9,31.5,69.89999999999999,0.0,63.2,62.9
2021-07-11,WA,53063,58.1,25.299999999999997,71.3,0.0,58.1,58.1
2021-07-18,WA,53063,65.7,30.4,79.0,0.0,65.7,65.7
2021-07-25,WA,53063,80.39999999999999,49.5,70.69999999999999,0.0,80.69999999999999,80.39999999999999
2021-08-01,WA,53063,109.7,78.6,70.2,0.0,111.39999999999999,109.7
2021-08-08,WA,53063,142.5,112.0,69.9,0.0,145.5,142.5
2021-08-15,WA,53063,180.2,149.1,71.9,4.4,185.90000000000003,184.6
2021-08-22,WA,53063,219.39999999999998,187.0,75.9,0.0,222.0,219.39999999999998
2021-08-29,WA,53063,235.60000000000002,204.79999999999998,75.69999999999999,0.0,239.0,235.60000000000002
2021-09-05,WA,53063,255.9,217.89999999999998,74.4,4.0,259.9,259.9
2021-09-12,WA,53063,260.0,222.0,69.4,7.3,267.29999999999995,267.3
2021-09-19,WA,53063,235.5,192.39999999999998,73.8,4.4,239.9,239.9
2021-09-26,WA,53063,207.60000000000002,171.9,72.2,6.3,213.8,213.90000000000003
2021-10-03,WA,53063,206.3,172.8,73.2,4.0,210.3,210.3
2021-10-10,WA,53063,185.39999999999998,152.5,72.39999999999999,0.0,188.39999999999998,185.39999999999998
2021-10-17,WA,53063,171.5,131.89999999999998,71.5,0.0,174.1,171.5
2021-10-24,WA,53063,169.5,134.1,78.4,0.0,171.3,169.5
2021-10-31,WA,53063,156.8,115.0,72.7,0.0,160.00000000000003,156.8
2021-11-07,WA,53063,136.8,94.10000000000001,73.4,0.0,141.70000000000002,136.8
2021-11-14,WA,53063,136.0,93.0,79.1,0.0,137.7,136.0
2021-11-21,WA,53063,115.69999999999999,76.5,76.2,0.0,117.6,115.69999999999999
2021-11-28,WA,53063,109.4,65.89999999999999,73.3,0.0,111.7,109.4
2021-12-05,WA,53063,105.7,62.2,75.0,0.0,107.3,105.7
2021-12-12,WA,53063,113.80000000000001,63.1,75.5,0.0,115.5,113.80000000000001
2021-12-19,WA,53063,95.39999999999999,56.99999999999999,72.5,0.0,97.8,95.39999999999999
2021-12-26,WA,53063,100.89999999999999,61.0,71.8,0.0,103.2,100.89999999999999
