collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WA,53067,13.9,10.1,53.1,0.0,13.9,13.9
2020-08-09,WA,53067,17.0,11.5,50.3,0.0,17.3,17.0
2020-08-16,WA,53067,0,0.0,0,0.0,0,0.0
2020-08-23,WA,53067,11.2,8.0,58.2,0.0,11.2,11.2
2020-08-30,WA,53067,10.1,8.4,59.1,0.0,10.1,10.1
2020-09-06,WA,53067,11.6,9.0,59.9,0.0,11.6,11.6
2020-09-13,WA,53067,11.6,8.6,61.7,0.0,11.6,11.6
2020-09-20,WA,53067,9.1,6.0,67.7,0.0,9.1,9.1
2020-09-27,WA,53067,8.3,5.6,62.1,0.0,8.4,8.3
2020-10-04,WA,53067,6.7,5.1,59.7,0.0,6.7,6.7
2020-10-11,WA,53067,13.1,9.1,61.6,0.0,13.1,13.1
2020-10-18,WA,53067,15.9,14.4,64.0,0.0,15.9,15.9
2020-10-25,WA,53067,17.4,16.4,64.3,0.0,17.4,17.4
2020-11-01,WA,53067,21.1,20.3,61.7,0.0,21.1,21.1
2020-11-08,WA,53067,23.0,22.3,62.1,0.0,23.0,23.0
2020-11-15,WA,53067,26.7,26.0,61.6,0.0,26.7,26.7
2020-11-22,WA,53067,21.7,21.1,61.9,0.0,21.9,21.7
2020-11-29,WA,53067,24.1,23.0,65.7,0.0,24.1,24.1
2020-12-06,WA,53067,27.6,27.3,64.4,0.0,27.6,27.6
2020-12-13,WA,53067,27.7,26.9,62.3,0.0,27.7,27.7
2020-12-20,WA,53067,24.7,24.4,57.0,0.0,24.7,24.7
2020-12-27,WA,53067,27.6,27.6,60.9,0.0,27.6,27.6
2021-01-03,WA,53067,27.9,27.6,61.9,0.0,27.9,27.9
2021-01-10,WA,53067,31.7,31.4,68.7,0.0,31.7,31.7
2021-01-17,WA,53067,24.7,24.7,62.9,0.0,24.7,24.7
2021-01-24,WA,53067,23.0,22.1,65.3,0.0,23.0,23.0
2021-01-31,WA,53067,18.9,18.4,64.6,0.0,18.9,18.9
2021-02-07,WA,53067,18.1,17.6,63.1,0.0,18.1,18.1
2021-02-14,WA,53067,21.0,20.7,63.3,0.0,21.0,21.0
2021-02-21,WA,53067,22.3,22.1,64.9,0.0,22.3,22.3
2021-02-28,WA,53067,14.1,14.1,64.0,0.0,14.1,14.1
2021-03-07,WA,53067,12.7,12.3,59.9,0.0,12.7,12.7
2021-03-14,WA,53067,14.7,14.6,62.7,0.0,14.7,14.7
2021-03-21,WA,53067,10.0,9.4,72.6,0.0,10.0,10.0
2021-03-28,WA,53067,10.0,9.1,63.3,0.0,10.0,10.0
2021-04-04,WA,53067,11.9,11.4,61.0,0.0,11.9,11.9
2021-04-11,WA,53067,20.3,20.1,68.3,0.0,20.3,20.3
2021-04-18,WA,53067,29.4,29.0,69.8,0.0,29.4,29.4
2021-04-25,WA,53067,25.3,25.0,64.4,0.0,25.3,25.3
2021-05-02,WA,53067,23.9,23.7,61.1,0.0,23.9,23.9
2021-05-09,WA,53067,19.6,19.4,67.3,0.0,19.6,19.6
2021-05-16,WA,53067,17.0,16.9,61.9,0.0,17.0,17.0
2021-05-23,WA,53067,20.6,19.6,67.0,0.0,20.6,20.6
2021-05-30,WA,53067,16.9,16.4,66.0,0.0,16.9,16.9
2021-06-06,WA,53067,20.6,20.400000000000002,60.9,0.0,20.6,20.6
2021-06-13,WA,53067,20.2,19.6,62.9,0.0,20.299999999999997,20.2
2021-06-20,WA,53067,13.3,13.1,68.1,0.0,13.3,13.3
2021-06-27,WA,53067,11.9,10.9,64.60000000000001,0.0,12.1,11.9
2021-07-04,WA,53067,13.0,12.9,64.6,0.0,13.4,13.0
2021-07-11,WA,53067,15.1,14.9,64.0,0.0,15.1,15.1
2021-07-18,WA,53067,14.7,14.7,63.6,0.0,14.7,14.7
2021-07-25,WA,53067,27.1,26.3,63.1,0.0,27.1,27.1
2021-08-01,WA,53067,29.6,28.4,64.10000000000001,0.0,29.7,29.6
2021-08-08,WA,53067,48.7,47.0,69.9,0.0,48.7,48.7
2021-08-15,WA,53067,63.0,61.300000000000004,66.9,0.0,63.0,63.0
2021-08-22,WA,53067,79.9,79.1,74.0,0.0,80.1,79.9
2021-08-29,WA,53067,75.1,74.4,74.30000000000001,0.0,75.1,75.1
2021-09-05,WA,53067,77.0,75.6,71.3,0.0,77.3,77.0
2021-09-12,WA,53067,63.5,60.099999999999994,75.30000000000001,0.0,63.5,63.5
2021-09-19,WA,53067,57.599999999999994,55.0,72.0,0.0,57.7,57.599999999999994
2021-09-26,WA,53067,49.2,48.5,66.3,0.0,49.300000000000004,49.2
2021-10-03,WA,53067,40.1,39.5,63.2,0.0,40.1,40.1
2021-10-10,WA,53067,46.2,45.5,67.7,0.0,46.2,46.2
2021-10-17,WA,53067,49.6,48.6,69.3,0.0,49.6,49.6
2021-10-24,WA,53067,53.0,51.699999999999996,65.7,0.0,53.0,53.0
2021-10-31,WA,53067,53.3,51.0,69.5,0.0,53.3,53.3
2021-11-07,WA,53067,48.6,47.6,70.5,0.0,48.6,48.6
2021-11-14,WA,53067,35.2,35.0,72.10000000000001,0.0,35.3,35.2
2021-11-21,WA,53067,30.799999999999997,29.6,70.1,0.0,31.0,30.799999999999997
2021-11-28,WA,53067,36.2,34.7,70.9,0.0,36.2,36.2
2021-12-05,WA,53067,32.1,31.3,59.4,0.0,32.1,32.1
2021-12-12,WA,53067,29.6,29.299999999999997,69.7,0.0,29.6,29.6
2021-12-19,WA,53067,29.4,29.0,68.8,0.0,29.4,29.4
2021-12-26,WA,53067,45.1,44.3,70.3,0.0,45.1,45.1
