collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55063,13.2,10.5,18.9,0.0,13.2,13.2
2020-08-09,WI,55063,13.9,12.1,20.8,0,14.5,13.9
2020-08-16,WI,55063,15.5,13.2,21.6,0.0,15.5,15.5
2020-08-23,WI,55063,11.9,5.4,23.7,0.0,11.9,11.9
2020-08-30,WI,55063,10.3,0,23.9,0.0,10.5,10.3
2020-09-06,WI,55063,11.7,4.1,18.8,0.0,11.7,11.7
2020-09-13,WI,55063,15.0,11.1,21.5,0.0,15.0,15.0
2020-09-20,WI,55063,22.299999999999997,18.8,22.7,0.0,22.299999999999997,22.299999999999997
2020-09-27,WI,55063,29.1,25.3,32.0,0.0,29.1,29.1
2020-10-04,WI,55063,35.8,32.8,38.1,0.0,35.8,35.8
2020-10-11,WI,55063,32.4,29.799999999999997,34.2,0,33.0,32.4
2020-10-18,WI,55063,35.5,32.9,33.7,0.0,35.5,35.5
2020-10-25,WI,55063,44.8,42.1,35.0,0.0,44.8,44.8
2020-11-01,WI,55063,57.0,53.5,34.0,0.0,57.0,57.0
2020-11-08,WI,55063,66.1,63.9,34.1,0.0,66.6,66.1
2020-11-15,WI,55063,80.6,76.80000000000001,34.3,0.0,81.6,80.6
2020-11-22,WI,55063,81.7,79.8,35.3,0.0,82.1,81.7
2020-11-29,WI,55063,75.4,72.8,36.3,0,75.9,75.4
2020-12-06,WI,55063,49.4,46.099999999999994,30.799999999999997,0.0,49.699999999999996,49.4
2020-12-13,WI,55063,42.099999999999994,40.3,32.3,0.0,42.099999999999994,42.099999999999994
2020-12-20,WI,55063,31.8,28.6,31.299999999999997,0.0,32.099999999999994,31.8
2020-12-27,WI,55063,30.1,27.0,27.4,0.0,30.200000000000003,30.1
2021-01-03,WI,55063,38.3,35.0,24.4,0.0,38.4,38.3
2021-01-10,WI,55063,30.5,28.200000000000003,29.9,0.0,30.799999999999997,30.5
2021-01-17,WI,55063,23.799999999999997,21.4,30.9,0.0,23.9,23.799999999999997
2021-01-24,WI,55063,19.3,16.9,23.2,0.0,19.4,19.3
2021-01-31,WI,55063,20.1,16.5,25.4,0.0,20.299999999999997,20.1
2021-02-07,WI,55063,18.3,15.7,21.599999999999998,0.0,18.4,18.3
2021-02-14,WI,55063,13.7,12.600000000000001,20.7,0.0,13.7,13.7
2021-02-21,WI,55063,12.0,10.0,13.0,0.0,12.0,12.0
2021-02-28,WI,55063,7.6,7.4,11.0,0.0,7.6,7.6
2021-03-07,WI,55063,10.7,5.6,8.6,0.0,10.7,10.7
2021-03-14,WI,55063,5.4,5.3,14.0,0.0,5.4,5.4
2021-03-21,WI,55063,5.0,4.7,11.9,0.0,5.0,5.0
2021-03-28,WI,55063,0,0,9.3,0.0,0,0.0
2021-04-04,WI,55063,6.1,5.6,23.0,0.0,6.1,6.1
2021-04-11,WI,55063,0,0,14.700000000000001,0,0,0.0
2021-04-18,WI,55063,4.3,0,11.4,0.0,4.3,4.3
2021-04-25,WI,55063,5.3,5.1,13.299999999999999,0.0,5.6,5.3
2021-05-02,WI,55063,4.3,0,14.6,0.0,4.3,4.3
2021-05-09,WI,55063,6.0,4.6,16.0,0.0,6.0,6.0
2021-05-16,WI,55063,4.9,4.4,9.0,0.0,4.9,4.9
2021-05-23,WI,55063,6.4,5.6,14.5,0.0,10.4,6.4
2021-05-30,WI,55063,4.1,4.0,12.4,0.0,4.4,4.1
2021-06-06,WI,55063,5.0,4.7,19.0,0.0,5.0,5.0
2021-06-13,WI,55063,0,0,15.9,0.0,0,0.0
2021-06-20,WI,55063,0,0,20.6,0.0,0,0.0
2021-06-27,WI,55063,0,0,20.3,0.0,0,0.0
2021-07-04,WI,55063,0,0,17.1,0.0,0,0.0
2021-07-11,WI,55063,0,0,7.4,0.0,0,0.0
2021-07-18,WI,55063,0,0,17.3,0.0,0,0.0
2021-07-25,WI,55063,4.9,4.6,17.3,0.0,4.9,4.9
2021-08-01,WI,55063,7.9,7.4,18.5,0.0,9.4,7.9
2021-08-08,WI,55063,27.400000000000002,25.1,22.4,0.0,27.900000000000002,27.400000000000002
2021-08-15,WI,55063,29.5,26.900000000000002,20.9,0.0,29.6,29.5
2021-08-22,WI,55063,31.200000000000003,30.4,18.2,0.0,31.400000000000002,31.200000000000003
2021-08-29,WI,55063,39.0,38.0,20.0,0.0,39.2,39.0
2021-09-05,WI,55063,49.9,48.4,22.3,0,51.0,49.9
2021-09-12,WI,55063,44.3,42.2,20.0,0,44.599999999999994,44.3
2021-09-19,WI,55063,42.2,40.3,20.3,0.0,42.2,42.2
2021-09-26,WI,55063,41.3,40.1,18.7,0.0,41.4,41.3
2021-10-03,WI,55063,44.900000000000006,44.0,19.8,0.0,46.3,44.900000000000006
2021-10-10,WI,55063,44.5,43.9,24.3,0.0,44.800000000000004,44.5
2021-10-17,WI,55063,38.4,37.9,20.2,0.0,38.4,38.4
2021-10-24,WI,55063,38.599999999999994,37.599999999999994,20.7,0.0,38.8,38.599999999999994
2021-10-31,WI,55063,33.3,32.0,22.299999999999997,0.0,33.3,33.3
2021-11-07,WI,55063,39.7,38.6,21.5,0.0,40.0,39.7
2021-11-14,WI,55063,42.0,40.6,19.3,0.0,42.2,42.0
2021-11-21,WI,55063,52.3,49.400000000000006,20.7,0,54.1,52.3
2021-11-28,WI,55063,48.5,47.1,23.0,0.0,50.3,48.5
2021-12-05,WI,55063,52.099999999999994,50.4,26.3,0,54.8,52.099999999999994
2021-12-12,WI,55063,42.1,40.8,21.700000000000003,0,43.9,42.1
2021-12-19,WI,55063,51.3,50.900000000000006,21.6,0,51.9,51.3
2021-12-26,WI,55063,44.3,43.6,20.200000000000003,0,44.7,44.3
