collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55073,13.0,10.1,36.2,0.0,13.0,13.0
2020-08-09,WI,55073,14.7,12.9,34.6,0.0,14.7,14.7
2020-08-16,WI,55073,11.7,9.9,32.6,0.0,11.7,11.7
2020-08-23,WI,55073,9.4,7.1,30.1,0.0,9.4,9.4
2020-08-30,WI,55073,10.9,9.9,29.4,0.0,10.9,10.9
2020-09-06,WI,55073,15.1,12.4,41.0,0.0,15.1,15.1
2020-09-13,WI,55073,13.1,12.1,33.4,0.0,13.1,13.1
2020-09-20,WI,55073,25.5,24.7,35.7,0.0,25.5,25.5
2020-09-27,WI,55073,37.5,35.1,40.1,0.0,37.5,37.5
2020-10-04,WI,55073,43.0,40.199999999999996,26.0,0.0,43.9,43.0
2020-10-11,WI,55073,53.599999999999994,51.8,33.3,0.0,53.599999999999994,53.599999999999994
2020-10-18,WI,55073,58.300000000000004,57.9,37.0,0.0,58.5,58.300000000000004
2020-10-25,WI,55073,69.4,69.0,40.1,0.0,69.4,69.4
2020-11-01,WI,55073,74.1,70.39999999999999,38.9,0.0,74.1,74.1
2020-11-08,WI,55073,83.1,78.9,41.1,0.0,83.1,83.1
2020-11-15,WI,55073,80.9,74.8,39.7,0.0,80.9,80.9
2020-11-22,WI,55073,66.4,62.7,42.0,0.0,66.6,66.4
2020-11-29,WI,55073,62.6,61.5,40.4,0.0,62.7,62.6
2020-12-06,WI,55073,49.599999999999994,48.400000000000006,45.0,0.0,49.599999999999994,49.599999999999994
2020-12-13,WI,55073,57.7,57.5,39.1,0.0,57.7,57.7
2020-12-20,WI,55073,47.5,47.3,35.9,0.0,47.5,47.5
2020-12-27,WI,55073,27.700000000000003,27.3,37.7,0.0,27.700000000000003,27.700000000000003
2021-01-03,WI,55073,29.0,28.3,41.4,0.0,29.0,29.0
2021-01-10,WI,55073,28.3,27.7,40.1,0.0,28.4,28.3
2021-01-17,WI,55073,22.4,21.1,40.0,0.0,22.6,22.4
2021-01-24,WI,55073,17.9,17.0,40.1,0.0,17.9,17.9
2021-01-31,WI,55073,15.1,14.6,41.199999999999996,0.0,15.4,15.1
2021-02-07,WI,55073,15.1,14.7,36.4,0.0,15.1,15.1
2021-02-14,WI,55073,16.3,15.7,34.5,0.0,16.4,16.3
2021-02-21,WI,55073,9.6,8.9,33.6,0.0,9.6,9.6
2021-02-28,WI,55073,6.4,5.6,23.3,0.0,6.4,6.4
2021-03-07,WI,55073,5.3,0,25.4,0.0,5.3,5.3
2021-03-14,WI,55073,0,0,25.4,0.0,0,0.0
2021-03-21,WI,55073,0,0,23.0,0.0,0,0.0
2021-03-28,WI,55073,4.4,4.0,22.0,0.0,4.4,4.4
2021-04-04,WI,55073,7.7,7.3,28.6,0.0,7.7,7.7
2021-04-11,WI,55073,7.3,6.1,26.0,0.0,7.3,7.3
2021-04-18,WI,55073,12.3,11.0,28.299999999999997,0.0,12.3,12.3
2021-04-25,WI,55073,14.9,13.4,27.3,0.0,14.9,14.9
2021-05-02,WI,55073,8.9,8.1,28.6,0.0,8.9,8.9
2021-05-09,WI,55073,12.1,10.9,28.1,0.0,12.1,12.1
2021-05-16,WI,55073,16.3,14.7,35.5,0.0,16.3,16.3
2021-05-23,WI,55073,12.7,11.0,32.9,0.0,12.7,12.7
2021-05-30,WI,55073,9.9,7.6,25.9,0.0,9.9,9.9
2021-06-06,WI,55073,5.7,0.0,29.299999999999997,0.0,5.7,5.7
2021-06-13,WI,55073,0.0,0.0,24.1,0.0,0.0,0.0
2021-06-20,WI,55073,0.0,0.0,21.3,0.0,0.0,0.0
2021-06-27,WI,55073,0.0,0.0,28.6,0.0,0.0,0.0
2021-07-04,WI,55073,0,0,23.3,0.0,0,0.0
2021-07-11,WI,55073,0,0,27.6,0.0,0,0.0
