collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55089,17.7,7.7,43.6,0.0,17.7,17.7
2020-08-09,WI,55089,24.5,10.2,46.9,0.0,24.5,24.5
2020-08-16,WI,55089,19.3,12.0,48.2,0.0,19.3,19.3
2020-08-23,WI,55089,26.700000000000003,16.299999999999997,44.8,0.0,26.700000000000003,26.700000000000003
2020-08-30,WI,55089,19.0,11.0,42.3,0.0,19.0,19.0
2020-09-06,WI,55089,21.7,6.1,46.2,0.0,21.7,21.7
2020-09-13,WI,55089,21.7,10.0,45.7,0.0,21.7,21.7
2020-09-20,WI,55089,23.200000000000003,10.7,48.0,0.0,23.200000000000003,23.200000000000003
2020-09-27,WI,55089,24.1,11.4,49.9,0.0,24.1,24.1
2020-10-04,WI,55089,34.0,20.4,50.7,0.0,34.0,34.0
2020-10-11,WI,55089,37.7,24.0,49.9,0.0,37.7,37.7
2020-10-18,WI,55089,46.7,35.0,51.8,0.0,46.7,46.7
2020-10-25,WI,55089,50.7,41.3,48.7,0.0,50.7,50.7
2020-11-01,WI,55089,68.6,59.3,48.8,0.0,68.6,68.6
2020-11-08,WI,55089,86.0,78.7,49.3,0.0,86.0,86.0
2020-11-15,WI,55089,83.7,74.4,53.2,0.0,83.7,83.7
2020-11-22,WI,55089,62.400000000000006,56.3,50.3,0.0,62.400000000000006,62.400000000000006
2020-11-29,WI,55089,56.099999999999994,49.2,50.7,0.0,56.099999999999994,56.099999999999994
2020-12-06,WI,55089,58.1,47.7,49.2,0.0,58.1,58.1
2020-12-13,WI,55089,46.3,43.3,52.400000000000006,0.0,46.3,46.3
2020-12-20,WI,55089,32.6,31.5,37.0,0.0,32.6,32.6
2020-12-27,WI,55089,38.5,37.5,44.5,0.0,38.5,38.5
2021-01-03,WI,55089,47.2,45.3,46.7,0.0,47.2,47.2
2021-01-10,WI,55089,40.0,37.8,47.900000000000006,0.0,40.0,40.0
2021-01-17,WI,55089,27.7,26.0,47.5,0.0,27.7,27.7
