collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,WI,55097,4.6,4.3,0.0,0.0,4.6,4.6
2020-09-13,WI,55097,5.6,4.7,0.0,0.0,5.6,5.6
2020-09-20,WI,55097,9.3,9.1,0.0,0.0,9.3,9.3
2020-09-27,WI,55097,8.9,8.7,0.0,0.0,8.9,8.9
2020-10-04,WI,55097,14.0,13.7,0.0,0.0,14.1,14.0
2020-10-11,WI,55097,12.1,11.9,0.0,0.0,12.1,12.1
2020-10-18,WI,55097,12.9,12.7,0.0,0.0,12.9,12.9
2020-10-25,WI,55097,13.0,13.0,0.0,0.0,13.0,13.0
2020-11-01,WI,55097,14.0,13.7,0.0,0.0,14.0,14.0
2020-11-08,WI,55097,12.6,12.6,0.0,0.0,12.6,12.6
2020-11-15,WI,55097,14.1,13.6,0.0,0.0,14.1,14.1
2020-11-22,WI,55097,17.3,17.3,0.0,0.0,17.3,17.3
2020-11-29,WI,55097,12.4,12.3,0.0,0.0,12.6,12.4
2020-12-06,WI,55097,10.6,10.1,0.0,0.0,10.6,10.6
2020-12-13,WI,55097,4.0,0.0,0.0,0.0,4.0,4.0
2020-12-20,WI,55097,8.9,8.6,0.0,0.0,8.9,8.9
2020-12-27,WI,55097,6.1,5.4,0.0,0.0,6.1,6.1
2021-01-03,WI,55097,8.3,8.3,0.0,0.0,8.3,8.3
2021-01-10,WI,55097,7.1,7.0,0.0,0.0,7.1,7.1
2021-01-17,WI,55097,5.9,5.7,0.0,0.0,5.9,5.9
2021-01-24,WI,55097,5.3,4.6,0.0,0.0,5.3,5.3
2021-01-31,WI,55097,5.3,5.1,0.0,0.0,5.3,5.3
2021-02-07,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,WI,55097,4.4,4.3,0.0,0.0,4.4,4.4
2021-02-28,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,WI,55097,0.0,0.0,0.0,0.0,0.0,0.0
