collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55105,4.4,0.0,21.3,0.0,4.4,4.4
2020-08-09,WI,55105,0.0,0.0,16.6,0.0,0.0,0.0
2020-08-16,WI,55105,0.0,0.0,16.9,0.0,0.0,0.0
2020-08-23,WI,55105,4.4,4.1,17.9,0.0,4.4,4.4
2020-08-30,WI,55105,4.0,0.0,17.6,0.0,4.0,4.0
2020-09-06,WI,55105,5.1,5.1,17.5,0.0,5.1,5.1
2020-09-13,WI,55105,5.8,5.5,21.5,0.0,5.8,5.8
2020-09-20,WI,55105,9.9,8.7,21.4,0.0,9.9,9.9
2020-09-27,WI,55105,18.7,18.0,19.1,0.0,18.8,18.7
2020-10-04,WI,55105,25.4,23.700000000000003,23.2,0.0,25.4,25.4
2020-10-11,WI,55105,23.1,18.700000000000003,27.6,0.0,23.1,23.1
2020-10-18,WI,55105,31.8,31.4,34.5,0.0,33.9,31.8
2020-10-25,WI,55105,35.099999999999994,34.2,34.2,0.0,36.4,35.099999999999994
2020-11-01,WI,55105,42.2,39.6,36.0,0.0,42.2,42.2
2020-11-08,WI,55105,61.099999999999994,58.2,35.9,0.0,61.199999999999996,61.099999999999994
2020-11-15,WI,55105,69.8,67.6,33.900000000000006,0.0,70.19999999999999,69.8
2020-11-22,WI,55105,57.7,52.1,32.4,0.0,57.7,57.7
2020-11-29,WI,55105,49.5,47.5,34.3,0.0,49.7,49.5
2020-12-06,WI,55105,41.0,38.300000000000004,31.4,0.0,41.0,41.0
2020-12-13,WI,55105,42.7,41.1,36.1,0.0,43.0,42.7
2020-12-20,WI,55105,33.099999999999994,33.0,32.1,0.0,33.099999999999994,33.099999999999994
2020-12-27,WI,55105,25.5,25.1,26.4,0.0,25.5,25.5
2021-01-03,WI,55105,28.3,23.3,23.5,0.0,28.3,28.3
2021-01-10,WI,55105,35.5,33.5,36.9,0.0,35.5,35.5
2021-01-17,WI,55105,31.0,30.5,28.4,0.0,31.0,31.0
2021-01-24,WI,55105,27.0,26.5,24.6,0.0,27.0,27.0
2021-01-31,WI,55105,22.3,21.799999999999997,31.1,0.0,22.3,22.3
2021-02-07,WI,55105,19.9,19.9,29.700000000000003,0.0,20.0,19.9
2021-02-14,WI,55105,12.7,12.0,26.0,0.0,12.8,12.7
2021-02-21,WI,55105,4.0,4.0,22.5,0.0,4.0,4.0
2021-02-28,WI,55105,0.0,0.0,18.799999999999997,0.0,0.0,0.0
2021-03-07,WI,55105,0.0,0.0,17.3,0.0,0.0,0.0
2021-03-14,WI,55105,0.0,0.0,15.8,0.0,4.0,0.0
2021-03-21,WI,55105,0.0,0.0,16.9,0.0,0.0,0.0
2021-03-28,WI,55105,0.0,0.0,14.299999999999999,0.0,0.0,0.0
2021-04-04,WI,55105,5.1,5.1,20.4,0.0,5.1,5.1
2021-04-11,WI,55105,10.3,10.3,18.1,0.0,10.3,10.3
2021-04-18,WI,55105,5.3,5.3,20.0,0.0,5.3,5.3
2021-04-25,WI,55105,14.4,14.4,26.4,0.0,14.4,14.4
2021-05-02,WI,55105,21.9,21.9,28.0,0.0,21.9,21.9
2021-05-09,WI,55105,10.3,10.3,22.799999999999997,0.0,10.3,10.3
2021-05-16,WI,55105,9.7,9.7,20.6,0.0,9.7,9.7
2021-05-23,WI,55105,5.9,5.9,20.4,0.0,5.9,5.9
2021-05-30,WI,55105,5.1,5.1,20.1,0.0,5.1,5.1
2021-06-06,WI,55105,0.0,0.0,19.299999999999997,0.0,0.0,0.0
2021-06-13,WI,55105,0.0,0.0,18.5,0.0,0.0,0.0
2021-06-20,WI,55105,0.0,0.0,17.6,0.0,0.0,0.0
2021-06-27,WI,55105,0.0,0.0,18.5,0.0,0.0,0.0
2021-07-04,WI,55105,0.0,0.0,12.0,0.0,0.0,0.0
2021-07-11,WI,55105,0.0,0.0,17.0,0.0,0.0,0.0
2021-07-18,WI,55105,0.0,0.0,17.4,0.0,0.0,0.0
2021-07-25,WI,55105,5.1,5.1,18.1,0.0,5.1,5.1
2021-08-01,WI,55105,6.3,6.3,21.3,0.0,6.3,6.3
2021-08-08,WI,55105,10.0,9.9,19.5,0.0,10.0,10.0
2021-08-15,WI,55105,8.7,8.7,19.9,0.0,8.7,8.7
2021-08-22,WI,55105,23.3,23.0,23.3,0.0,23.5,23.3
2021-08-29,WI,55105,14.9,14.9,27.0,0.0,14.9,14.9
2021-09-05,WI,55105,23.1,18.7,27.6,0.0,23.4,23.1
2021-09-12,WI,55105,17.4,17.4,24.700000000000003,0.0,17.4,17.4
2021-09-19,WI,55105,14.6,14.6,20.8,0.0,14.6,14.6
2021-09-26,WI,55105,8.3,8.3,18.5,0.0,8.3,8.3
2021-10-03,WI,55105,17.3,17.3,24.5,0.0,17.3,17.3
2021-10-10,WI,55105,22.0,22.0,26.5,0.0,22.0,22.0
2021-10-17,WI,55105,20.6,20.1,23.5,0.0,20.700000000000003,20.6
2021-10-24,WI,55105,18.4,17.9,20.4,0.0,18.9,18.4
2021-10-31,WI,55105,23.1,22.3,21.0,0.0,23.7,23.1
2021-11-07,WI,55105,21.5,20.799999999999997,22.9,0.0,22.799999999999997,21.5
2021-11-14,WI,55105,26.3,26.1,25.8,0.0,26.8,26.3
2021-11-21,WI,55105,32.2,31.0,25.0,0.0,32.3,32.2
2021-11-28,WI,55105,45.4,45.099999999999994,23.6,0.0,45.8,45.4
2021-12-05,WI,55105,63.3,62.6,27.4,0.0,63.49999999999999,63.3
2021-12-12,WI,55105,61.300000000000004,60.4,27.4,0.0,61.6,61.300000000000004
2021-12-19,WI,55105,53.900000000000006,53.2,28.4,0.0,53.900000000000006,53.900000000000006
2021-12-26,WI,55105,57.1,56.099999999999994,26.299999999999997,0.0,57.8,57.1
