collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55117,9.4,0,0,0.0,9.4,9.4
2020-08-09,WI,55117,16.7,6.0,0,0.0,16.7,16.7
2020-08-16,WI,55117,14.3,6.3,4.7,0.0,14.3,14.3
2020-08-23,WI,55117,11.9,5.3,4.9,0.0,11.9,11.9
2020-08-30,WI,55117,11.0,4.6,0,0.0,11.0,11.0
2020-09-06,WI,55117,20.0,8.7,5.1,0.0,20.0,20.0
2020-09-13,WI,55117,12.799999999999999,5.4,4.9,0.0,12.799999999999999,12.799999999999999
2020-09-20,WI,55117,18.5,11.2,4.7,0.0,18.5,18.5
2020-09-27,WI,55117,15.8,9.0,4.4,0.0,15.8,15.8
2020-10-04,WI,55117,25.4,12.7,0,0.0,25.4,25.4
2020-10-11,WI,55117,33.699999999999996,16.4,9.4,0.0,33.699999999999996,33.699999999999996
2020-10-18,WI,55117,33.1,25.6,11.0,0.0,33.1,33.1
2020-10-25,WI,55117,31.2,25.700000000000003,8.0,0.0,31.299999999999997,31.2
2020-11-01,WI,55117,40.3,34.5,12.7,0.0,40.5,40.3
2020-11-08,WI,55117,38.9,35.3,10.7,0.0,38.9,38.9
2020-11-15,WI,55117,37.1,32.6,13.0,0.0,37.1,37.1
2020-11-22,WI,55117,26.9,24.1,11.2,0.0,26.9,26.9
2020-11-29,WI,55117,31.4,28.9,4.4,0.0,31.4,31.4
2020-12-06,WI,55117,22.1,21.1,4.1,0.0,22.1,22.1
2020-12-13,WI,55117,19.3,18.8,0,0.0,19.3,19.3
2020-12-20,WI,55117,16.7,16.1,4.3,0.0,16.7,16.7
2020-12-27,WI,55117,21.200000000000003,20.299999999999997,5.4,0.0,21.200000000000003,21.200000000000003
2021-01-03,WI,55117,19.5,18.5,6.1,0.0,19.5,19.5
