collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55131,0,0,4.7,0.0,0,0.0
2020-08-09,WI,55131,12.0,7.3,4.9,0.0,12.0,12.0
2020-08-16,WI,55131,9.9,9.9,5.3,0.0,9.9,9.9
2020-08-23,WI,55131,4.3,4.1,0,0.0,4.3,4.3
2020-08-30,WI,55131,0,0,4.9,0.0,0,0.0
2020-09-06,WI,55131,4.9,0,0,0.0,4.9,4.9
2020-09-13,WI,55131,7.4,0,4.1,0.0,7.4,7.4
2020-09-20,WI,55131,7.3,0,4.1,0.0,7.3,7.3
2020-09-27,WI,55131,13.1,6.6,4.4,0.0,13.1,13.1
2020-10-04,WI,55131,17.6,10.1,8.7,0.0,17.6,17.6
2020-10-11,WI,55131,20.7,14.4,10.0,0.0,20.7,20.7
2020-10-18,WI,55131,20.6,15.6,5.6,0.0,20.6,20.6
2020-10-25,WI,55131,25.6,24.0,4.3,0.0,25.6,25.6
2020-11-01,WI,55131,37.9,36.7,9.7,0.0,37.9,37.9
2020-11-08,WI,55131,38.5,38.0,5.7,0.0,38.5,38.5
2020-11-15,WI,55131,33.0,32.0,9.7,0.0,33.0,33.0
2020-11-22,WI,55131,31.799999999999997,31.1,9.3,0.0,31.799999999999997,31.799999999999997
2020-11-29,WI,55131,24.200000000000003,23.7,0,0.0,24.200000000000003,24.200000000000003
2020-12-06,WI,55131,28.0,27.200000000000003,4.3,0.0,28.0,28.0
2020-12-13,WI,55131,26.5,26.200000000000003,5.1,0.0,26.5,26.5
2020-12-20,WI,55131,23.7,23.3,4.9,0.0,23.7,23.7
2020-12-27,WI,55131,30.6,30.6,5.3,0.0,30.6,30.6
2021-01-03,WI,55131,19.9,19.7,5.1,0.0,19.9,19.9
2021-01-10,WI,55131,21.8,21.8,0,0.0,21.8,21.8
2021-01-17,WI,55131,15.5,15.4,8.6,0.0,15.5,15.5
2021-01-24,WI,55131,8.9,8.7,4.1,0.0,8.9,8.9
2021-01-31,WI,55131,7.1,7.1,0,0.0,7.1,7.1
2021-02-07,WI,55131,5.0,4.9,0,0.0,5.0,5.0
2021-02-14,WI,55131,5.0,4.9,0,0.0,5.0,5.0
2021-02-21,WI,55131,0,0,5.0,0.0,0,0.0
2021-02-28,WI,55131,4.0,0,0,0.0,4.0,4.0
2021-03-07,WI,55131,0,0,0,0.0,0,0.0
2021-03-14,WI,55131,5.4,5.1,4.0,0.0,5.4,5.4
2021-03-21,WI,55131,4.0,0.0,0,0.0,4.0,4.0
2021-03-28,WI,55131,0,0,0,0.0,0,0.0
2021-04-04,WI,55131,0,0,0,0.0,0,0.0
2021-04-11,WI,55131,0,0,8.3,0.0,0,0.0
2021-04-18,WI,55131,0,0,0,0.0,0,0.0
2021-04-25,WI,55131,0,0,0,0.0,0,0.0
2021-05-02,WI,55131,4.4,4.1,0,0.0,4.4,4.4
2021-05-09,WI,55131,0,0,0,0.0,0,0.0
2021-05-16,WI,55131,0,0,0,0.0,0,0.0
2021-05-23,WI,55131,0,0,4.3,0.0,0,0.0
2021-05-30,WI,55131,0.0,0.0,4.1,0.0,0.0,0.0
2021-06-06,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-06-13,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-06-20,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-06-27,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-07-04,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-07-11,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,WI,55131,0.0,0.0,0,0.0,0.0,0.0
2021-07-25,WI,55131,4.9,4.3,4.3,0.0,4.9,4.9
2021-08-01,WI,55131,6.6,6.4,4.4,0.0,6.6,6.6
2021-08-08,WI,55131,9.6,9.4,4.4,0.0,9.6,9.6
2021-08-15,WI,55131,7.0,7.0,0,0.0,7.0,7.0
2021-08-22,WI,55131,10.9,10.7,4.0,0.0,10.9,10.9
2021-08-29,WI,55131,21.7,21.2,9.0,0.0,21.7,21.7
2021-09-05,WI,55131,26.2,25.7,10.0,0.0,26.2,26.2
2021-09-12,WI,55131,21.6,21.1,5.7,0.0,21.6,21.6
2021-09-19,WI,55131,14.3,14.1,5.7,0.0,14.3,14.3
2021-09-26,WI,55131,23.6,23.299999999999997,5.7,0.0,23.6,23.6
2021-10-03,WI,55131,28.3,27.3,5.7,0.0,28.3,28.3
2021-10-10,WI,55131,35.5,35.3,9.8,0.0,35.5,35.5
2021-10-17,WI,55131,27.6,27.6,8.5,0.0,27.6,27.6
2021-10-24,WI,55131,24.5,24.0,9.2,0.0,24.5,24.5
2021-10-31,WI,55131,30.4,30.4,5.6,0.0,30.4,30.4
2021-11-07,WI,55131,24.6,23.9,6.0,0.0,24.6,24.6
2021-11-14,WI,55131,24.0,24.0,9.5,0.0,24.0,24.0
2021-11-21,WI,55131,26.200000000000003,25.799999999999997,5.6,0.0,26.200000000000003,26.200000000000003
2021-11-28,WI,55131,29.0,29.0,9.899999999999999,0.0,29.0,29.0
2021-12-05,WI,55131,27.299999999999997,27.1,5.4,0.0,27.299999999999997,27.299999999999997
2021-12-12,WI,55131,34.599999999999994,33.8,11.1,0.0,34.599999999999994,34.599999999999994
2021-12-19,WI,55131,33.3,33.3,10.0,0.0,33.3,33.3
2021-12-26,WI,55131,30.299999999999997,29.799999999999997,4.9,0.0,30.299999999999997,30.299999999999997
