collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55133,39.900000000000006,30.4,34.2,0.0,39.900000000000006,39.900000000000006
2020-08-09,WI,55133,55.60000000000001,33.0,38.8,0.0,55.60000000000001,55.60000000000001
2020-08-16,WI,55133,52.400000000000006,33.5,43.699999999999996,0.0,52.400000000000006,52.400000000000006
2020-08-23,WI,55133,43.1,33.6,38.699999999999996,0.0,43.1,43.1
2020-08-30,WI,55133,28.599999999999998,18.9,42.0,0.0,28.599999999999998,28.599999999999998
2020-09-06,WI,55133,30.5,21.799999999999997,43.5,0.0,30.5,30.5
2020-09-13,WI,55133,25.599999999999998,20.0,44.5,0.0,25.599999999999998,25.599999999999998
2020-09-20,WI,55133,37.8,19.6,48.0,0.0,37.8,37.8
2020-09-27,WI,55133,35.5,18.4,45.4,0.0,35.5,35.5
2020-10-04,WI,55133,57.300000000000004,43.5,47.3,0.0,57.300000000000004,57.300000000000004
2020-10-11,WI,55133,84.2,65.5,46.099999999999994,0.0,84.2,84.2
2020-10-18,WI,55133,97.1,79.4,48.8,0.0,97.1,97.1
2020-10-25,WI,55133,112.4,97.1,53.2,0.0,112.4,112.4
2020-11-01,WI,55133,135.60000000000002,120.70000000000002,56.599999999999994,0.0,135.60000000000002,135.60000000000002
2020-11-08,WI,55133,147.5,133.2,58.8,0.0,147.5,147.5
2020-11-15,WI,55133,165.3,150.1,68.1,0.0,165.3,165.3
2020-11-22,WI,55133,161.4,151.0,67.0,0.0,161.6,161.4
2020-11-29,WI,55133,161.4,152.7,72.0,0.0,161.4,161.4
2020-12-06,WI,55133,150.1,141.5,71.9,0.0,150.1,150.1
2020-12-13,WI,55133,103.1,95.5,61.1,0.0,103.1,103.1
2020-12-20,WI,55133,86.2,81.39999999999999,54.900000000000006,0.0,86.2,86.2
2020-12-27,WI,55133,90.7,86.60000000000001,57.3,0.0,90.7,90.7
2021-01-03,WI,55133,96.80000000000001,91.9,61.7,0.0,96.80000000000001,96.80000000000001
2021-01-10,WI,55133,93.3,87.60000000000001,53.2,0.0,93.3,93.3
2021-01-17,WI,55133,92.1,88.3,53.800000000000004,0.0,92.1,92.1
2021-01-24,WI,55133,62.0,57.7,50.8,0.0,62.0,62.0
2021-01-31,WI,55133,56.2,51.5,48.199999999999996,0.0,56.2,56.2
2021-02-07,WI,55133,43.99999999999999,37.4,45.5,0.0,43.99999999999999,43.99999999999999
2021-02-14,WI,55133,31.900000000000002,29.799999999999997,47.4,0.0,31.900000000000002,31.900000000000002
2021-02-21,WI,55133,21.8,19.6,50.10000000000001,0.0,21.8,21.8
2021-02-28,WI,55133,11.0,10.7,38.5,0.0,11.0,11.0
2021-03-07,WI,55133,9.3,8.1,44.9,0.0,9.3,9.3
2021-03-14,WI,55133,11.1,10.1,49.8,0.0,11.1,11.1
2021-03-21,WI,55133,32.199999999999996,29.6,50.9,0.0,32.199999999999996,32.199999999999996
2021-03-28,WI,55133,34.5,32.599999999999994,43.5,0.0,34.5,34.5
2021-04-04,WI,55133,35.5,32.3,54.4,0.0,35.5,35.5
2021-04-11,WI,55133,23.1,20.9,39.699999999999996,0.0,23.1,23.1
