collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WI,55141,6.5,5.7,21.2,0.0,6.5,6.5
2020-08-09,WI,55141,5.0,5.0,21.3,0.0,5.0,5.0
2020-08-16,WI,55141,10.7,5.0,21.9,0.0,10.8,10.7
2020-08-23,WI,55141,6.6,6.6,20.3,0.0,6.6,6.6
2020-08-30,WI,55141,10.0,6.0,20.7,0.0,10.0,10.0
2020-09-06,WI,55141,5.0,4.8,27.7,0.0,5.0,5.0
2020-09-13,WI,55141,6.3,4.1,26.200000000000003,0.0,6.3,6.3
2020-09-20,WI,55141,18.7,17.0,23.6,0.0,18.7,18.7
2020-09-27,WI,55141,23.299999999999997,18.9,25.0,0,23.7,23.299999999999997
2020-10-04,WI,55141,21.9,21.9,27.0,0.0,22.9,21.9
2020-10-11,WI,55141,19.7,19.7,27.4,0.0,20.4,19.7
2020-10-18,WI,55141,23.900000000000002,23.700000000000003,23.4,0.0,25.3,23.900000000000002
2020-10-25,WI,55141,37.8,37.3,24.8,0.0,37.8,37.8
2020-11-01,WI,55141,54.4,54.0,26.0,0.0,55.4,54.4
2020-11-08,WI,55141,74.2,73.9,29.7,0.0,74.6,74.2
2020-11-15,WI,55141,72.3,70.7,30.0,0.0,72.9,72.3
2020-11-22,WI,55141,62.199999999999996,61.4,30.1,0.0,63.3,62.199999999999996
2020-11-29,WI,55141,52.6,52.6,28.7,0.0,54.0,52.6
2020-12-06,WI,55141,43.699999999999996,43.1,27.0,0.0,44.599999999999994,43.699999999999996
2020-12-13,WI,55141,46.9,45.0,24.2,0.0,49.3,46.9
2020-12-20,WI,55141,50.1,49.3,19.0,0.0,51.1,50.1
2020-12-27,WI,55141,35.4,34.3,27.700000000000003,0.0,37.0,35.4
2021-01-03,WI,55141,30.799999999999997,29.5,25.799999999999997,0.0,31.9,30.799999999999997
2021-01-10,WI,55141,21.299999999999997,16.9,22.6,0.0,21.5,21.299999999999997
2021-01-17,WI,55141,19.4,18.2,18.7,0.0,19.7,19.4
2021-01-24,WI,55141,24.799999999999997,24.7,18.9,0.0,24.799999999999997,24.799999999999997
2021-01-31,WI,55141,19.4,19.3,26.5,0.0,20.4,19.4
2021-02-07,WI,55141,18.4,18.4,24.5,0.0,19.4,18.4
2021-02-14,WI,55141,15.6,15.6,21.900000000000002,0.0,16.0,15.6
2021-02-21,WI,55141,9.4,9.4,19.3,0.0,12.3,9.4
2021-02-28,WI,55141,6.1,6.1,22.400000000000002,0.0,6.3,6.1
2021-03-07,WI,55141,5.7,5.7,19.6,0.0,5.7,5.7
2021-03-14,WI,55141,4.4,4.4,22.4,0.0,4.4,4.4
2021-03-21,WI,55141,0,0,23.700000000000003,0.0,0,0.0
2021-03-28,WI,55141,0,0,15.3,0.0,0,0.0
2021-04-04,WI,55141,0,0,22.4,0.0,0,0.0
2021-04-11,WI,55141,0,0,26.5,0.0,0,0.0
2021-04-18,WI,55141,0,0,20.6,0.0,4.0,0.0
2021-04-25,WI,55141,5.4,4.6,24.5,0.0,5.4,5.4
2021-05-02,WI,55141,4.1,4.1,24.299999999999997,0.0,4.1,4.1
2021-05-09,WI,55141,5.0,5.0,17.9,0.0,5.0,5.0
2021-05-16,WI,55141,4.0,4.0,24.9,0.0,4.0,4.0
2021-05-23,WI,55141,8.7,8.7,24.099999999999998,0.0,8.7,8.7
2021-05-30,WI,55141,4.1,0,26.0,0.0,4.1,4.1
2021-06-06,WI,55141,0,0,23.299999999999997,0.0,0,0.0
2021-06-13,WI,55141,0,0,22.4,0.0,0,0.0
2021-06-20,WI,55141,0,0,21.900000000000002,0.0,0,0.0
2021-06-27,WI,55141,0,0,22.9,0.0,0,0.0
2021-07-04,WI,55141,0,0,23.5,0.0,0,0.0
2021-07-11,WI,55141,0,0,26.9,0.0,0,0.0
2021-07-18,WI,55141,0,0,22.3,0.0,0,0.0
2021-07-25,WI,55141,6.5,6.5,30.6,0.0,6.5,6.5
2021-08-01,WI,55141,7.1,6.0,28.0,0.0,7.1,7.1
2021-08-08,WI,55141,10.9,10.9,26.900000000000002,0.0,10.9,10.9
2021-08-15,WI,55141,12.7,12.7,26.900000000000002,0.0,12.9,12.7
2021-08-22,WI,55141,23.0,19.0,28.200000000000003,0.0,23.6,23.0
2021-08-29,WI,55141,25.1,25.1,25.299999999999997,0.0,26.0,25.1
2021-09-05,WI,55141,39.3,39.0,24.299999999999997,0.0,41.0,39.3
2021-09-12,WI,55141,40.1,40.1,26.7,0.0,41.800000000000004,40.1
2021-09-19,WI,55141,49.6,49.6,32.7,0.0,51.6,49.6
2021-09-26,WI,55141,53.0,51.5,31.700000000000003,0.0,55.5,53.0
2021-10-03,WI,55141,51.0,50.0,30.099999999999998,0.0,51.9,51.0
2021-10-10,WI,55141,47.6,47.6,30.400000000000002,0.0,48.6,47.6
2021-10-17,WI,55141,48.4,48.1,30.5,0.0,49.7,48.4
2021-10-24,WI,55141,36.3,36.3,31.0,0.0,37.699999999999996,36.3
2021-10-31,WI,55141,36.2,36.2,32.3,0.0,37.6,36.2
2021-11-07,WI,55141,43.0,43.0,33.3,0.0,43.8,43.0
2021-11-14,WI,55141,50.300000000000004,50.300000000000004,29.6,0.0,51.300000000000004,50.300000000000004
2021-11-21,WI,55141,52.4,52.1,34.2,0.0,53.7,52.4
2021-11-28,WI,55141,62.8,61.9,34.4,0.0,63.6,62.8
2021-12-05,WI,55141,66.6,66.6,34.5,0.0,67.8,66.6
2021-12-12,WI,55141,69.4,69.1,33.9,0.0,70.7,69.4
2021-12-19,WI,55141,67.7,65.3,32.0,0.0,69.0,67.7
2021-12-26,WI,55141,55.0,54.3,27.200000000000003,0.0,56.5,55.0
