collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54003,0,0,10.6,0.0,0,0.0
2020-08-09,WV,54003,0,0,11.1,0.0,0,0.0
2020-08-16,WV,54003,0,0,13.3,0.0,0,0.0
2020-08-23,WV,54003,0,0,12.6,0.0,0,0.0
2020-08-30,WV,54003,0,0,12.7,0.0,0,0.0
2020-09-06,WV,54003,0,0,10.6,0.0,0,0.0
2020-09-13,WV,54003,0,0,11.9,0.0,0,0.0
2020-09-20,WV,54003,0,0,13.6,0.0,0,0.0
2020-09-27,WV,54003,0,0,14.4,0.0,0,0.0
2020-10-04,WV,54003,8.6,8.6,14.3,0,9.1,8.6
2020-10-11,WV,54003,10.9,10.9,13.6,0,11.1,10.9
2020-10-18,WV,54003,8.4,8.4,12.6,0.0,8.4,8.4
2020-10-25,WV,54003,12.3,12.3,14.0,0.0,12.3,12.3
2020-11-01,WV,54003,17.6,17.6,15.0,0.0,17.6,17.6
2020-11-08,WV,54003,19.6,19.6,12.9,0.0,19.6,19.6
2020-11-15,WV,54003,20.1,20.1,17.0,0.0,20.1,20.1
2020-11-22,WV,54003,25.6,25.6,17.9,0,25.9,25.6
2020-11-29,WV,54003,29.1,29.0,16.7,0.0,29.1,29.1
2020-12-06,WV,54003,30.1,29.7,16.6,0.0,30.1,30.1
2020-12-13,WV,54003,36.9,36.9,17.7,0.0,36.9,36.9
2020-12-20,WV,54003,35.6,35.6,16.6,0,35.9,35.6
2020-12-27,WV,54003,41.4,41.4,16.9,0.0,41.4,41.4
2021-01-03,WV,54003,49.0,48.0,16.9,0.0,49.0,49.0
2021-01-10,WV,54003,53.3,53.3,16.9,0.0,53.3,53.3
2021-01-17,WV,54003,48.7,48.7,17.4,0,49.0,48.7
2021-01-24,WV,54003,37.3,37.3,17.1,0.0,37.3,37.3
2021-01-31,WV,54003,26.6,26.6,17.1,0.0,26.6,26.6
2021-02-07,WV,54003,26.0,26.0,14.1,0.0,26.0,26.0
2021-02-14,WV,54003,19.3,19.3,14.4,0,19.4,19.3
2021-02-21,WV,54003,13.0,13.0,16.3,0.0,13.0,13.0
2021-02-28,WV,54003,7.0,7.0,12.0,0.0,7.0,7.0
2021-03-07,WV,54003,11.1,11.1,12.9,0.0,11.1,11.1
2021-03-14,WV,54003,15.1,15.1,14.4,0.0,15.1,15.1
2021-03-21,WV,54003,17.4,17.4,15.4,0.0,17.4,17.4
2021-03-28,WV,54003,25.9,25.9,16.1,0.0,25.9,25.9
2021-04-04,WV,54003,26.4,26.4,16.0,0.0,26.4,26.4
2021-04-11,WV,54003,27.0,27.0,16.6,0.0,27.0,27.0
2021-04-18,WV,54003,25.6,25.6,14.3,0.0,25.6,25.6
2021-04-25,WV,54003,21.1,21.1,15.4,0.0,21.1,21.1
2021-05-02,WV,54003,20.7,20.7,16.1,0.0,20.7,20.7
2021-05-09,WV,54003,16.1,16.1,14.1,0.0,16.1,16.1
2021-05-16,WV,54003,14.9,14.9,14.3,0,15.0,14.9
2021-05-23,WV,54003,16.7,16.7,15.0,0,16.9,16.7
2021-05-30,WV,54003,10.0,10.0,11.0,0.0,10.0,10.0
2021-06-06,WV,54003,10.3,10.3,12.3,0.0,10.3,10.3
2021-06-13,WV,54003,9.1,9.1,11.7,0.0,9.1,9.1
2021-06-20,WV,54003,7.0,7.0,9.7,0,7.1,7.0
2021-06-27,WV,54003,4.6,4.6,10.6,0.0,4.6,4.6
2021-07-04,WV,54003,6.7,6.4,12.7,0.0,6.7,6.7
