collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54025,0,0.0,6.4,0.0,0,0.0
2020-08-09,WV,54025,0,0,7.0,0.0,0,0.0
2020-08-16,WV,54025,0,0,7.9,0.0,0,0.0
2020-08-23,WV,54025,0,0,5.9,0.0,0,0.0
2020-08-30,WV,54025,5.4,0,6.3,0.0,5.4,5.4
2020-09-06,WV,54025,0,0,4.4,0.0,0,0.0
2020-09-13,WV,54025,0,0,6.7,0.0,0,0.0
2020-09-20,WV,54025,0,0,6.4,0.0,0,0.0
2020-09-27,WV,54025,0,0,7.4,0,0,0.0
2020-10-04,WV,54025,0,0,7.9,0.0,0,0.0
2020-10-11,WV,54025,0,0.0,6.9,0.0,0,0.0
2020-10-18,WV,54025,0,0,6.1,0.0,0,0.0
2020-10-25,WV,54025,0,0,8.9,0.0,0,0.0
2020-11-01,WV,54025,0,0,8.7,0.0,0,0.0
2020-11-08,WV,54025,4.4,4.4,8.6,0.0,4.4,4.4
2020-11-15,WV,54025,10.9,10.9,5.6,0.0,10.9,10.9
2020-11-22,WV,54025,10.0,10.0,7.7,0.0,10.0,10.0
2020-11-29,WV,54025,11.9,11.9,9.3,0.0,11.9,11.9
2020-12-06,WV,54025,13.0,13.0,8.4,0.0,13.0,13.0
2020-12-13,WV,54025,15.6,15.6,8.3,0.0,15.6,15.6
2020-12-20,WV,54025,14.7,14.7,8.7,0.0,14.7,14.7
2020-12-27,WV,54025,13.0,13.0,9.0,0.0,13.0,13.0
2021-01-03,WV,54025,17.7,17.7,9.6,0.0,17.7,17.7
2021-01-10,WV,54025,14.1,14.1,9.6,0.0,14.1,14.1
2021-01-17,WV,54025,11.1,11.1,9.1,0.0,11.1,11.1
2021-01-24,WV,54025,13.6,13.6,9.1,0.0,13.6,13.6
2021-01-31,WV,54025,10.3,10.3,8.7,0.0,10.3,10.3
2021-02-07,WV,54025,6.0,6.0,7.9,0.0,6.0,6.0
2021-02-14,WV,54025,0,0,7.7,0.0,0,0.0
2021-02-21,WV,54025,0,0,8.3,0.0,0,0.0
2021-02-28,WV,54025,0.0,0.0,6.9,0.0,0.0,0.0
2021-03-07,WV,54025,0,0,8.0,0,0,0.0
2021-03-14,WV,54025,0,0,9.1,0.0,0,0.0
2021-03-21,WV,54025,0,0,6.4,0.0,0,0.0
2021-03-28,WV,54025,0,0,5.1,0.0,0,0.0
2021-04-04,WV,54025,0,0,8.3,0.0,0,0.0
2021-04-11,WV,54025,0,0,7.7,0.0,0,0.0
2021-04-18,WV,54025,0,0,7.4,0.0,0,0.0
2021-04-25,WV,54025,0,0,9.4,0.0,0,0.0
2021-05-02,WV,54025,5.1,5.1,9.3,0.0,5.1,5.1
2021-05-09,WV,54025,5.9,5.9,9.1,0.0,5.9,5.9
2021-05-16,WV,54025,7.4,7.0,9.6,0.0,7.4,7.4
2021-05-23,WV,54025,0,0,8.1,0.0,0,0.0
2021-05-30,WV,54025,0,0,8.0,0.0,0,0.0
2021-06-06,WV,54025,0,0,8.7,0.0,0,0.0
2021-06-13,WV,54025,0.0,0.0,5.9,0.0,0.0,0.0
2021-06-20,WV,54025,0,0,5.4,0.0,0,0.0
2021-06-27,WV,54025,0,0,8.0,0,0,0.0
2021-07-04,WV,54025,0,0,6.7,0.0,0,0.0
2021-07-11,WV,54025,0,0,8.1,0.0,0,0.0
2021-07-18,WV,54025,0,0,9.0,0.0,0,0.0
2021-07-25,WV,54025,0,0,7.1,0.0,0,0.0
2021-08-01,WV,54025,0.0,0.0,5.3,0.0,0.0,0.0
2021-08-08,WV,54025,0,0,8.7,0.0,0,0.0
2021-08-15,WV,54025,0,0,8.7,0.0,0,0.0
2021-08-22,WV,54025,7.1,7.1,8.3,0.0,7.1,7.1
2021-08-29,WV,54025,13.7,13.7,10.1,0.0,13.7,13.7
2021-09-05,WV,54025,18.0,18.0,12.0,0.0,18.0,18.0
2021-09-12,WV,54025,20.9,20.9,14.1,0.0,20.9,20.9
2021-09-19,WV,54025,20.1,20.1,15.3,0.0,20.1,20.1
2021-09-26,WV,54025,18.0,18.0,11.0,0.0,18.0,18.0
2021-10-03,WV,54025,18.1,18.1,11.0,0.0,18.1,18.1
2021-10-10,WV,54025,13.6,13.6,11.9,0.0,13.6,13.6
2021-10-17,WV,54025,10.3,10.3,11.3,0.0,10.3,10.3
2021-10-24,WV,54025,7.7,7.7,11.1,0.0,7.7,7.7
2021-10-31,WV,54025,10.3,10.3,11.7,0.0,10.3,10.3
2021-11-07,WV,54025,9.1,9.1,11.3,0.0,9.1,9.1
2021-11-14,WV,54025,10.9,10.9,12.0,0.0,10.9,10.9
2021-11-21,WV,54025,8.4,8.4,7.6,0.0,8.4,8.4
2021-11-28,WV,54025,11.9,11.9,11.9,0.0,11.9,11.9
2021-12-05,WV,54025,10.1,10.1,11.9,0.0,10.1,10.1
2021-12-12,WV,54025,12.0,12.0,11.6,0.0,12.0,12.0
2021-12-19,WV,54025,14.0,14.0,11.0,0.0,14.0,14.0
2021-12-26,WV,54025,16.7,16.7,11.0,0.0,16.7,16.7
