collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54033,0,0,16.3,0.0,0,0.0
2020-08-09,WV,54033,0,0,18.6,0.0,0,0.0
2020-08-16,WV,54033,0,0,15.9,0.0,0,0.0
2020-08-23,WV,54033,5.7,5.6,15.0,0.0,5.7,5.7
2020-08-30,WV,54033,6.7,6.7,17.1,0.0,6.7,6.7
2020-09-06,WV,54033,5.1,5.1,16.1,0.0,5.1,5.1
2020-09-13,WV,54033,4.7,4.7,19.0,0.0,4.7,4.7
2020-09-20,WV,54033,0,0,18.9,0.0,0,0.0
2020-09-27,WV,54033,0,0,18.3,0.0,0,0.0
2020-10-04,WV,54033,11.6,11.6,18.1,0.0,11.6,11.6
2020-10-11,WV,54033,12.1,12.1,18.4,0.0,12.1,12.1
2020-10-18,WV,54033,12.3,12.0,17.7,0.0,12.3,12.3
2020-10-25,WV,54033,8.0,8.0,16.1,0.0,8.0,8.0
2020-11-01,WV,54033,5.4,5.4,19.3,0.0,5.4,5.4
2020-11-08,WV,54033,6.9,6.9,18.9,0.0,6.9,6.9
2020-11-15,WV,54033,14.0,13.7,18.7,0.0,14.0,14.0
2020-11-22,WV,54033,19.4,19.4,18.1,0.0,19.4,19.4
2020-11-29,WV,54033,25.0,25.0,18.7,0.0,25.0,25.0
2020-12-06,WV,54033,30.7,30.7,18.9,0.0,30.7,30.7
2020-12-13,WV,54033,32.7,32.7,18.7,0.0,32.7,32.7
2020-12-20,WV,54033,35.1,35.1,18.9,0.0,35.1,35.1
2020-12-27,WV,54033,41.7,41.7,19.3,0.0,41.7,41.7
2021-01-03,WV,54033,39.9,39.9,21.3,0.0,39.9,39.9
2021-01-10,WV,54033,39.3,39.3,19.1,0.0,39.3,39.3
2021-01-17,WV,54033,38.1,38.1,19.7,0.0,38.1,38.1
2021-01-24,WV,54033,35.4,35.4,19.4,0.0,35.4,35.4
2021-01-31,WV,54033,38.6,38.6,21.3,0.0,38.6,38.6
2021-02-07,WV,54033,32.3,32.3,19.9,0.0,32.3,32.3
2021-02-14,WV,54033,19.7,19.7,18.3,0.0,19.7,19.7
2021-02-21,WV,54033,10.1,10.1,14.9,0.0,10.1,10.1
2021-02-28,WV,54033,10.7,10.7,17.4,0.0,10.7,10.7
2021-03-07,WV,54033,9.3,9.3,18.6,0.0,9.3,9.3
2021-03-14,WV,54033,9.6,9.6,18.7,0.0,9.6,9.6
2021-03-21,WV,54033,11.0,11.0,20.7,0.0,11.0,11.0
2021-03-28,WV,54033,13.0,13.0,20.7,0.0,13.0,13.0
2021-04-04,WV,54033,17.1,17.1,20.6,0.0,17.1,17.1
2021-04-11,WV,54033,13.4,13.4,19.7,0.0,13.4,13.4
2021-04-18,WV,54033,11.7,11.7,18.9,0.0,11.7,11.7
2021-04-25,WV,54033,16.6,16.6,19.3,0.0,16.6,16.6
2021-05-02,WV,54033,20.3,20.3,20.1,0.0,20.3,20.3
2021-05-09,WV,54033,23.9,23.9,18.3,0.0,23.9,23.9
2021-05-16,WV,54033,17.6,17.6,18.1,0.0,17.6,17.6
2021-05-23,WV,54033,18.6,18.6,19.7,0.0,18.6,18.6
2021-05-30,WV,54033,18.3,18.3,17.0,0.0,18.3,18.3
2021-06-06,WV,54033,16.6,16.6,19.1,0.0,16.6,16.6
2021-06-13,WV,54033,11.0,10.9,18.9,0.0,11.0,11.0
2021-06-20,WV,54033,9.9,9.9,18.4,0.0,9.9,9.9
2021-06-27,WV,54033,8.3,8.3,16.7,0.0,8.3,8.3
2021-07-04,WV,54033,5.4,5.4,17.4,0.0,5.4,5.4
2021-07-11,WV,54033,4.9,4.9,18.3,0.0,4.9,4.9
2021-07-18,WV,54033,6.7,6.7,18.6,0.0,6.7,6.7
2021-07-25,WV,54033,8.6,8.6,18.1,0.0,8.6,8.6
2021-08-01,WV,54033,6.7,6.7,18.9,0.0,6.7,6.7
2021-08-08,WV,54033,12.7,12.7,18.7,0.0,12.7,12.7
2021-08-15,WV,54033,26.7,26.7,19.3,0.0,26.7,26.7
2021-08-22,WV,54033,32.7,32.7,18.9,0.0,32.7,32.7
2021-08-29,WV,54033,46.3,46.3,18.9,0.0,46.3,46.3
2021-09-05,WV,54033,52.7,52.7,19.6,0.0,52.7,52.7
2021-09-12,WV,54033,56.1,56.1,19.1,0.0,56.1,56.1
2021-09-19,WV,54033,68.4,68.4,19.0,0.0,68.4,68.4
2021-09-26,WV,54033,65.3,65.3,18.9,0.0,65.3,65.3
2021-10-03,WV,54033,63.6,63.6,18.3,0.0,63.6,63.6
2021-10-10,WV,54033,57.6,57.6,18.3,0.0,57.6,57.6
2021-10-17,WV,54033,61.7,61.7,18.7,0.0,61.7,61.7
2021-10-24,WV,54033,51.9,51.9,19.0,0.0,51.9,51.9
2021-10-31,WV,54033,42.4,42.4,18.3,0.0,42.4,42.4
2021-11-07,WV,54033,31.1,31.1,18.4,0.0,31.1,31.1
2021-11-14,WV,54033,28.4,28.4,18.7,0.0,28.4,28.4
2021-11-21,WV,54033,36.3,36.3,19.0,0,36.6,36.3
2021-11-28,WV,54033,44.7,44.7,18.4,0.0,44.7,44.7
2021-12-05,WV,54033,35.9,35.7,18.3,0.0,35.9,35.9
