collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-08-09,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-08-16,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-08-23,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-10-04,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-10-11,WV,54037,0,0,0,0.0,0,0.0
2020-10-18,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-10-25,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-11-01,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-11-08,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-11-15,WV,54037,0.0,0.0,4.0,0.0,0.0,0.0
2020-11-22,WV,54037,0.0,0.0,0,0.0,0.0,0.0
2020-11-29,WV,54037,0.0,0.0,4.3,0.0,0.0,0.0
2020-12-06,WV,54037,0,0,0,0.0,0,0.0
2020-12-13,WV,54037,0,0,4.3,0.0,0,0.0
2020-12-20,WV,54037,0,0,5.0,0.0,0,0.0
2020-12-27,WV,54037,5.7,5.7,5.0,0.0,5.7,5.7
2021-01-03,WV,54037,7.4,7.4,4.9,0.0,7.4,7.4
2021-01-10,WV,54037,11.4,11.1,4.9,0.0,11.4,11.4
2021-01-17,WV,54037,7.9,7.9,4.9,0.0,7.9,7.9
2021-01-24,WV,54037,0,0,4.9,0.0,0,0.0
2021-01-31,WV,54037,0,0,4.9,0.0,0,0.0
2021-02-07,WV,54037,0,0,4.7,0.0,0,0.0
2021-02-14,WV,54037,0,0,0,0.0,0,0.0
2021-02-21,WV,54037,0,0,0,0.0,0,0.0
2021-02-28,WV,54037,4.7,4.1,4.9,0.0,4.7,4.7
2021-03-07,WV,54037,4.0,4.0,0,0.0,4.0,4.0
2021-03-14,WV,54037,0,0,0,0.0,0,0.0
2021-03-21,WV,54037,0,0,0,0.0,0,0.0
2021-03-28,WV,54037,0,0,0,0.0,0,0.0
2021-04-04,WV,54037,4.1,4.1,0,0.0,4.1,4.1
2021-04-11,WV,54037,5.7,5.7,4.7,0.0,5.7,5.7
2021-04-18,WV,54037,4.6,4.6,4.9,0.0,4.6,4.6
2021-04-25,WV,54037,0,0,4.4,0.0,0,0.0
2021-05-02,WV,54037,0,0,0,0.0,0,0.0
2021-05-09,WV,54037,0,0,4.7,0.0,0,0.0
2021-05-16,WV,54037,4.0,4.0,4.3,0.0,4.0,4.0
2021-05-23,WV,54037,0,0,4.3,0.0,0,0.0
2021-05-30,WV,54037,4.9,4.9,0,0.0,4.9,4.9
2021-06-06,WV,54037,0,0,0,0.0,0,0.0
2021-06-13,WV,54037,0,0,0,0.0,0,0.0
2021-06-20,WV,54037,0,0,4.3,0.0,0,0.0
2021-06-27,WV,54037,0,0,0,0.0,0,0.0
2021-07-04,WV,54037,0,0,4.4,0.0,0,0.0
2021-07-11,WV,54037,0,0,0,0.0,0,0.0
2021-07-18,WV,54037,0,0,4.1,0.0,0,0.0
2021-07-25,WV,54037,0,0,0,0.0,0,0.0
2021-08-01,WV,54037,0,0,4.1,0.0,0,0.0
2021-08-08,WV,54037,0,0,4.3,0.0,0,0.0
2021-08-15,WV,54037,0,0,4.0,0.0,0,0.0
2021-08-22,WV,54037,4.3,4.3,0,0.0,4.3,4.3
2021-08-29,WV,54037,5.7,5.7,5.0,0.0,5.7,5.7
2021-09-05,WV,54037,8.6,8.6,4.7,0.0,8.6,8.6
2021-09-12,WV,54037,9.3,9.3,4.9,0.0,9.3,9.3
2021-09-19,WV,54037,11.1,11.1,5.0,0.0,11.1,11.1
2021-09-26,WV,54037,14.4,14.3,4.4,0.0,14.4,14.4
2021-10-03,WV,54037,7.7,7.7,4.3,0.0,7.7,7.7
2021-10-10,WV,54037,7.9,7.9,4.6,0.0,7.9,7.9
2021-10-17,WV,54037,9.3,9.0,4.3,0.0,9.3,9.3
2021-10-24,WV,54037,8.7,8.7,0,0.0,8.7,8.7
2021-10-31,WV,54037,5.9,5.7,0,0.0,5.9,5.9
2021-11-07,WV,54037,5.7,5.7,0,0.0,5.7,5.7
2021-11-14,WV,54037,6.4,6.4,0,0.0,6.4,6.4
2021-11-21,WV,54037,8.1,8.1,4.3,0.0,8.1,8.1
2021-11-28,WV,54037,6.7,6.7,4.3,0.0,6.7,6.7
2021-12-05,WV,54037,9.0,9.0,4.9,0.0,9.0,9.0
2021-12-12,WV,54037,13.7,13.7,5.0,0.0,13.7,13.7
2021-12-19,WV,54037,14.6,14.6,5.0,0.0,14.6,14.6
2021-12-26,WV,54037,17.4,17.4,5.0,0.0,17.4,17.4
