collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54045,14.0,14.0,11.9,0.0,14.0,14.0
2020-08-09,WV,54045,16.1,16.1,11.6,0.0,16.1,16.1
2020-08-16,WV,54045,19.0,19.0,11.3,0.0,19.0,19.0
2020-08-23,WV,54045,13.9,13.9,10.1,0.0,13.9,13.9
2020-08-30,WV,54045,11.4,11.4,9.0,0.0,11.4,11.4
2020-09-06,WV,54045,13.9,13.9,11.3,0.0,13.9,13.9
2020-09-13,WV,54045,15.7,15.7,9.7,0.0,15.7,15.7
2020-09-20,WV,54045,9.0,9.0,8.6,0.0,9.0,9.0
2020-09-27,WV,54045,7.0,7.0,9.4,0.0,7.0,7.0
2020-10-04,WV,54045,6.6,6.6,8.7,0.0,6.6,6.6
2020-10-11,WV,54045,6.6,6.6,8.6,0.0,6.6,6.6
2020-10-18,WV,54045,7.7,7.7,9.4,0.0,7.7,7.7
2020-10-25,WV,54045,8.0,8.0,10.3,0.0,8.0,8.0
2020-11-01,WV,54045,6.7,6.7,9.4,0.0,6.7,6.7
2020-11-08,WV,54045,8.7,8.6,11.0,0.0,8.7,8.7
2020-11-15,WV,54045,7.9,7.9,10.6,0.0,7.9,7.9
2020-11-22,WV,54045,9.3,9.1,10.4,0,9.7,9.3
2020-11-29,WV,54045,11.9,11.9,11.1,0.0,11.9,11.9
2020-12-06,WV,54045,17.6,17.6,11.4,0.0,17.6,17.6
2020-12-13,WV,54045,16.6,16.6,11.4,0.0,16.6,16.6
2020-12-20,WV,54045,13.7,13.7,11.6,0.0,13.7,13.7
2020-12-27,WV,54045,16.1,16.1,11.0,0.0,16.1,16.1
2021-01-03,WV,54045,16.6,16.6,12.0,0.0,16.6,16.6
2021-01-10,WV,54045,11.6,11.6,12.0,0.0,11.6,11.6
2021-01-17,WV,54045,17.1,17.1,12.0,0.0,17.1,17.1
2021-01-24,WV,54045,15.0,15.0,11.4,0.0,15.0,15.0
2021-01-31,WV,54045,13.7,13.7,11.6,0.0,13.7,13.7
2021-02-07,WV,54045,9.1,9.1,10.3,0.0,9.1,9.1
2021-02-14,WV,54045,8.7,8.7,10.7,0.0,8.7,8.7
2021-02-21,WV,54045,8.4,8.4,10.0,0.0,8.4,8.4
2021-02-28,WV,54045,5.0,5.0,8.7,0.0,5.0,5.0
2021-03-07,WV,54045,4.0,4.0,11.7,0.0,4.0,4.0
2021-03-14,WV,54045,5.0,4.7,11.9,0.0,5.0,5.0
2021-03-21,WV,54045,8.1,8.0,11.7,0.0,8.1,8.1
2021-03-28,WV,54045,10.9,10.9,12.0,0.0,10.9,10.9
2021-04-04,WV,54045,7.0,7.0,11.9,0,7.1,7.0
2021-04-11,WV,54045,5.4,5.4,11.7,0.0,5.4,5.4
2021-04-18,WV,54045,4.1,4.1,10.9,0,4.6,4.1
2021-04-25,WV,54045,4.0,0,11.0,0,5.0,4.0
2021-05-02,WV,54045,0,0,12.0,0,0,0.0
2021-05-09,WV,54045,6.6,6.6,12.0,0.0,6.6,6.6
2021-05-16,WV,54045,4.0,4.0,12.0,0.0,4.0,4.0
2021-05-23,WV,54045,4.6,4.6,11.4,0.0,4.6,4.6
2021-05-30,WV,54045,0,0,11.1,0.0,0,0.0
2021-06-06,WV,54045,0,0,11.0,0.0,0,0.0
2021-06-13,WV,54045,0,0,11.9,0.0,0,0.0
2021-06-20,WV,54045,0,0,9.9,0.0,0,0.0
2021-06-27,WV,54045,0,0,10.0,0.0,0,0.0
2021-07-04,WV,54045,0,0,11.0,0.0,0,0.0
2021-07-11,WV,54045,0,0,11.1,0.0,0,0.0
2021-07-18,WV,54045,0,0,11.4,0.0,0,0.0
2021-07-25,WV,54045,0,0,11.4,0.0,0,0.0
2021-08-01,WV,54045,0,0,10.6,0.0,0,0.0
2021-08-08,WV,54045,19.4,6.6,11.9,0.0,19.4,19.4
2021-08-15,WV,54045,16.4,16.4,12.0,0.0,16.4,16.4
2021-08-22,WV,54045,18.4,18.3,11.9,0.0,18.4,18.4
2021-08-29,WV,54045,17.7,17.7,12.0,0,17.9,17.7
2021-09-05,WV,54045,17.6,17.3,12.0,0.0,17.6,17.6
2021-09-12,WV,54045,33.9,33.0,12.0,0,34.6,33.9
