collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54051,0,0,5.7,0.0,0,0.0
2020-08-09,WV,54051,0,0,6.1,0.0,0,0.0
2020-08-16,WV,54051,0,0,5.1,0.0,0,0.0
2020-08-23,WV,54051,0,0.0,0,0.0,0,0.0
2020-08-30,WV,54051,0,0.0,0,0.0,0,0.0
2020-09-06,WV,54051,0,0.0,4.7,0.0,0,0.0
2020-09-13,WV,54051,0,0.0,5.9,0,0,0.0
2020-09-20,WV,54051,0,0,5.1,0.0,0,0.0
2020-09-27,WV,54051,0,0.0,6.1,0.0,0,0.0
2020-10-04,WV,54051,0,0,5.7,0.0,0,0.0
2020-10-11,WV,54051,0,0,7.3,0.0,0,0.0
2020-10-18,WV,54051,4.6,0,7.1,0.0,4.6,4.6
2020-10-25,WV,54051,7.4,4.4,6.1,0.0,7.4,7.4
2020-11-01,WV,54051,9.4,5.7,7.9,0.0,9.4,9.4
2020-11-08,WV,54051,12.4,7.1,8.0,0.0,12.4,12.4
2020-11-15,WV,54051,13.6,10.1,7.9,0.0,13.6,13.6
2020-11-22,WV,54051,19.7,17.3,7.7,0.0,19.7,19.7
2020-11-29,WV,54051,17.1,14.0,8.0,0.0,17.1,17.1
2020-12-06,WV,54051,18.6,16.7,7.3,0.0,18.6,18.6
2020-12-13,WV,54051,11.6,11.0,7.3,0.0,11.6,11.6
2020-12-20,WV,54051,12.9,12.3,6.6,0.0,12.9,12.9
2020-12-27,WV,54051,12.9,12.3,7.7,0.0,12.9,12.9
2021-01-03,WV,54051,9.6,8.7,7.3,0.0,9.6,9.6
2021-01-10,WV,54051,12.4,12.3,6.0,0.0,12.4,12.4
2021-01-17,WV,54051,12.4,12.4,7.6,0.0,12.4,12.4
2021-01-24,WV,54051,7.7,7.6,7.9,0.0,7.7,7.7
2021-01-31,WV,54051,6.6,6.4,8.6,0.0,6.6,6.6
2021-02-07,WV,54051,7.3,7.3,7.0,0.0,7.3,7.3
2021-02-14,WV,54051,7.0,6.4,4.9,0.0,7.0,7.0
2021-02-21,WV,54051,0,0,5.9,0.0,0,0.0
2021-02-28,WV,54051,4.3,0,0,0.0,4.3,4.3
2021-03-07,WV,54051,0,0,5.1,0.0,0,0.0
2021-03-14,WV,54051,0,0,0,0.0,0,0.0
2021-03-21,WV,54051,4.1,0,6.0,0.0,4.1,4.1
2021-03-28,WV,54051,0,0,5.0,0.0,0,0.0
2021-04-04,WV,54051,0,0,5.0,0.0,0,0.0
2021-04-11,WV,54051,0,0,4.6,0.0,0,0.0
2021-04-18,WV,54051,0,0,5.9,0.0,0,0.0
2021-04-25,WV,54051,0,0,4.9,0.0,0,0.0
2021-05-02,WV,54051,0,0,0,0.0,0,0.0
2021-05-09,WV,54051,0,0,5.7,0.0,0,0.0
2021-05-16,WV,54051,0,0,5.0,0.0,0,0.0
2021-05-23,WV,54051,0,0,5.6,0.0,0,0.0
2021-05-30,WV,54051,0,0,5.9,0.0,0,0.0
2021-06-06,WV,54051,0,0,5.1,0.0,0,0.0
2021-06-13,WV,54051,0,0,5.7,0.0,0,0.0
2021-06-20,WV,54051,0,0,4.3,0.0,0,0.0
2021-06-27,WV,54051,0.0,0.0,0,0.0,0.0,0.0
2021-07-04,WV,54051,0.0,0.0,4.3,0.0,0.0,0.0
2021-07-11,WV,54051,0.0,0.0,4.3,0.0,0.0,0.0
2021-07-18,WV,54051,0,0,4.6,0.0,0,0.0
2021-07-25,WV,54051,0,0,5.4,0.0,0,0.0
2021-08-01,WV,54051,8.1,8.1,6.0,0.0,8.1,8.1
2021-08-08,WV,54051,10.0,10.0,5.9,0.0,10.0,10.0
2021-08-15,WV,54051,5.1,4.9,5.6,0.0,5.1,5.1
2021-08-22,WV,54051,7.9,7.7,5.6,0.0,7.9,7.9
2021-08-29,WV,54051,12.0,12.0,6.6,0.0,12.0,12.0
2021-09-05,WV,54051,11.3,11.3,5.9,0.0,11.3,11.3
2021-09-12,WV,54051,14.4,14.4,6.3,0.0,14.4,14.4
2021-09-19,WV,54051,14.6,14.6,6.4,0.0,14.6,14.6
2021-09-26,WV,54051,11.9,11.9,5.3,0.0,11.9,11.9
2021-10-03,WV,54051,9.1,9.1,4.3,0.0,9.1,9.1
2021-10-10,WV,54051,5.9,5.7,5.3,0.0,5.9,5.9
2021-10-17,WV,54051,8.0,8.0,5.4,0.0,8.0,8.0
2021-10-24,WV,54051,4.6,4.6,5.1,0.0,4.6,4.6
2021-10-31,WV,54051,0,0,6.0,0.0,0,0.0
2021-11-07,WV,54051,5.4,5.3,7.1,0.0,5.4,5.4
2021-11-14,WV,54051,9.9,9.9,6.7,0,10.0,9.9
2021-11-21,WV,54051,8.9,8.9,6.6,0.0,8.9,8.9
2021-11-28,WV,54051,11.4,11.4,8.0,0.0,11.4,11.4
2021-12-05,WV,54051,7.9,7.9,6.4,0.0,7.9,7.9
2021-12-12,WV,54051,8.7,8.7,7.1,0.0,8.7,8.7
2021-12-19,WV,54051,7.4,7.4,6.9,0.0,7.4,7.4
2021-12-26,WV,54051,6.7,6.4,6.6,0.0,6.7,6.7
