collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54055,17.3,14.0,14.4,0.0,17.3,17.3
2020-08-09,WV,54055,12.6,8.0,15.0,0.0,12.6,12.6
2020-08-16,WV,54055,14.4,10.6,14.3,0.0,14.4,14.4
2020-08-23,WV,54055,15.4,11.4,14.3,0.0,15.4,15.4
2020-08-30,WV,54055,12.0,9.0,14.3,0.0,12.0,12.0
2020-09-06,WV,54055,14.7,5.9,14.6,0.0,14.7,14.7
2020-09-13,WV,54055,11.6,7.1,15.1,0.0,11.6,11.6
2020-09-20,WV,54055,8.6,4.0,17.7,0.0,8.6,8.6
2020-09-27,WV,54055,4.7,0,17.6,0.0,4.7,4.7
2020-10-04,WV,54055,6.3,0,17.0,0,7.0,6.3
2020-10-11,WV,54055,4.7,0,18.0,0.0,4.7,4.7
2020-10-18,WV,54055,10.1,7.9,17.7,0.0,10.1,10.1
2020-10-25,WV,54055,13.4,12.0,18.0,0.0,13.4,13.4
2020-11-01,WV,54055,12.3,11.9,18.0,0.0,12.3,12.3
2020-11-08,WV,54055,18.9,15.4,17.9,0,19.1,18.9
2020-11-15,WV,54055,25.3,19.6,18.0,0,25.4,25.3
2020-11-22,WV,54055,22.1,19.4,18.0,0.0,22.1,22.1
2020-11-29,WV,54055,20.4,18.0,18.0,0.0,20.4,20.4
2020-12-06,WV,54055,29.7,26.0,18.0,0.0,29.7,29.7
2020-12-13,WV,54055,34.9,33.0,18.0,0,35.4,34.9
2020-12-20,WV,54055,42.9,41.6,18.0,0.0,42.9,42.9
2020-12-27,WV,54055,50.0,47.7,18.0,0.0,50.0,50.0
2021-01-03,WV,54055,64.0,51.4,17.9,0,64.1,64.0
2021-01-10,WV,54055,52.4,49.7,18.0,0.0,52.4,52.4
2021-01-17,WV,54055,47.4,45.7,18.0,0.0,47.4,47.4
2021-01-24,WV,54055,32.1,30.7,18.0,0,32.4,32.1
2021-01-31,WV,54055,30.1,28.3,18.0,0.0,30.1,30.1
2021-02-07,WV,54055,37.6,34.3,17.6,0.0,37.6,37.6
2021-02-14,WV,54055,37.0,31.9,17.9,0,37.3,37.0
2021-02-21,WV,54055,26.7,24.4,17.0,0,26.9,26.7
2021-02-28,WV,54055,12.6,11.9,14.6,0.0,12.6,12.6
2021-03-07,WV,54055,8.7,8.0,17.7,0.0,8.7,8.7
2021-03-14,WV,54055,9.9,9.0,16.9,0.0,9.9,9.9
2021-03-21,WV,54055,10.1,10.1,16.7,0.0,10.1,10.1
2021-03-28,WV,54055,6.1,5.9,16.0,0.0,6.1,6.1
