collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54061,22.299999999999997,15.7,93.4,0.0,23.4,22.299999999999997
2020-08-09,WV,54061,24.7,13.1,99.5,0.0,26.6,24.7
2020-08-16,WV,54061,16.4,9.9,94.5,0.0,17.3,16.4
2020-08-23,WV,54061,12.4,7.6,85.39999999999999,0.0,12.9,12.4
2020-08-30,WV,54061,13.4,9.0,100.69999999999999,0.0,14.1,13.4
2020-09-06,WV,54061,12.9,7.3,101.5,0.0,13.3,12.9
2020-09-13,WV,54061,9.0,5.4,101.9,0.0,9.7,9.0
2020-09-20,WV,54061,11.3,5.6,101.19999999999999,0.0,11.9,11.3
2020-09-27,WV,54061,8.1,4.6,106.0,0.0,8.7,8.1
2020-10-04,WV,54061,13.3,7.7,101.2,0.0,14.7,13.3
2020-10-11,WV,54061,23.7,16.0,106.19999999999999,0.0,24.7,23.7
2020-10-18,WV,54061,23.1,18.4,103.2,0.0,23.9,23.1
2020-10-25,WV,54061,24.3,21.0,101.5,0.0,25.0,24.3
2020-11-01,WV,54061,32.5,30.4,99.0,0.0,33.5,32.5
2020-11-08,WV,54061,42.7,40.599999999999994,111.69999999999999,0.0,43.1,42.7
2020-11-15,WV,54061,49.5,43.2,104.19999999999999,0.0,51.0,49.5
2020-11-22,WV,54061,61.400000000000006,56.800000000000004,101.0,0.0,63.0,61.400000000000006
2020-11-29,WV,54061,81.30000000000001,76.30000000000001,99.9,0.0,82.5,81.30000000000001
2020-12-06,WV,54061,83.5,79.0,111.1,0.0,84.5,83.5
2020-12-13,WV,54061,103.0,99.3,110.69999999999999,0.0,105.5,103.0
2020-12-20,WV,54061,105.69999999999999,103.0,105.9,0.0,108.0,105.69999999999999
2020-12-27,WV,54061,113.6,109.6,110.0,0.0,116.9,113.6
2021-01-03,WV,54061,90.0,87.3,113.9,0.0,92.4,90.0
2021-01-10,WV,54061,85.8,81.0,112.5,0.0,87.8,85.8
2021-01-17,WV,54061,60.4,57.9,109.19999999999999,0.0,61.3,60.4
