collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54081,29.1,19.0,33.8,0.0,29.1,29.1
2020-08-09,WV,54081,30.099999999999998,23.0,33.9,0.0,30.099999999999998,30.099999999999998
2020-08-16,WV,54081,30.6,21.6,31.200000000000003,0.0,30.6,30.6
2020-08-23,WV,54081,29.8,18.8,32.5,0.0,29.8,29.8
2020-08-30,WV,54081,27.599999999999998,20.3,33.099999999999994,0.0,27.599999999999998,27.599999999999998
2020-09-06,WV,54081,23.7,14.3,31.200000000000003,0.0,23.7,23.7
2020-09-13,WV,54081,18.0,12.1,33.900000000000006,0.0,18.0,18.0
2020-09-20,WV,54081,14.7,10.0,30.1,0.0,14.7,14.7
2020-09-27,WV,54081,5.9,5.3,33.0,0.0,5.9,5.9
2020-10-04,WV,54081,4.1,4.0,34.0,0.0,4.1,4.1
2020-10-11,WV,54081,13.7,10.3,33.1,0.0,13.7,13.7
2020-10-18,WV,54081,20.6,13.100000000000001,34.2,0.0,20.6,20.6
2020-10-25,WV,54081,21.5,16.0,34.3,0.0,21.5,21.5
2020-11-01,WV,54081,25.9,20.4,33.3,0.0,25.9,25.9
2020-11-08,WV,54081,19.6,19.2,33.7,0.0,19.6,19.6
2020-11-15,WV,54081,28.6,27.299999999999997,34.1,0.0,28.700000000000003,28.6
2020-11-22,WV,54081,33.3,31.700000000000003,34.8,0.0,33.8,33.3
2020-11-29,WV,54081,36.0,33.7,34.099999999999994,0.0,36.0,36.0
2020-12-06,WV,54081,41.0,38.900000000000006,34.8,0.0,42.099999999999994,41.0
2020-12-13,WV,54081,37.9,36.9,33.1,0.0,37.9,37.9
2020-12-20,WV,54081,39.400000000000006,38.7,34.4,0.0,39.400000000000006,39.400000000000006
2020-12-27,WV,54081,39.1,36.3,34.5,0.0,39.1,39.1
2021-01-03,WV,54081,47.1,42.1,34.6,0.0,47.1,47.1
2021-01-10,WV,54081,49.400000000000006,48.7,34.1,0.0,49.400000000000006,49.400000000000006
2021-01-17,WV,54081,43.3,42.8,34.3,0.0,43.900000000000006,43.3
2021-01-24,WV,54081,39.7,39.2,34.3,0.0,39.7,39.7
2021-01-31,WV,54081,30.6,30.1,32.3,0.0,30.6,30.6
2021-02-07,WV,54081,19.700000000000003,19.6,34.099999999999994,0.0,19.700000000000003,19.700000000000003
2021-02-14,WV,54081,22.7,22.1,34.3,0.0,22.7,22.7
2021-02-21,WV,54081,16.6,16.6,33.2,0.0,16.700000000000003,16.6
2021-02-28,WV,54081,8.7,8.7,32.6,0.0,8.7,8.7
2021-03-07,WV,54081,7.4,7.4,29.900000000000002,0.0,7.4,7.4
2021-03-14,WV,54081,17.6,17.6,30.0,0.0,17.6,17.6
2021-03-21,WV,54081,22.3,21.8,30.0,0.0,22.3,22.3
2021-03-28,WV,54081,41.1,40.8,31.0,0.0,41.1,41.1
2021-04-04,WV,54081,36.0,35.5,31.4,0.0,36.0,36.0
2021-04-11,WV,54081,28.7,28.0,30.799999999999997,0.0,28.7,28.7
2021-04-18,WV,54081,31.5,31.299999999999997,30.4,0.0,31.5,31.5
2021-04-25,WV,54081,28.1,27.6,30.9,0.0,28.1,28.1
2021-05-02,WV,54081,19.8,19.700000000000003,29.200000000000003,0.0,19.8,19.8
2021-05-09,WV,54081,21.6,21.4,28.200000000000003,0.0,21.6,21.6
2021-05-16,WV,54081,18.4,18.3,32.7,0.0,18.4,18.4
2021-05-23,WV,54081,13.0,13.0,34.3,0.0,16.1,13.0
2021-05-30,WV,54081,6.6,6.6,32.3,0.0,6.6,6.6
2021-06-06,WV,54081,4.6,4.6,30.900000000000002,0.0,4.6,4.6
2021-06-13,WV,54081,0,0,28.400000000000002,0.0,0,0.0
2021-06-20,WV,54081,0,0,32.1,0.0,0,0.0
2021-06-27,WV,54081,0.0,0.0,32.1,0.0,0.0,0.0
2021-07-04,WV,54081,0,0.0,30.1,0.0,0,0.0
2021-07-11,WV,54081,0.0,0.0,27.6,0.0,0.0,0.0
2021-07-18,WV,54081,0,0,27.799999999999997,0.0,0,0.0
2021-07-25,WV,54081,10.399999999999999,6.3,27.400000000000002,0.0,10.7,10.399999999999999
2021-08-01,WV,54081,13.3,12.899999999999999,29.4,0.0,13.3,13.3
2021-08-08,WV,54081,19.1,19.0,30.6,0.0,19.1,19.1
2021-08-15,WV,54081,22.9,22.9,26.0,0.0,22.9,22.9
2021-08-22,WV,54081,34.6,34.6,30.0,0.0,34.6,34.6
2021-08-29,WV,54081,50.1,50.1,31.200000000000003,0.0,50.1,50.1
2021-09-05,WV,54081,56.599999999999994,56.599999999999994,33.5,0.0,56.599999999999994,56.599999999999994
2021-09-12,WV,54081,65.0,64.7,33.7,0.0,65.0,65.0
2021-09-19,WV,54081,68.0,67.5,33.5,0.0,68.1,68.0
2021-09-26,WV,54081,59.599999999999994,59.3,33.6,0.0,59.7,59.599999999999994
2021-10-03,WV,54081,53.0,52.7,33.4,0.0,53.0,53.0
2021-10-10,WV,54081,52.3,52.2,32.7,0.0,52.3,52.3
2021-10-17,WV,54081,39.900000000000006,39.7,33.9,0.0,39.900000000000006,39.900000000000006
2021-10-24,WV,54081,40.099999999999994,39.7,33.6,0.0,40.099999999999994,40.099999999999994
2021-10-31,WV,54081,35.5,35.5,32.1,0.0,35.5,35.5
2021-11-07,WV,54081,26.6,26.6,34.0,0.0,26.6,26.6
2021-11-14,WV,54081,22.8,22.8,34.4,0.0,23.0,22.8
2021-11-21,WV,54081,28.8,28.8,31.7,0.0,28.8,28.8
2021-11-28,WV,54081,38.099999999999994,38.099999999999994,34.7,0.0,38.099999999999994,38.099999999999994
2021-12-05,WV,54081,43.7,43.7,34.9,0.0,43.7,43.7
2021-12-12,WV,54081,43.1,43.1,34.7,0.0,43.1,43.1
2021-12-19,WV,54081,45.7,45.7,34.6,0.0,45.7,45.7
2021-12-26,WV,54081,40.3,40.3,34.3,0.0,40.3,40.3
