collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WV,54107,4.1,4.1,13.0,0.0,4.1,4.1
2020-08-09,WV,54107,6.3,5.7,13.3,0.0,6.3,6.3
2020-08-16,WV,54107,6.4,6.1,14.6,0.0,6.4,6.4
2020-08-23,WV,54107,10.1,9.9,14.9,0.0,10.1,10.1
2020-08-30,WV,54107,10.1,10.1,11.3,0.0,10.1,10.1
2020-09-06,WV,54107,7.4,7.4,15.3,0.0,7.4,7.4
2020-09-13,WV,54107,0,0,13.1,0.0,0,0.0
2020-09-20,WV,54107,0,0,10.9,0.0,0,0.0
2020-09-27,WV,54107,0,0,11.4,0.0,0,0.0
2020-10-04,WV,54107,0,0,14.9,0.0,0,0.0
2020-10-11,WV,54107,6.4,6.4,13.9,0.0,6.4,6.4
2020-10-18,WV,54107,10.0,10.0,14.3,0.0,10.0,10.0
2020-10-25,WV,54107,11.7,11.7,13.7,0.0,11.7,11.7
2020-11-01,WV,54107,17.3,17.3,12.3,0.0,17.3,17.3
2020-11-08,WV,54107,27.7,27.7,13.9,0.0,27.7,27.7
2020-11-15,WV,54107,46.6,46.4,16.6,0.0,46.6,46.6
2020-11-22,WV,54107,51.7,51.6,13.7,0.0,51.7,51.7
2020-11-29,WV,54107,55.3,53.9,14.4,0.0,55.3,55.3
2020-12-06,WV,54107,58.1,57.9,15.6,0.0,58.1,58.1
2020-12-13,WV,54107,62.4,62.1,15.7,0,62.6,62.4
2020-12-20,WV,54107,59.9,58.9,15.4,0.0,59.9,59.9
2020-12-27,WV,54107,67.3,65.9,14.6,0.0,67.3,67.3
2021-01-03,WV,54107,69.6,68.3,16.4,0.0,69.6,69.6
2021-01-10,WV,54107,52.3,52.3,15.7,0.0,52.3,52.3
2021-01-17,WV,54107,50.6,50.3,14.9,0.0,50.6,50.6
2021-01-24,WV,54107,41.1,41.1,16.1,0.0,41.1,41.1
2021-01-31,WV,54107,25.7,25.7,14.1,0.0,25.7,25.7
2021-02-07,WV,54107,28.7,28.6,13.9,0.0,28.7,28.7
2021-02-14,WV,54107,23.0,23.0,12.9,0.0,23.0,23.0
2021-02-21,WV,54107,19.6,19.6,14.9,0.0,19.6,19.6
2021-02-28,WV,54107,8.6,8.6,13.4,0.0,8.6,8.6
2021-03-07,WV,54107,9.6,9.6,12.1,0.0,9.6,9.6
2021-03-14,WV,54107,13.0,13.0,12.3,0.0,13.0,13.0
2021-03-21,WV,54107,13.3,13.3,12.4,0.0,13.3,13.3
2021-03-28,WV,54107,10.4,10.4,14.0,0.0,10.4,10.4
2021-04-04,WV,54107,10.7,10.7,12.9,0.0,10.7,10.7
2021-04-11,WV,54107,8.1,8.1,14.7,0.0,8.1,8.1
2021-04-18,WV,54107,6.6,6.6,12.3,0.0,6.6,6.6
2021-04-25,WV,54107,5.7,5.7,14.7,0.0,5.7,5.7
2021-05-02,WV,54107,11.7,11.4,14.0,0.0,11.7,11.7
2021-05-09,WV,54107,13.0,13.0,15.4,0.0,13.0,13.0
2021-05-16,WV,54107,13.4,13.4,15.9,0.0,13.4,13.4
2021-05-23,WV,54107,12.1,12.1,14.9,0.0,12.1,12.1
2021-05-30,WV,54107,13.1,13.1,13.0,0.0,13.1,13.1
2021-06-06,WV,54107,11.0,11.0,14.3,0.0,11.0,11.0
2021-06-13,WV,54107,7.6,7.6,12.0,0.0,7.6,7.6
2021-06-20,WV,54107,5.6,5.6,13.6,0.0,5.6,5.6
2021-06-27,WV,54107,6.6,6.6,15.3,0.0,6.6,6.6
2021-07-04,WV,54107,7.4,7.4,12.3,0.0,7.4,7.4
2021-07-11,WV,54107,7.9,7.9,12.3,0.0,7.9,7.9
2021-07-18,WV,54107,6.6,6.6,13.0,0.0,6.6,6.6
2021-07-25,WV,54107,7.0,7.0,15.7,0.0,7.0,7.0
2021-08-01,WV,54107,13.4,13.4,15.4,0.0,13.4,13.4
2021-08-08,WV,54107,20.9,20.9,16.0,0,21.1,20.9
2021-08-15,WV,54107,32.6,32.6,15.6,0.0,32.6,32.6
2021-08-22,WV,54107,38.3,37.4,15.7,0,39.1,38.3
2021-08-29,WV,54107,49.0,49.0,16.6,0,49.1,49.0
2021-09-05,WV,54107,66.6,66.6,16.3,0,68.3,66.6
2021-09-12,WV,54107,80.1,80.1,16.6,0,81.3,80.1
2021-09-19,WV,54107,83.6,83.1,16.7,0,84.0,83.6
