collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WY,56025,6.9,6.9,13.6,0.0,6.9,6.9
2020-08-09,WY,56025,6.7,6.7,12.9,0.0,6.7,6.7
2020-08-16,WY,56025,6.2,6.2,11.6,0.0,6.2,6.2
2020-08-23,WY,56025,6.8,6.8,12.0,0.0,6.8,6.8
2020-08-30,WY,56025,4.0,4.0,6.5,0.0,4.0,4.0
2020-09-06,WY,56025,0.0,0.0,9.5,0.0,0.0,0.0
2020-09-13,WY,56025,7.5,7.5,8.0,0.0,7.5,7.5
2020-09-20,WY,56025,8.7,8.3,6.4,0.0,9.6,8.7
2020-09-27,WY,56025,12.9,11.3,7.7,0.0,12.9,12.9
2020-10-04,WY,56025,13.3,13.0,10.8,0.0,13.5,13.3
2020-10-11,WY,56025,15.3,15.3,11.3,0.0,15.3,15.3
2020-10-18,WY,56025,16.2,16.0,9.2,0.0,16.2,16.2
2020-10-25,WY,56025,26.7,26.7,12.0,0.0,26.8,26.7
2020-11-01,WY,56025,36.0,35.7,14.4,0.0,36.0,36.0
2020-11-08,WY,56025,57.1,56.9,17.0,0.0,57.1,57.1
2020-11-15,WY,56025,61.3,61.2,13.5,0.0,61.3,61.3
2020-11-22,WY,56025,70.5,70.5,17.7,0.0,70.5,70.5
2020-11-29,WY,56025,60.0,58.7,15.9,0.0,60.0,60.0
2020-12-06,WY,56025,42.1,42.1,18.0,0.0,42.1,42.1
2020-12-13,WY,56025,38.0,38.0,14.9,0.0,38.1,38.0
2020-12-20,WY,56025,25.6,25.6,15.3,0.0,25.6,25.6
2020-12-27,WY,56025,16.3,16.1,11.4,0.0,16.3,16.3
2021-01-03,WY,56025,18.4,18.3,9.7,0.0,18.7,18.4
2021-01-10,WY,56025,15.7,15.1,8.4,0.0,15.7,15.7
2021-01-17,WY,56025,14.7,14.7,8.9,0.0,14.7,14.7
2021-01-24,WY,56025,16.6,16.4,10.0,0.0,16.6,16.6
2021-01-31,WY,56025,13.0,12.6,8.3,0.0,13.0,13.0
2021-02-07,WY,56025,8.4,8.4,11.3,0.0,8.6,8.4
2021-02-14,WY,56025,12.2,12.2,11.2,0.0,12.2,12.2
2021-02-21,WY,56025,7.4,7.4,10.1,0.0,8.4,7.4
2021-02-28,WY,56025,7.3,7.1,9.6,0.0,7.9,7.3
2021-03-07,WY,56025,0.0,0.0,9.1,0.0,0.0,0.0
2021-03-14,WY,56025,0.0,0.0,4.8,0.0,0.0,0.0
2021-03-21,WY,56025,4.6,4.0,6.9,0.0,4.6,4.6
2021-03-28,WY,56025,4.7,4.7,9.1,0.0,4.7,4.7
2021-04-04,WY,56025,0.0,0.0,10.4,0.0,0.0,0.0
2021-04-11,WY,56025,0.0,0.0,7.0,0.0,0.0,0.0
2021-04-18,WY,56025,5.4,5.4,11.0,0.0,6.4,5.4
2021-04-25,WY,56025,4.0,4.0,12.0,0.0,4.1,4.0
2021-05-02,WY,56025,6.7,6.7,11.3,0.0,6.7,6.7
2021-05-09,WY,56025,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,WY,56025,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,WY,56025,0.0,0.0,12.0,0.0,0.0,0.0
2021-05-30,WY,56025,5.3,5.3,12.0,0.0,5.3,5.3
2021-06-06,WY,56025,9.0,8.5,9.5,0.0,9.0,9.0
2021-06-13,WY,56025,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,WY,56025,0.0,0.0,10.0,0.0,0.0,0.0
2021-06-27,WY,56025,5.9,5.9,9.7,0.0,5.9,5.9
2021-07-04,WY,56025,4.0,4.0,10.0,0.0,4.0,4.0
2021-07-11,WY,56025,5.6,5.6,12.1,0.0,5.6,5.6
2021-07-18,WY,56025,4.7,4.7,9.9,0.0,4.7,4.7
2021-07-25,WY,56025,9.3,9.3,9.0,0.0,9.3,9.3
2021-08-01,WY,56025,18.6,18.6,9.7,0.0,18.6,18.6
2021-08-08,WY,56025,25.7,25.7,11.0,0.0,25.9,25.7
2021-08-15,WY,56025,32.1,32.1,11.1,0.0,32.1,32.1
2021-08-22,WY,56025,35.0,34.9,12.1,0.0,35.0,35.0
2021-08-29,WY,56025,39.3,38.6,13.0,0.0,39.6,39.3
2021-09-05,WY,56025,41.7,41.7,12.8,0.0,41.8,41.7
2021-09-12,WY,56025,42.4,42.3,13.0,0.0,43.0,42.4
2021-09-19,WY,56025,35.9,35.7,14.6,0.0,36.3,35.9
2021-09-26,WY,56025,36.7,36.7,17.7,0.0,36.9,36.7
2021-10-03,WY,56025,48.3,48.3,18.9,0.0,48.6,48.3
2021-10-10,WY,56025,55.3,55.3,17.4,0.0,55.4,55.3
2021-10-17,WY,56025,62.4,62.3,19.0,0.0,62.7,62.4
2021-10-24,WY,56025,46.6,46.3,18.1,0.0,47.4,46.6
2021-10-31,WY,56025,45.4,45.4,19.3,0.0,46.4,45.4
2021-11-07,WY,56025,43.1,43.1,19.0,0.0,43.7,43.1
2021-11-14,WY,56025,35.4,35.4,16.4,0.0,36.1,35.4
2021-11-21,WY,56025,27.0,27.0,12.7,0.0,27.0,27.0
2021-11-28,WY,56025,29.7,29.7,16.1,0.0,30.1,29.7
2021-12-05,WY,56025,28.3,28.3,19.0,0.0,28.3,28.3
2021-12-12,WY,56025,22.7,22.7,17.9,0.0,22.7,22.7
2021-12-19,WY,56025,19.0,18.7,13.3,0.0,19.0,19.0
2021-12-26,WY,56025,11.7,11.7,13.4,0.0,11.7,11.7
