collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,WY,56029,0.0,0.0,4.0,0.0,0.0,0.0
2020-08-16,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,WY,56029,0,0,4.2,0.0,0,0.0
2020-10-11,WY,56029,0,0,4.0,0.0,0,0.0
2020-10-18,WY,56029,8.7,8.7,0.0,0.0,8.7,8.7
2020-10-25,WY,56029,8.7,8.5,0.0,0.0,8.7,8.7
2020-11-01,WY,56029,5.8,5.8,0.0,0.0,5.8,5.8
2020-11-08,WY,56029,4.6,4.6,0.0,0.0,4.6,4.6
2020-11-15,WY,56029,5.0,4.8,0.0,0.0,5.0,5.0
2020-11-22,WY,56029,0,0,0.0,0.0,0,0.0
2020-11-29,WY,56029,10.3,10.2,0,0.0,10.3,10.3
2020-12-06,WY,56029,14.0,14.0,4.0,0.0,14.0,14.0
2020-12-13,WY,56029,10.600000000000001,10.600000000000001,4.0,0.0,10.600000000000001,10.600000000000001
2020-12-20,WY,56029,9.0,9.0,0,0.0,9.0,9.0
2020-12-27,WY,56029,8.6,4.6,0.0,0.0,8.6,8.6
2021-01-03,WY,56029,13.7,13.7,4.1,0.0,13.7,13.7
2021-01-10,WY,56029,7.6,7.6,0,0.0,7.6,7.6
2021-01-17,WY,56029,5.6,5.6,0.0,0.0,5.6,5.6
2021-01-24,WY,56029,0,0,0.0,0.0,0,0.0
2021-01-31,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,WY,56029,0,0,0.0,0.0,0,0.0
2021-02-21,WY,56029,0.0,0.0,0,0.0,0.0,0.0
2021-02-28,WY,56029,0.0,0.0,0,0.0,0.0,0.0
2021-03-07,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,WY,56029,0.0,0.0,0,0.0,0.0,0.0
2021-04-04,WY,56029,0.0,0.0,0,0.0,0.0,0.0
2021-04-11,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,WY,56029,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,WY,56029,0,0,0.0,0.0,0,0.0
2021-05-09,WY,56029,0,0,0,0.0,0,0.0
2021-05-16,WY,56029,0,0,0,0.0,0,0.0
2021-05-23,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,WY,56029,0,0,0.0,0.0,0,0.0
2021-06-06,WY,56029,0,0,0.0,0.0,0,0.0
2021-06-13,WY,56029,0,0,0.0,0.0,0,0.0
2021-06-20,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,WY,56029,0,0,0.0,0.0,0,0.0
2021-07-04,WY,56029,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,WY,56029,0,0,0.0,0.0,0,0.0
2021-07-18,WY,56029,0,0,0,0.0,0,0.0
2021-07-25,WY,56029,0,0,0,0.0,0,0.0
2021-08-01,WY,56029,0,0,0,0.0,0,0.0
2021-08-08,WY,56029,6.1,6.1,0,0.0,6.1,6.1
2021-08-15,WY,56029,7.3,7.3,0,0.0,7.3,7.3
2021-08-22,WY,56029,11.3,11.3,0,0.0,11.3,11.3
2021-08-29,WY,56029,9.3,9.3,5.3,0.0,9.3,9.3
2021-09-05,WY,56029,14.4,14.3,4.4,0.0,14.700000000000001,14.4
2021-09-12,WY,56029,14.9,14.2,4.0,0.0,15.2,14.9
2021-09-19,WY,56029,16.0,16.0,5.1,0.0,16.0,16.0
2021-09-26,WY,56029,15.4,15.4,5.1,0.0,15.4,15.4
2021-10-03,WY,56029,17.3,17.3,5.4,0.0,17.3,17.3
2021-10-10,WY,56029,19.8,19.8,5.7,0.0,19.8,19.8
2021-10-17,WY,56029,21.2,21.2,4.9,0.0,21.2,21.2
2021-10-24,WY,56029,16.1,16.0,4.9,0.0,16.1,16.1
2021-10-31,WY,56029,13.7,13.7,0.0,0.0,13.7,13.7
2021-11-07,WY,56029,10.2,10.2,4.4,0.0,10.2,10.2
2021-11-14,WY,56029,10.7,10.7,0,0.0,10.7,10.7
2021-11-21,WY,56029,5.9,5.9,0,0.0,5.9,5.9
2021-11-28,WY,56029,5.0,5.0,4.9,0.0,5.3,5.0
2021-12-05,WY,56029,4.7,4.7,0,0.0,4.7,4.7
2021-12-12,WY,56029,9.9,9.9,4.6,0.0,9.9,9.9
2021-12-19,WY,56029,5.0,5.0,4.6,0.0,5.0,5.0
2021-12-26,WY,56029,0,0,0,0.0,0,0.0
