date,cumulative_cases,cumulative_deaths,active_cases
2020-08-30,1983,60,166.0
2020-08-31,1989,61,171.0
2020-09-01,2007,62,173.0
2020-09-02,2018,64,164.0
2020-09-03,2038,64,170.0
2020-09-04,2062,64,178.0
2020-09-05,2071,66,172.0
2020-09-06,2077,67,165.0
2020-09-07,2078,67,148.0
2020-09-08,2080,67,136.0
2020-09-09,2086,68,122.0
2020-09-10,2090,70,126.0
2020-09-11,2104,70,130.0
2020-09-12,2121,70,139.0
2020-09-13,2123,71,140.0
2020-09-14,2126,71,137.0
2020-09-15,2128,71,121.0
2020-09-16,2147,71,129.0
2020-09-17,2156,71,118.0
2020-09-18,2163,71,101.0
2020-09-19,2174,71,103.0
2020-09-20,2179,71,102.0
2020-09-21,2181,71,103.0
2020-09-22,2186,71,106.0
2020-09-23,2197,72,111.0
2020-09-24,2219,72,129.0
2020-09-25,2238,72,134.0
2020-09-26,2259,77,138.0
2020-09-27,2259,77,136.0
2020-09-28,2259,77,133.0
2020-09-29,2263,79,135.0
2020-09-30,2278,79,131.0
2020-10-01,2292,80,136.0
2020-10-02,2305,82,142.0
2020-10-03,2312,84,138.0
2020-10-04,2317,84,138.0
2020-10-05,2319,84,138.0
2020-10-06,2338,84,152.0
2020-10-07,2351,86,154.0
2020-10-08,2360,86,141.0
2020-10-09,2366,86,128.0
2020-10-10,2389,88,130.0
2020-10-11,2400,88,141.0
2020-10-12,2402,88,143.0
2020-10-13,2422,91,159.0
2020-10-14,2456,93,178.0
2020-10-15,2477,95,185.0
2020-10-16,2493,95,188.0
2020-10-17,2506,97,194.0
2020-10-18,2506,97,189.0
2020-10-19,2514,97,195.0
2020-10-20,2521,97,183.0
2020-10-21,2537,99,186.0
2020-10-22,2551,99,191.0
2020-10-23,2564,99,198.0
2020-10-24,2583,99,194.0
2020-10-25,2583,99,183.0
2020-10-26,2592,99,190.0
2020-10-27,2603,99,181.0
2020-10-28,2627,100,171.0
2020-10-29,2644,100,167.0
2020-10-30,2667,100,174.0
2020-10-31,2688,100,182.0
2020-11-01,2689,100,183.0
2020-11-02,2691,100,177.0
2020-11-03,2694,100,173.0
2020-11-04,2710,102,173.0
2020-11-05,2751,104,200.0
2020-11-06,2760,105,196.0
2020-11-07,2766,105,183.0
2020-11-08,2774,105,191.0
2020-11-09,2777,105,185.0
2020-11-10,2787,105,184.0
2020-11-11,2823,105,196.0
2020-11-12,2843,105,199.0
2020-11-13,2860,105,193.0
2020-11-14,2873,105,185.0
2020-11-15,2889,105,200.0
