date,county,state,fips,cases,deaths
2020-08-30,Washington,Mississippi,28151,1983,60
2020-08-31,Washington,Mississippi,28151,1989,61
2020-09-01,Washington,Mississippi,28151,2007,62
2020-09-02,Washington,Mississippi,28151,2018,64
2020-09-03,Washington,Mississippi,28151,2038,64
2020-09-04,Washington,Mississippi,28151,2062,64
2020-09-05,Washington,Mississippi,28151,2071,66
2020-09-06,Washington,Mississippi,28151,2077,67
2020-09-07,Washington,Mississippi,28151,2078,67
2020-09-08,Washington,Mississippi,28151,2080,67
2020-09-09,Washington,Mississippi,28151,2086,68
2020-09-10,Washington,Mississippi,28151,2090,70
2020-09-11,Washington,Mississippi,28151,2104,70
2020-09-12,Washington,Mississippi,28151,2121,70
2020-09-13,Washington,Mississippi,28151,2123,71
2020-09-14,Washington,Mississippi,28151,2126,71
2020-09-15,Washington,Mississippi,28151,2128,71
2020-09-16,Washington,Mississippi,28151,2147,71
2020-09-17,Washington,Mississippi,28151,2156,71
2020-09-18,Washington,Mississippi,28151,2163,71
2020-09-19,Washington,Mississippi,28151,2174,71
2020-09-20,Washington,Mississippi,28151,2179,71
2020-09-21,Washington,Mississippi,28151,2181,71
2020-09-22,Washington,Mississippi,28151,2186,71
2020-09-23,Washington,Mississippi,28151,2197,72
2020-09-24,Washington,Mississippi,28151,2219,72
2020-09-25,Washington,Mississippi,28151,2238,72
2020-09-26,Washington,Mississippi,28151,2259,77
2020-09-27,Washington,Mississippi,28151,2259,77
2020-09-28,Washington,Mississippi,28151,2259,77
2020-09-29,Washington,Mississippi,28151,2263,79
2020-09-30,Washington,Mississippi,28151,2278,79
2020-10-01,Washington,Mississippi,28151,2292,80
2020-10-02,Washington,Mississippi,28151,2305,82
2020-10-03,Washington,Mississippi,28151,2312,84
2020-10-04,Washington,Mississippi,28151,2317,84
2020-10-05,Washington,Mississippi,28151,2319,84
2020-10-06,Washington,Mississippi,28151,2338,84
2020-10-07,Washington,Mississippi,28151,2351,86
2020-10-08,Washington,Mississippi,28151,2360,86
2020-10-09,Washington,Mississippi,28151,2366,86
2020-10-10,Washington,Mississippi,28151,2389,88
2020-10-11,Washington,Mississippi,28151,2400,88
2020-10-12,Washington,Mississippi,28151,2402,88
2020-10-13,Washington,Mississippi,28151,2422,91
2020-10-14,Washington,Mississippi,28151,2456,93
2020-10-15,Washington,Mississippi,28151,2477,95
2020-10-16,Washington,Mississippi,28151,2493,95
2020-10-17,Washington,Mississippi,28151,2506,97
2020-10-18,Washington,Mississippi,28151,2506,97
2020-10-19,Washington,Mississippi,28151,2514,97
2020-10-20,Washington,Mississippi,28151,2521,97
2020-10-21,Washington,Mississippi,28151,2537,99
2020-10-22,Washington,Mississippi,28151,2551,99
2020-10-23,Washington,Mississippi,28151,2564,99
2020-10-24,Washington,Mississippi,28151,2583,99
2020-10-25,Washington,Mississippi,28151,2583,99
2020-10-26,Washington,Mississippi,28151,2592,99
2020-10-27,Washington,Mississippi,28151,2603,99
2020-10-28,Washington,Mississippi,28151,2627,100
2020-10-29,Washington,Mississippi,28151,2644,100
2020-10-30,Washington,Mississippi,28151,2667,100
2020-10-31,Washington,Mississippi,28151,2688,100
2020-11-01,Washington,Mississippi,28151,2689,100
2020-11-02,Washington,Mississippi,28151,2691,100
2020-11-03,Washington,Mississippi,28151,2694,100
2020-11-04,Washington,Mississippi,28151,2710,102
2020-11-05,Washington,Mississippi,28151,2751,104
2020-11-06,Washington,Mississippi,28151,2760,105
2020-11-07,Washington,Mississippi,28151,2766,105
2020-11-08,Washington,Mississippi,28151,2774,105
2020-11-09,Washington,Mississippi,28151,2777,105
2020-11-10,Washington,Mississippi,28151,2787,105
2020-11-11,Washington,Mississippi,28151,2823,105
2020-11-12,Washington,Mississippi,28151,2843,105
2020-11-13,Washington,Mississippi,28151,2860,105
2020-11-14,Washington,Mississippi,28151,2873,105
2020-11-15,Washington,Mississippi,28151,2889,105
2020-11-16,Washington,Mississippi,28151,2901,105
2020-11-17,Washington,Mississippi,28151,2908,105
2020-11-18,Washington,Mississippi,28151,2948,107
2020-11-19,Washington,Mississippi,28151,2981,106
2020-11-20,Washington,Mississippi,28151,3002,106
2020-11-21,Washington,Mississippi,28151,3034,106
2020-11-22,Washington,Mississippi,28151,3043,106
2020-11-23,Washington,Mississippi,28151,3088,106
2020-11-24,Washington,Mississippi,28151,3097,107
2020-11-25,Washington,Mississippi,28151,3122,107
2020-11-26,Washington,Mississippi,28151,3153,107
2020-11-27,Washington,Mississippi,28151,3161,107
2020-11-28,Washington,Mississippi,28151,3179,107
2020-11-29,Washington,Mississippi,28151,3197,108
2020-11-30,Washington,Mississippi,28151,3241,108
2020-12-01,Washington,Mississippi,28151,3246,108
2020-12-02,Washington,Mississippi,28151,3321,108
2020-12-03,Washington,Mississippi,28151,3367,108
2020-12-04,Washington,Mississippi,28151,3421,108
2020-12-05,Washington,Mississippi,28151,3442,108
2020-12-06,Washington,Mississippi,28151,3453,108
2020-12-07,Washington,Mississippi,28151,3459,108
2020-12-08,Washington,Mississippi,28151,3486,108
2020-12-09,Washington,Mississippi,28151,3523,108
2020-12-10,Washington,Mississippi,28151,3564,108
2020-12-11,Washington,Mississippi,28151,3592,108
2020-12-12,Washington,Mississippi,28151,3632,108
2020-12-13,Washington,Mississippi,28151,3645,109
2020-12-14,Washington,Mississippi,28151,3660,109
2020-12-15,Washington,Mississippi,28151,3697,109
2020-12-16,Washington,Mississippi,28151,3738,110
2020-12-17,Washington,Mississippi,28151,3754,110
2020-12-18,Washington,Mississippi,28151,3778,111
2020-12-19,Washington,Mississippi,28151,3815,111
2020-12-20,Washington,Mississippi,28151,3839,111
2020-12-21,Washington,Mississippi,28151,3860,111
2020-12-22,Washington,Mississippi,28151,3897,112
2020-12-23,Washington,Mississippi,28151,3929,112
2020-12-24,Washington,Mississippi,28151,3971,112
2020-12-25,Washington,Mississippi,28151,4064,112
2020-12-26,Washington,Mississippi,28151,4075,112
2020-12-27,Washington,Mississippi,28151,4110,114
2020-12-28,Washington,Mississippi,28151,4171,114
2020-12-29,Washington,Mississippi,28151,4196,116
2020-12-30,Washington,Mississippi,28151,4231,116
2020-12-31,Washington,Mississippi,28151,4259,116
2021-01-01,Washington,Mississippi,28151,4322,116
2021-01-02,Washington,Mississippi,28151,4375,116
2021-01-03,Washington,Mississippi,28151,4459,117
2021-01-04,Washington,Mississippi,28151,4487,117
2021-01-05,Washington,Mississippi,28151,4504,119
2021-01-06,Washington,Mississippi,28151,4526,119
2021-01-07,Washington,Mississippi,28151,4578,119
2021-01-08,Washington,Mississippi,28151,4587,119
2021-01-09,Washington,Mississippi,28151,4621,119
2021-01-10,Washington,Mississippi,28151,4639,119
2021-01-11,Washington,Mississippi,28151,4649,119
2021-01-12,Washington,Mississippi,28151,4665,121
2021-01-13,Washington,Mississippi,28151,4682,121
2021-01-14,Washington,Mississippi,28151,4700,122
2021-01-15,Washington,Mississippi,28151,4734,122
2021-01-16,Washington,Mississippi,28151,4770,123
2021-01-17,Washington,Mississippi,28151,4777,123
2021-01-18,Washington,Mississippi,28151,4800,123
2021-01-19,Washington,Mississippi,28151,4803,124
2021-01-20,Washington,Mississippi,28151,4826,124
2021-01-21,Washington,Mississippi,28151,4877,124
2021-01-22,Washington,Mississippi,28151,4904,125
2021-01-23,Washington,Mississippi,28151,4923,125
2021-01-24,Washington,Mississippi,28151,4933,125
2021-01-25,Washington,Mississippi,28151,4951,125
2021-01-26,Washington,Mississippi,28151,4965,125
2021-01-27,Washington,Mississippi,28151,4984,125
