Time,R1_Susceptible,R2_Infected,R3_Hospitalized,R4_Recovered,R5_Dead
0.00,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.01,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.02,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.03,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.04,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.05,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.06,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.07,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.08,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.09,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.10,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.11,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.12,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.13,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.14,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.15,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.16,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.17,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.18,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.19,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.20,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
0.21,6.398907e-01,1.536310e+00,4.564355e+00,9.321806e-01,2.886751e+01
