Time,sqrt_V1_Susceptible,sqrt_V2_Infected,sqrt_V2_Residual,sqrt_V3_Hospitalized,sqrt_V4_Recovered,sqrt_V5_Dead
0.00,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.01,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.02,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.03,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.04,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.05,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.06,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.07,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.08,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.09,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.10,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.11,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.12,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.13,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.14,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.15,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.16,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.17,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.18,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.19,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.20,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.21,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.22,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.23,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.24,5.209223e-03,6.361551e-03,6.361551e-03,7.302967e-04,3.575845e-03,1.154701e-04
0.25,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.26,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.27,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.28,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.29,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.30,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.31,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.32,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.33,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.34,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.35,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.36,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.37,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.38,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.39,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.40,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.41,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.42,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.43,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.44,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.45,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.46,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.47,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.48,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.49,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.50,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.51,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.52,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.53,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.54,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.55,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.56,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.57,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.58,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.59,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.60,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.61,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.62,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.63,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.64,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.65,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.66,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.67,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.68,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.69,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.70,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.71,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.72,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.73,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.74,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.75,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.76,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.77,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.78,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.79,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.80,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.81,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.82,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
0.83,4.996503e-03,6.090722e-03,6.090722e-03,6.992059e-04,3.436785e-03,1.105542e-04
